id,name,keith_verdict,actual_type,status,dupe_of,keith_decision,keith_note,services_supported,services_contradicted,keith_url,confidence
9565,Sacred Space Therapy / Grounded Ventures LLC,Y,THERAPY_PROVIDER,KEEPER_NO_ACTION,,,Pediatric and adult PT with sensory regulation coaching,physical-therapy,,http://www.sacredtherapy.space/,MEDIUM
6773,Speech and Language Connection Services LLC - Hialeah Gardens,Y,THERAPY_PROVIDER,KEEPER_NO_ACTION,,,Paediatric speech and OT practice serving ASD children,,,http://www.speechtherapy305.com/,HIGH
9591,Back To Mind Chiropractic - Hollywood,N,CHIROPRACTIC,NEEDS_DECISION,,DELETE,Chiropractic clinic; adult pain and injury care,,physical-therapy,https://www.backtomind.com/hollywood-chiropractor/,HIGH
9469,"Clow Integrated Medical Center (formerly, Clow Chiropractic)",N,CHIROPRACTIC,NEEDS_DECISION,,DELETE,Chiropractic and integrated wellness clinic for adult pain,,physical-therapy,https://clowintegratedmedicalcenter.com/,HIGH
9759,Darwin Chiropractic Center,N,CHIROPRACTIC,NEEDS_DECISION,,DELETE,Chiropractic clinic; PT is adjunct for adult pain,,physical-therapy,http://darwinchiro.com/,HIGH
9641,"Orlando City Health and Wellness - Chiropractor, Physical Therapy & Massage",N,CHIROPRACTIC,NEEDS_DECISION,9490,DEEPER DIVE - duplicate needs to be handled too,"Chiropractic and auto-injury clinic; PT adjunct, adults only",,physical-therapy,http://orlandocityhealth.com/,HIGH
9490,"Orlando City Health and Wellness - Chiropractor, Physical Therapy & Massage",N,CHIROPRACTIC,NEEDS_DECISION,9641,DEEPER DIVE - duplicate needs to be handled too,Chiropractic clinic; PT adjunct for adult accident injuries,,physical-therapy,http://orlandocityhealth.com/,HIGH
9683,Papa Chiropractic - Port St. Lucie,N,CHIROPRACTIC,NEEDS_DECISION,,DELETE,Chiropractic practice; PT is adjunct for adults,,physical-therapy,https://www.papachiropractic.com/,HIGH
9453,Physical Therapy & Chiropractor of Miami,N,CHIROPRACTIC,NEEDS_DECISION,,DELETE,Chiropractic clinic; PT for adult accident and pain patients,,physical-therapy,https://ptcmiami.com/pages/choose-chiropractor-or-physical-therapy-in-miami,HIGH
9478,Robinson Chiropractic & Physical Therapy,N,CHIROPRACTIC,NEEDS_DECISION,,DELETE,Chiropractic-led adult orthopedic rehab centre,,physical-therapy,http://robinson-chiropractic.com/,HIGH
9707,Russo Chiropractic and Rehab,N,CHIROPRACTIC,NEEDS_DECISION,,DELETE,Chiropractic practice; PT adjunct for back and auto injuries,,physical-therapy,https://www.russochiropracticfl.com/,HIGH
9571,Spinalworx - Chiropractic & Medical Center,N,CHIROPRACTIC,NEEDS_DECISION,,DELETE,Chiropractic center; PT adjunct for adult pain and injury,,physical-therapy,http://spinalworx.com/,HIGH
9632,Terlep Chiropractic,N,CHIROPRACTIC,NEEDS_DECISION,,DELETE,Chiropractic clinic; PT adjunct rehab for pain patients,,physical-therapy,https://drterlep.com/,HIGH
9708,KidsStreet Urgent Care,N,DENTAL_MEDICAL,NEEDS_DECISION,,DELETE,Pediatric urgent care; illnesses and minor injuries only,,physical-therapy,https://www.kidsstreeturgentcare.com/locations/tallahassee/,HIGH
7234,MD Now Urgent Care - North Cape Coral,N,DENTAL_MEDICAL,NEEDS_DECISION,,DELETE,Walk-in urgent care clinic; no therapy or autism services,,physical-therapy,https://www.mymdnow.com/locations/sarasota/north-cape-coral,HIGH
9875,Nicklaus Children's Miramar Urgent Care Center,N,DENTAL_MEDICAL,NEEDS_DECISION,,DELETE,Pediatric walk-in urgent care only; no rehab here,,occupational-therapy|physical-therapy,https://www.nicklauschildrens.org/locations/urgent-care/miramar-urgent-care-center,HIGH
9810,Nicklaus Children's Nirvair Chowdhury Midtown Urgent Care Center,N,DENTAL_MEDICAL,NEEDS_DECISION,,DELETE,Pediatric walk-in urgent care only; no therapy here,,occupational-therapy|physical-therapy,https://www.nicklauschildrens.org/locations/urgent-care/midtown-outpatient-center,HIGH
9301,Palm Garden of Gainesville,N,DENTAL_MEDICAL,NEEDS_DECISION,,DELETE,Skilled nursing and rehab facility for elderly adults,,occupational-therapy,http://palmgardenofgainesville.com/,HIGH
8569,Absolute Health and Fitness,N,FITNESS_WELLNESS,NEEDS_DECISION,,DELETE,24-hour commercial gym with personal training classes,,life-skills,http://www.absolutefitnessandhealth.com/,HIGH
5854,Brain Balance Palm Beach Gardens,N,FITNESS_WELLNESS,NEEDS_DECISION,,DELETE,"Non-medical cognitive training franchise, not clinical therapy",,,https://www.brainbalancecenters.com/locations/florida/palm-beach-gardens,MEDIUM
9619,Healthspan,N,FITNESS_WELLNESS,NEEDS_DECISION,,DELETE,"Adult recovery spa: cryotherapy, HBOT, sauna, PEMF",,physical-therapy,https://www.healthspanrecovery.com/services,HIGH
9801,Memorial Medical Fitness - West,N,FITNESS_WELLNESS,NEEDS_DECISION,,DELETE,"Medically supervised adult fitness program, not therapy",,occupational-therapy|physical-therapy,https://www.mhs.net/services/medical-fitness-programs,MEDIUM
9285,Ony-X Fitness Therapy & Sports Rehab,N,FITNESS_WELLNESS,NEEDS_DECISION,,DELETE,Fitness training and sports rehab for adult athletes,,occupational-therapy,http://www.onyxfitnesstherapy.com/,HIGH
6596,Vocational Rehabilitation,N,GOVERNMENT_AGENCY,NEEDS_DECISION,,DEEPER DIVE - Adults with autism could benefit from disability employment services?,Florida state agency for disability employment services,,,https://rehabworks.org/,HIGH
6562,ACTS Therapeutic Group Home,N,GROUP_HOME,NEEDS_DECISION,,DELETE,Substance use and mental health residential treatment agency,,,https://www.actsfl.org/,HIGH
10146,Brooks Rehabilitation Home Health - Daytona Beach,N,HOME_CARE,NEEDS_DECISION,,DELETE,Adult and senior home health rehab agency,,speech-therapy|occupational-therapy|physical-therapy,https://brooksrehab.org/locations/home-health-daytona/,MEDIUM
7035,Gardened Mind Therapy,N,MENTAL_HEALTH_COUNSELING,NEEDS_DECISION,,DELETE,EMDR trauma and mental health counselling practice,,,https://gardenedmindtherapy.com/,HIGH
10372,The Garden Counseling,N,MENTAL_HEALTH_COUNSELING,NEEDS_DECISION,,DELETE,Christian trauma and grief counselling practice,,,https://thegardencounseling.info/,HIGH
8676,Avard Law Offices,N,OTHER,NEEDS_DECISION,,DELETE,"Law firm: Social Security disability, injury, veterans benefits",,aba,https://avardlaw.com/,HIGH
6967,Children's Rehab PPEC - Miami Gardens,N,PPEC,NEEDS_DECISION,,DEEPER DIVE - PPEC center for medically fragile children - could apply to autistic children?,PPEC centre for medically fragile children,,,https://childrensrehabppec.com/ppec-in-miami-gardens-fl/,HIGH
9934,CORA Physical Therapy Palm Beach Gardens,N,THERAPY_PROVIDER,NEEDS_DECISION,,DELETE,"Adult orthopedic, work comp and geriatric rehab clinic",,occupational-therapy|physical-therapy,https://coraphysicaltherapy.com/location/palm-beach-gardens-florida/,HIGH
9444,Fitness Quest Physical Therapy - North Fort Myers,N,THERAPY_PROVIDER,NEEDS_DECISION,,DELETE,Adult orthopedic and sports PT clinic; no pediatrics,,physical-therapy,https://fitnessquestpt.com/location/north-fort-myers/,HIGH
9493,Gold Coast Physical Therapy - Palm Beach Gardens,N,THERAPY_PROVIDER,NEEDS_DECISION,,DELETE,"Adult orthopedic, vestibular and work comp PT clinic",,,https://goldcoastpt.com/palm-beach-gardens/,HIGH
9574,Maximum Fitness Physical Therapy & Sports Medicine,N,THERAPY_PROVIDER,NEEDS_DECISION,,DELETE,Adult sports medicine and orthopedic rehab clinic,,physical-therapy,https://www.maximumfitpt.com/,HIGH
9492,Saylor Physical Therapy - Palm Beach Gardens,N,THERAPY_PROVIDER,NEEDS_DECISION,,DELETE,Adult orthopedic and sports physical therapy clinic,,,http://saylorpt.com/palm-beach/,HIGH
10712,ABA Foundations - Palm Beach Gardens,Y,ABA_PROVIDER,TAGS_ALREADY_FIXED,,,ABA provider for autism; centre and in-home services,aba|parent-coaching|mobile-services,virtual-therapy,https://abafoundations.com,HIGH
10613,Abacus Therapies - Palm Beach Gardens,Y,ABA_PROVIDER,TAGS_ALREADY_FIXED,,,"ABA provider for autistic children, in-home and school-based",mobile-services,parent-coaching,https://abacustherapies.com/,HIGH
6353,Fataj Transition & Learning Center LLC,Y,ABA_PROVIDER,TAGS_ALREADY_FIXED,,,"BCBA-led ABA clinic and academy for autism, ages 2-12",,,https://www.fatajtlc.com/,HIGH
7025,Project Brilliance Palm Beach Gardens,Y,ABA_PROVIDER,TAGS_ALREADY_FIXED,,,ABA provider with social skills groups and parent training,group-therapy|parent-coaching,ados-testing,http://www.projectbrilliance.com/,HIGH
9836,Back to You Chiropractic & Physical Therapy,N,CHIROPRACTIC,TAGS_ALREADY_FIXED,,,Adult orthopedic chiropractic and rehab clinic network,occupational-therapy|physical-therapy,,https://www.backtoyourehab.com/,MEDIUM
8774,Easterseals South Florida - Miami Gardens (Ophelia Brown),Y,DAYCARE,TAGS_ALREADY_FIXED,,,"Early-intervention child development centre with onsite OT, PT, ST",speech-therapy|occupational-therapy|physical-therapy,parent-coaching|group-therapy,https://southflorida.easterseals.com/get-support/areas-of-support/education-services/child-development-center,MEDIUM
8826,Devereux Palm Bay Group Home,Y,GROUP_HOME,TAGS_ALREADY_FIXED,,,"Brevard IDD group homes using ABA, with skill development",life-skills,,http://www.devereux.org/site/PageServer?pagename=fl_autism_idd,HIGH
10171,Active Home Health Care Services,N,HOME_CARE,TAGS_ALREADY_FIXED,,,Adult and geriatric home health; post-surgical and stroke rehab,speech-therapy|occupational-therapy|physical-therapy,,https://activehomehealthcare.com/services/,MEDIUM
7505,Dynamiks Home Care,Y,HOME_CARE,TAGS_ALREADY_FIXED,,,Home health with paediatric special-needs therapy and respite,speech-therapy|occupational-therapy|physical-therapy|respite-care,life-skills,https://www.dynamikshomecare.com/fort-myers-fl,MEDIUM
10062,"Spark Pediatrics Medical Daycare (PPEC) - Palm Springs, FL",N,PPEC,TAGS_ALREADY_FIXED,,,"PPEC medical daycare for medically complex children, not DD-specific",speech-therapy|occupational-therapy|physical-therapy,,https://www.sparkpediatrics.com/locations/west-palm-beach-center,MEDIUM
10117,"Spark Pediatrics Medical Daycare (PPEC) - Stuart, FL",N,PPEC,TAGS_ALREADY_FIXED,,,"PPEC medical daycare for medically complex children, not DD-specific",speech-therapy|occupational-therapy|physical-therapy,,https://www.sparkpediatrics.com/locations/stuart-center,HIGH
9541,Body Mechanix Physiotherapy and Fitness,N,THERAPY_PROVIDER,TAGS_ALREADY_FIXED,,,Real PT but only adult athletes and chronic pain,physical-therapy,,https://www.tallahasseept.com/,HIGH
8865,KidSpace Therapy Center,Y,THERAPY_PROVIDER,TAGS_ALREADY_FIXED,,,Paediatric outpatient therapy clinic serving developmental delays,speech-therapy|physical-therapy|occupational-therapy|feeding-therapy,virtual-therapy,http://kidspacetherapycenter.com/about-us/,MEDIUM
9794,Department of Communication Sciences and Disorders,Y,UNIVERSITY_DEPARTMENT,TAGS_ALREADY_FIXED,,,"UCF speech clinic treating public, toddlers through adults",speech-therapy,physical-therapy,https://healthprofessions.ucf.edu/communication-sciences-disorders/,MEDIUM
6998,Rivers Edge Adult Day Care,UNKNOWN,UNKNOWN,UNRESOLVED,,,Adult day care; population elderly versus DD unresolved,,,,LOW
7089,SUPREME ADULT DAY CARE,UNKNOWN,UNKNOWN,UNRESOLVED,,,Adult day care centre; population served not established,,,,LOW
