id,name,city,slug,address,phone,website,services,source
7153,Self Love Harbor,North Miami Beach,self-love-harbor-north-miami-beach-fl-7153,17800 W Dixie Hwy,(786) 475-1119,https://selfloveharbor.com/,"[""aba""]",legacy_migration
7176,Ricke Jill L PhD,Tallahassee,ricke-jill-l-phd-tallahassee-fl-7176,1535 Killearn Center Blvd,(850) 877-6011,null,"[""aba""]",legacy_migration
7220,Little Giants Kid's Services- PPEC (Medical Daycare),Coral Gables,little-giants-kids-services-ppec-medical-daycare-coral-gables-fl-7220,1919 Ponce de Leon,(786) 558-5756,http://littlegiantsppec.com/,"[""aba""]",legacy_migration
7256,"Louis M. Tornyai, OTC",Tallahassee,louis-m-tornyai-otc-tallahassee-fl-7256,1381c Cross Creek Cir,(850) 656-3163,null,"[""aba""]",legacy_migration
7278,Living Free Counseling,Tallahassee,living-free-counseling-tallahassee-fl-7278,2940 E Park Ave #2D,(850) 738-4470,null,"[""aba""]",legacy_migration
7300,Autism Institute for Learning and Development,Lakeland,autism-institute-for-learning-and-development-lakeland-fl-7300,211 E Main St,(863) 617-9948,https://autismildlakeland.org/,"[""aba""]",legacy_migration
7316,Early Childhood Learning Center,Lakeland,early-childhood-learning-center-lakeland-fl-7316,3135 Airside Center Dr,(863) 647-3322,http://www.polkids.com/,"[""aba""]",legacy_migration
7340,Reaching Milestones,Jacksonville,reaching-milestones-jacksonville-fl-7340,6816 Southpoint Pkwy,(904) 683-9515,https://reachingmilestones.com/,"[""aba""]",legacy_migration
7394,Superior Healthcare for the Aged & Disabled,North Lauderdale,superior-healthcare-for-the-aged-disabled-north-lauderdale-fl-7394,7399 Tam Oshanter Blvd,(516) 854-8220,null,"[""aba""]",legacy_migration
7425,"Lisa L. Rappa, OT",Miami,lisa-l-rappa-ot-miami-fl-7425,15839 NW 2nd Ave,(305) 948-5683,null,"[""aba""]",legacy_migration
7431,"Powerful Principles, LLC-Child Therapy Near Stuart",Stuart,powerful-principles-llc-child-therapy-near-stuart-stuart-fl-7431,789 SW Federal Hwy #310,(772) 281-0599,https://powerfulprinciples.org/,"[""aba""]",legacy_migration
8523,"Shirley J. Phillips, Occupational",Fort Myers,shirley-j-phillips-occupational-fort-myers-fl-8523,null,(239) 278-4702,null,"[""aba""]",legacy_migration
8780,Oasis Mind Lab – Coaching & Consulting for Work & Life,Dunedin,oasis-mind-lab-coaching-consulting-for-work-life-dunedin-fl-8780,303 Main St,(727) 228-2143,https://www.oasismindlab.com/,"[""aba""]",legacy_migration
8873,"Lighthouse Behavioral Health, LLC",Ormond Beach,lighthouse-behavioral-health-llc-ormond-beach-fl-8873,533 N Nova Rd,(386) 492-9041,https://www.lighthousebh.net/,"[""aba""]",legacy_migration
9072,"integrity therapy services, llc login",Lakeland,integrity-therapy-services-llc-login-lakeland-fl-9072,411 E Orange St,(863) 617-9400,http://integritytherapy.info/contactus.aspx,"[""aba""]",legacy_migration
9094,Williamsburg Therapy Group Miami,Coconut Grove,williamsburg-therapy-group-miami-coconut-grove-fl-9094,3390 Mary St #116,(786) 889-4333,https://www.williamsburgtherapygroup.com/miami-fl,"[""aba""]",legacy_migration
9134,"Amy Stenz, Ot",Fort Myers,amy-stenz-ot-fort-myers-fl-9134,1650 Medical Ln,(239) 277-9818,null,"[""aba""]",legacy_migration
