id,name,city,canonical_city,services_txt,source,verified,website,keith_verdict,keith_url
9453,Physical Therapy & Chiropractor of Miami,Miami Beach,MIAMI BEACH,physical-therapy,Google Places (PT/OT/ST),FALSE,https://ptcmiami.com/pages/choose-chiropractor-or-physical-therapy-in-miami,,
9875,Nicklaus Children's Miramar Urgent Care Center,Miramar,MIRAMAR,occupational-therapy|physical-therapy,Google Places (PT/OT/ST),FALSE,https://www.nicklauschildrens.org/locations/urgent-care/miramar-urgent-care-center,,
9571,Spinalworx - Chiropractic & Medical Center,Miramar,MIRAMAR,physical-therapy,Google Places (PT/OT/ST),FALSE,http://spinalworx.com/,,
9444,Fitness Quest Physical Therapy - North Fort Myers,North Fort Myers,NORTH FORT MYERS,physical-therapy,Google Places (PT/OT/ST),FALSE,https://fitnessquestpt.com/location/north-fort-myers/,,
9574,Maximum Fitness Physical Therapy & Sports Medicine,Oakland Park,OAKLAND PARK,physical-therapy,Google Places (PT/OT/ST),FALSE,https://maximumfitpt.wixsite.com/home,,
9794,Department of Communication Sciences and Disorders,Orlando,ORLANDO,speech-therapy|physical-therapy,Google Places (PT/OT/ST),FALSE,https://healthprofessions.ucf.edu/communication-sciences-disorders/,,
9641,"Orlando City Health and Wellness - Chiropractor, Physical Therapy & Massage",Orlando,ORLANDO,physical-therapy,Google Places (PT/OT/ST),FALSE,http://orlandocityhealth.com/,,
9934,CORA Physical Therapy Palm Beach Gardens,Palm Beach Gardens,PALM BEACH GARDENS,occupational-therapy|physical-therapy,Google Places (PT/OT/ST),FALSE,https://www.coraphysicaltherapy.com/palm-beach-gardens-florida/,,
9493,Gold Coast Physical Therapy - Palm Beach Gardens,Palm Beach Gardens,PALM BEACH GARDENS,null,Google Places (PT/OT/ST),FALSE,https://goldcoastpt.com/palm-beach-gardens/,,
10168,Nicklaus Children's Palm Beach Gardens Outpatient Center,Palm Beach Gardens,PALM BEACH GARDENS,speech-therapy|occupational-therapy|physical-therapy,Google Places (PT/OT/ST),FALSE,https://www.nicklauschildrens.org/locations/outpatient-centers/palm-beach-gardens-outpatient-center,,
9492,Saylor Physical Therapy - Palm Beach Gardens,Palm Beach Gardens,PALM BEACH GARDENS,null,Google Places (PT/OT/ST),FALSE,http://saylorpt.com/palm-beach/,,
10062,"Spark Pediatrics Medical Daycare (PPEC) - Palm Springs, FL",Palm Springs,PALM SPRINGS,speech-therapy|occupational-therapy|physical-therapy,Google Places (PT/OT/ST),FALSE,https://www.sparkpediatrics.com/locations/west-palm-beach-center,,
9801,Memorial Medical Fitness - West,Pembroke Pines,PEMBROKE PINES,occupational-therapy|physical-therapy,Google Places (PT/OT/ST),FALSE,https://www.mhs.net/services/medical-fitness-programs,,
9836,Back to You Chiropractic & Physical Therapy,Port St. Lucie,PORT ST. LUCIE,occupational-therapy|physical-therapy,Google Places (PT/OT/ST),FALSE,https://www.backtoyourehab.com/?utm_source=gmb_auth,,
9683,Papa Chiropractic - Port St. Lucie,Port St. Lucie,PORT ST. LUCIE,physical-therapy,Google Places (PT/OT/ST),FALSE,https://www.papachiropractic.com/,,
8569,Absolute Health and Fitness,Spring Hill,SPRING HILL,life-skills,Google Places (PT/OT/ST),FALSE,http://www.absolutefitnessandhealth.com/,,
9478,Robinson Chiropractic & Physical Therapy,Spring Hill,SPRING HILL,physical-therapy,Google Places (PT/OT/ST),FALSE,http://robinson-chiropractic.com/,,
9632,Terlep Chiropractic,Spring Hill,SPRING HILL,physical-therapy,Google Places (PT/OT/ST),FALSE,https://drterlep.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp,,
10117,"Spark Pediatrics Medical Daycare (PPEC) - Stuart, FL",Stuart,STUART,speech-therapy|occupational-therapy|physical-therapy,Google Places (PT/OT/ST),FALSE,https://www.sparkpediatrics.com/locations/stuart-center,,
7483,"BFITT Athletic Training & Fitness Institute, Inc.",Tallahassee,TALLAHASSEE,aba,Google Places (PT/OT/ST),FALSE,http://www.bfitt-atfi.com/,,
9541,Body Mechanix Physiotherapy and Fitness,Tallahassee,TALLAHASSEE,physical-therapy,Google Places (PT/OT/ST),FALSE,https://www.tallahasseept.com/,,
9708,KidsStreet Urgent Care,Tallahassee,TALLAHASSEE,physical-therapy,Google Places (PT/OT/ST),FALSE,https://www.kidsstreeturgentcare.com/locations/tallahassee/?&utm_source=google&utm_medium=organic_gmb&utm_campaign=tallahassee,,
9707,Russo Chiropractic and Rehab,Tallahassee,TALLAHASSEE,physical-therapy,Google Places (PT/OT/ST),FALSE,https://www.russochiropracticfl.com/,,
9254,"Our Speech Garden, LLC.",Tampa,TAMPA,speech-therapy,Google Places (PT/OT/ST),FALSE,http://www.ourspeechgarden.com/,,
9469,"Clow Integrated Medical Center (formerly, Clow Chiropractic)",West Melbourne,WEST MELBOURNE,physical-therapy,Google Places (PT/OT/ST),FALSE,https://clowintegratedmedicalcenter.com/,,
10171,Active Home Health Care Services,West Palm Beach,WEST PALM BEACH,speech-therapy|occupational-therapy|physical-therapy,Google Places (PT/OT/ST),FALSE,http://activehomehealthcare.com/,,
10360,Quest Kids Therapy - Winter Garden,Winter Garden,WINTER GARDEN,null,Google Places (PT/OT/ST),FALSE,https://questinc.org/quest-kids-therapy/,,
9490,"Orlando City Health and Wellness - Chiropractor, Physical Therapy & Massage",Winter Park,WINTER PARK,physical-therapy,Google Places (PT/OT/ST),FALSE,http://orlandocityhealth.com/,,
8676,Avard Law Offices,Cape Coral,CAPE CORAL,aba,legacy_migration,FALSE,https://avardlaw.com/,,
7234,MD Now Urgent Care - North Cape Coral,Cape Coral,CAPE CORAL,physical-therapy,legacy_migration,FALSE,https://www.mymdnow.com/locations/sarasota/north-cape-coral?utm_campaign=corp_listings_mgmt&utm_source=google&utm_medium=business_listing,,
7203,A Safe Space Mental Health Counseling and Wellness LLC,Daytona Beach,DAYTONA BEACH,aba,legacy_migration,FALSE,https://asafespacementalhealthcounselingandwellness.com/a-safe-space,,
6573,Serenity Space Therapy,Fort Lauderdale,FORT LAUDERDALE,aba,legacy_migration,TRUE,https://www.serenityspacetherapy.net/,,
7163,Ascend Transition Services,Fort Myers,FORT MYERS,life-skills|respite-care,legacy_migration,FALSE,https://www.ascendswfl.com/,,
7505,Dynamiks Home Care,Fort Myers,FORT MYERS,speech-therapy|occupational-therapy|physical-therapy|respite-care|life-skills,legacy_migration,FALSE,https://www.dynamikshomecare.com/fort-myers-fl,,
6778,Department of Occupational Therapy,Gainesville,GAINESVILLE,aba,legacy_migration,TRUE,http://ot.phhp.ufl.edu/,,
7089,SUPREME ADULT DAY CARE,Hialeah,HIALEAH,,legacy_migration,FALSE,http://supremeadultdaycare.com/?utm_source=gmb&utm_medium=referral,,
6977,FUSSION THERAPY INC. - Hialeah Gardens,Hialeah Gardens,HIALEAH GARDENS,null,legacy_migration,FALSE,https://www.fussiontherapy.com/,,
6773,Speech and Language Connection Services LLC - Hialeah Gardens,Hialeah Gardens,HIALEAH GARDENS,null,legacy_migration,TRUE,http://www.speechtherapy305.com/,,
8950,Utopia living adult day training/daycare/ Group Home,Jacksonville,JACKSONVILLE,,legacy_migration,FALSE,null,,
6596,Vocational Rehabilitation,Jacksonville,JACKSONVILLE,,legacy_migration,TRUE,https://rehabworks.org/,,
6984,ChildGarden Center | Integral Therapy - Lake Worth Beach,Lake Worth Beach,LAKE WORTH BEACH,null,legacy_migration,FALSE,http://www.childgardens.com/,,
7035,Gardened Mind Therapy,Lakeland,LAKELAND,,legacy_migration,FALSE,https://gardenedmindtherapy.com/,,
7361,NeuroSpa,Lakeland,LAKELAND,aba,legacy_migration,FALSE,https://www.neurospamentalhealth.com/locations/lakeland/?utm_source=GMB%20-%20Lakeland&utm_medium=Organic,,
10372,The Garden Counseling,Lakeland,LAKELAND,,legacy_migration,FALSE,https://thegardencounseling.info/,,
8955,"USF Health Department of Pediatrics, Early Steps Program",Lakeland,LAKELAND,aba,legacy_migration,FALSE,https://health.usf.edu/care?utm_source=google&utm_medium=organic&utm_campaign=maps,,
7006,Space Coast Discovery,Melbourne,MELBOURNE,aba,legacy_migration,FALSE,http://spacecoastdiscovery.org/,,
6758,Main Street Children's Dentistry and Orthodontics of Miami Beach,Miami Beach,MIAMI BEACH,aba,legacy_migration,TRUE,https://www.mainstreetsmiles.com/dentist-office/miami-beach-fl-33140?utm_source=Google&utm_medium=KnowledgePanel&utm_campaign=Website,,
6967,Children's Rehab PPEC - Miami Gardens,Miami Gardens,MIAMI GARDENS,null,legacy_migration,FALSE,https://childrensrehabppec.com/ppec-in-miami-gardens-fl/,,
8774,Easterseals South Florida - Miami Gardens (Ophelia Brown),Miami Gardens,MIAMI GARDENS,speech-therapy|occupational-therapy|physical-therapy|parent-coaching|group-therapy,legacy_migration,TRUE,https://southflorida.easterseals.com/get-support/areas-of-support/education-services/child-development-center,,
8865,KidSpace Therapy Center,Miami Lakes,MIAMI LAKES,speech-therapy|physical-therapy|occupational-therapy|feeding-therapy|virtual-therapy,legacy_migration,FALSE,http://kidspacetherapycenter.com/,,
8904,Central Florida Group Homes,Orlando,ORLANDO,residential-program,legacy_migration,FALSE,null,,
6353,Fataj Transition & Learning Center LLC,Orlando,ORLANDO,,legacy_migration,TRUE,https://www.fatajtlc.com/,,
8826,Devereux Palm Bay Group Home,Palm Bay,PALM BAY,life-skills,legacy_migration,FALSE,http://www.devereux.org/site/PageServer?pagename=fl_locations,,
6998,Rivers Edge Adult Day Care,Palm Bay,PALM BAY,,legacy_migration,FALSE,http://www.riversedgedaytrainingprogram.com/,,
7115,Space Coast Mobility,Palm Bay,PALM BAY,aba,legacy_migration,FALSE,https://spacecoastmobility.com/,,
5854,Brain Balance Palm Beach Gardens,Palm Beach Gardens,PALM BEACH GARDENS,,legacy_migration,TRUE,https://www.brainbalancecenters.com/locations/florida/palm-beach-gardens,,
7025,Project Brilliance Palm Beach Gardens,Palm Beach Gardens,PALM BEACH GARDENS,group-therapy|ados-testing|parent-coaching,legacy_migration,FALSE,http://www.projectbrilliance.com/,,
5845,Lifespan Psychiatric Services,Tallahassee,TALLAHASSEE,aba,legacy_migration,TRUE,https://www.lifespan.care/,,
6562,ACTS Therapeutic Group Home,Tampa,TAMPA,,legacy_migration,TRUE,https://www.actsfl.org/,,
10712,ABA Foundations - Palm Beach Gardens,Palm Beach Gardens,PALM BEACH GARDENS,aba|parent-coaching|mobile-services|virtual-therapy,submission,TRUE,https://abafoundations.com,,
10613,Abacus Therapies - Palm Beach Gardens,Palm Beach Gardens,PALM BEACH GARDENS,parent-coaching|mobile-services,null,TRUE,https://abacustherapies.com/,,
