id,name,verdict,actual_type,services_proposed,services_inferred,serves_children,autism_relevance,site_address,site_phone,site_email,website,description,evidence_url,sources_checked,confidence,notes
9436,Saylor Physical Therapy - West Palm Beach,DELETE,THERAPY_PROVIDER,,,N,N,,,,http://www.saylorpt.com/,,http://www.saylorpt.com/,1,HIGH,"Adult outpatient orthopedic and sports physical therapy group (FL/NC/SC): neck and back, shoulder, hip and knee, foot and ankle pain, trauma, work injury, pre/post-surgical rehab, personal training. No pediatric or autism/DD focus."
9445,Apex Physical Therapy - Cape Coral,DELETE,THERAPY_PROVIDER,,,N,N,"900 SW Pine Island Rd, Suite 111-113, Cape Coral, FL 33991",(239) 573-8658,info@apexptflorida.com,https://apexptflorida.com/,,https://apexptflorida.com/,1,HIGH,"Adult sports-medicine and performance physical therapy clinic: dry needling, Astym, NeuFit, Indiba, diagnostic ultrasound, athlete recovery, personal training. All patient stories are adult athletes. No pediatric or autism/DD services."
9447,Pelletier Rickert Physical Therapy - Cape Coral,DELETE,THERAPY_PROVIDER,,,N,N,,(239) 772-3335,DRPATRICK2016@gmail.com,https://pelletier-rickertphysicaltherapy.com/,,https://pelletier-rickertphysicaltherapy.com/,1,HIGH,"Adult outpatient orthopedic physical therapy practice (Cape Coral and Pine Island): joint replacement and post-surgical rehab, sciatica and spine pain, sports and auto-accident injuries, vertigo/balance and fall prevention. No pediatric or autism/DD services."
9457,SFR PHYSICAL THERAPY SOUTH MIAMI - 6812 Sw 81st St,DELETE,THERAPY_PROVIDER,,,UNCLEAR,N,"6812 SW 81 ST, Miami, FL 33143",305-905-4188,info@southfloridacenters.com,http://www.southfloridacenters.com/,,https://www.southfloridacenters.com/service/,3,MEDIUM,"South Florida Rehab & Training Center: orthopedic/sports physical therapy and strength-and-conditioning clinic with three Miami-area sites. Service list is entirely ortho and athletic (back, neck, shoulder, knee, foot/ankle, throwing program). Homepage lists 'pediatrics' as a population but there is no developmental, autism or DD service anywhere on the site."
9460,Integrated Physical Therapy - 2142 Ne 123rd St,DELETE,THERAPY_PROVIDER,,,N,N,"2142 NE 123rd Street, North Miami, FL 33181",305.967.8976,info@iptmiami.com,https://www.iptmiami.com/,,https://www.iptmiami.com/,1,HIGH,"Integrated Physical Therapy & Wellness: adult orthopedic, sports and manual-therapy clinic. McKenzie and Schroth methods, pelvic floor, TMJ/headache, myofascial release, dry needling, massage, AlterG treadmill, in-home concierge visits. No pediatric developmental or autism/DD services."
9476,Kinetix Physical Therapy - Newberry,DELETE,THERAPY_PROVIDER,,,N,N,"2839 SW 87th Drive, Gainesville, FL 32608",,,https://kinetixpt.com/,,https://kinetixpt.com/,2,HIGH,"Outpatient orthopedic physical therapy group in the Gainesville/Newberry area: spine dysfunction, pelvic health, vestibular rehab, auto-accident injury, custom orthotics, nutrition counseling and adult education workshops. No pediatric developmental, autism or DD services. The Newberry location page itself was robots-blocked; the main site settled it."
9482,Kinetix Physical Therapy - Gainesville,DELETE,THERAPY_PROVIDER,,,N,N,,,,,,https://members.gainesvillechamber.com/list/member/kinetix-physical-therapy-p-a-10475,3,MEDIUM,"Adult outpatient orthopedic/manual physical therapy clinic (back pain, sciatica, whiplash, shoulder/joint pain, balance and dizziness, work injury rehab). Own site kinetixpt.com could not be loaded (robots.txt blocked); chamber listing confirms adult ortho scope with no pediatric, autism or developmental-disability service line. Real PT provider but out of scope."
9525,"H2T PT, LLC - North Miami Beach",DELETE,CHIROPRACTIC,,,N,N,"1875 NE 163rd St, North Miami Beach, FL 33162",(786) 786-9986,,https://www.h2tpt.com/,,https://www.h2tpt.com/,1,HIGH,"Self-described 'premier physical therapy and chiropractic facility' — chiropractic adjustment, cold laser, shockwave, ART, myofascial release, post-op rehab for adults. No pediatric, autism or DD services anywhere on the site. Chiropractic/adult ortho practice, not in scope."
9539,BASE Physical Therapy - 3361 Raymond Diehl Business Ln Rd,DELETE,THERAPY_PROVIDER,,,N,N,"3361 Raymond Diehl Business Lane Road, Tallahassee, FL 32308",(850) 727-5406,basetherapyoffice@gmail.com,https://basephysicaltherapy.com/,,https://basephysicaltherapy.com/,1,HIGH,"Adult sports/wellness physical therapy and recovery studio — dry needling, NeuBie e-stim, InBody body-composition scans, recovery room, manual therapy, fitness programming. No pediatric, autism or developmental-disability services. Real PT clinic but adult/performance focused, out of scope."
9552,Physical Therapy Services - Jacksonville,DELETE,THERAPY_PROVIDER,,,N,N,"7001-27 Merrill Rd., Jacksonville, FL 32277",(904) 744-0277,info@jaxtherapy.com,https://jaxtherapy.com/,,https://jaxtherapy.com/,1,MEDIUM,"Small boutique adult physical therapy and massage practice. Focus is geriatric/adult orthopedics and adult neurological conditions (stroke, Parkinson's, MS, chronic pain) plus post-rehab wellness. Site references 'Baby Boomers and Adolescents' but offers no pediatric developmental program, no OT/speech, and no autism or DD services."
9572,Palm Rehabilitation Center Inc. - Hollywood,DELETE,THERAPY_PROVIDER,,,N,N,,954-432-8872,coopercity@palmrehabcenter.com,https://palmrehabcenter.com/,,https://palmrehabcenter.com/,1,MEDIUM,"Outpatient adult physical therapy clinic (Cooper City location; the 9900 Stirling Rd address falls in that service area). Treats orthopedic, work-related and sports injuries plus adult neuromuscular/neurological conditions. No pediatric, autism or developmental-disability offering stated. Out of scope."
9577,Palm Rehabilitation Center Inc. - Hallandale Beach,DELETE,THERAPY_PROVIDER,,,N,N,,954-458-2022,hallandale@palmrehabcenter.com,https://palmrehabcenter.com/,,https://palmrehabcenter.com/,1,MEDIUM,"Hallandale location of the same outpatient adult PT practice as record 9572. Orthopedic, work-injury, sports and adult neurological rehab only; no pediatric, autism or DD services. Out of scope. Site lists the Hallandale phone as 954-458-2022."
9581,XL Physical Therapy & Sports Rehab - 2001 Ne 48th St,DELETE,THERAPY_PROVIDER,,,N,N,"2001 NE 48th St, Ft Lauderdale, FL 33308",954-491-6620,,https://xlphysicaltherapy.com/,,https://xlphysicaltherapy.com/,1,HIGH,"Adult orthopedic and sports rehabilitation PT clinic — back/neck pain, sports and knee injuries, post-surgical recovery, auto-accident therapy, fitness and wellness. No pediatric, autism or developmental-disability services. Real PT provider but adult sports/ortho only, out of scope."
9588,XL Physical Therapy & Sports Rehab - 4022 N Ocean Blvd,DELETE,THERAPY_PROVIDER,,,N,N,"4022 N Ocean Blvd, Ft Lauderdale, FL 33308",954-566-2400,,https://xlphysicaltherapy.com/,,https://xlphysicaltherapy.com/,1,HIGH,"Second Fort Lauderdale location of the same adult sports/orthopedic rehab practice as record 9581. Same service list — sports injury, post-surgical, back/neck, auto accident, fitness. No pediatric, autism or DD services. Out of scope."
9667,Premier Physical Therapy & Sports Performance - 1661 Rainbow Dr,DELETE,THERAPY_PROVIDER,,,N,N,"1661 Rainbow Dr, Clearwater, FL 33755",(727) 442-7500,,https://www.ptandsportstherapy.com/,,https://www.ptandsportstherapy.com/,1,HIGH,"Adult sports-performance physical therapy clinic — dry needling, golf performance, running gait analysis, weightlifting coaching and USA Weightlifting courses, post-surgical/injury recovery. Athlete-oriented; no pediatric, autism or developmental-disability services. Out of scope."
9713,Focus Physical Therapy Inc - 869 Stockton St,DELETE,THERAPY_PROVIDER,,,N,N,"869 Stockton St #3, Jacksonville, FL 32204",(904) 388-1300,,http://www.focusptjax.com/,,http://www.focusptjax.com/,1,HIGH,"Therapist-owned adult outpatient PT practice (Riverside location) treating spine, balance/vestibular, orthopedic and sports injuries plus hand and aquatic therapy. No pediatric, autism or developmental-disability services anywhere on site. Real PT provider but out of scope."
9717,Focus Physical Therapy Inc - 8301 Cypress Plaza Dr,DELETE,THERAPY_PROVIDER,,,N,N,"8301 Cypress Plaza Dr Ste 116, Jacksonville, FL 32256",(904) 551-9880,,http://www.focusptjax.com/,,http://www.focusptjax.com/,1,HIGH,"Southside branch of the same adult orthopedic/sports PT practice as id 9713. Services are spine, balance, vestibular, hand and aquatic therapy for adults. No pediatric or autism/DD offering. Out of scope."
9755,Pelletier Rickert Physical Therapy - Bokeelia,DELETE,THERAPY_PROVIDER,,,N,N,,(239) 283-1716,DRPATRICK2016@gmail.com,https://pelletier-rickertphysicaltherapy.com/,,https://pelletier-rickertphysicaltherapy.com/,1,HIGH,"Adult orthopedic hands-on PT clinic (Pine Island/Bokeelia office of a two-office practice). Focus is joint replacement recovery, post-surgical rehab, sports and auto-accident injuries, sciatica, vertigo and fall prevention. No pediatric or autism/DD services stated."
9756,Allied Physical Therapy Wellness Community - 1469 Sw 4th Ter,DELETE,THERAPY_PROVIDER,,,N,N,"1469 SW 4th Terrace, Cape Coral, FL 33991",(239) 242-0070,info@alliedpt.com,http://alliedpt.com/,,http://alliedpt.com/,1,HIGH,"Adult outpatient PT and wellness clinic in Cape Coral since 2005. Specialties are pelvic floor, TMJ, spine, shoulder and knee, sports injuries, dry needling, laser therapy, plus nutrition and fitness classes. No pediatric, autism or DD content."
9770,Jaguar Therapeutics - Miami,DELETE,THERAPY_PROVIDER,,,N,N,"3305 Rice Street, Coconut Grove, FL 33133",305-792-8393,grove@jaguartherapy.com,http://www.jaguartherapy.com/,,http://www.jaguartherapy.com/,1,HIGH,"Adult orthopedic/sports rehab clinic in Coconut Grove combining PT with chiropractic, acupuncture, dry needling, shockwave, Graston, AlterG treadmill and return-to-sport programs. Nothing pediatric or autism/DD related."
9775,Gold Coast Physical Therapy - West Palm Beach,DELETE,THERAPY_PROVIDER,,,N,N,"901 N. Flagler Dr #1, West Palm Beach, FL 33401",561-331-3636,info@goldcoastpt.com,https://goldcoastpt.com/west-palm-beach-flagler/,,https://goldcoastpt.com/west-palm-beach-flagler/,1,HIGH,"Adult outpatient orthopedic PT clinic. Caseload is arthritic pain, auto injuries, sports/ortho injuries, vertigo, workers' comp, plus hand therapy and custom orthotics. No pediatric, autism or developmental-disability services."
9782,South Florida Physical Therapy and Sports Rehab - 224 Se 9th St,DELETE,THERAPY_PROVIDER,,,N,N,,,,https://soflopt.com/,,https://soflopt.com/,3,MEDIUM,"SoFloPT SPORT: multi-location Fort Lauderdale sports physical therapy, sports rehabilitation and athletic performance-training practice. Site and third-party listings position it entirely around athletes and active adults; no pediatric, autism or DD offering found."
9784,Apex Physical Therapy - Fort Myers,DELETE,THERAPY_PROVIDER,,,N,N,"7990 Summerlin Lakes Drive, Suite 100, Fort Myers, FL 33907",(239) 337-2739,info@apexptflorida.com,https://apexptflorida.com/,,https://apexptflorida.com/,1,HIGH,"Cash-based concierge sports PT and performance clinic for athletes and active adults; services are dry needling, diagnostic ultrasound, personal training, NeuFit, Astym, Indiba. Case studies are all adults. No pediatric or autism/DD care. Note site address differs from the CSV address."
9790,Gold Coast Physical Therapy - Royal Palm Beach,DELETE,THERAPY_PROVIDER,,,N,N,"11482 Okeechobee Blvd, Suite 2, Royal Palm Beach, FL 33411",561-331-3636,info@goldcoastpt.com,https://goldcoastpt.com/royal-palm-beach/,,https://goldcoastpt.com/royal-palm-beach/,1,HIGH,"Royal Palm Beach branch of the same adult orthopedic PT group as id 9775. Orthopedic rehab, balance/vestibular, hand therapy, workers' comp and auto injury, shockwave and laser. No pediatric, autism or DD services."
9847,Florida Orthopaedic Institute - Tampa,DELETE,DENTAL_MEDICAL,,,N,N,"909 N Dale Mabry Hwy, Tampa, FL 33609",(813) 978-9797,,https://www.floridaortho.com/locations/south-tampa-dale-mabry/,,https://www.floridaortho.com/locations/south-tampa-dale-mabry/,1,HIGH,"Adult orthopaedic surgery/musculoskeletal medical practice with in-house ortho PT/OT and chiropractic. Sports medicine, joint replacement, trauma, spine. No pediatric developmental or autism services."
9852,Florida Orthopaedic Institute - Lakeland,DELETE,DENTAL_MEDICAL,,,N,N,"4725 US Hwy 98 S, Suite 101/102, Lakeland, FL 33812",(863) 328-5435,,https://www.floridaortho.com/locations/lakeland/,,https://www.floridaortho.com/locations/lakeland/,1,HIGH,"Branch of Florida Orthopaedic Institute, an adult orthopaedic/musculoskeletal physician practice with imaging and orthopedic physical therapy. No pediatric developmental or autism services."
9858,Jacksonville Orthopaedic Institute Rehabilitation - Second Floor,DELETE,DENTAL_MEDICAL,,,N,N,,(904) 564-2000,,https://www.joionline.net/,,https://www.joionline.net/,1,HIGH,"Rehabilitation arm of Jacksonville Orthopaedic Institute, an adult orthopaedic surgery practice. Ortho PT, hand/occupational therapy, sports medicine. No pediatric developmental or autism services."
9859,Jacksonville Orthopaedic Institute Rehabilitation - Jacksonville - 12276 San Jose Blvd,DELETE,DENTAL_MEDICAL,,,N,N,,(904) 564-2000,,https://www.joionline.net/,,https://www.joionline.net/,1,HIGH,"Outpatient rehab clinic of Jacksonville Orthopaedic Institute, an adult orthopaedic surgical practice. Orthopedic PT and hand therapy only. No pediatric developmental or autism services."
9866,Jacksonville Orthopaedic Institute Rehabilitation - Jacksonville - 12961 N Main St,DELETE,DENTAL_MEDICAL,,,N,N,,(904) 564-2000,,https://www.joionline.net/,,https://www.joionline.net/,1,HIGH,"Outpatient rehab clinic of Jacksonville Orthopaedic Institute, an adult orthopaedic surgical practice. Orthopedic PT and hand therapy only. No pediatric developmental or autism services."
9886,Gold Coast Physical Therapy - Lake Worth,DELETE,THERAPY_PROVIDER,,,N,N,"6169 Jog Rd, Suite A-11, Lake Worth, FL 33467",561-331-3636,info@goldcoastpt.com,https://goldcoastpt.com/lake-worth/,,https://goldcoastpt.com/lake-worth/,1,HIGH,"Adult outpatient orthopedic/sports PT clinic: post-surgical rehab, vestibular/balance, hand therapy, auto injury and workers comp. No pediatric or autism/DD services."
9888,"Mobile Therapy Group, LLC - Coral Springs",DELETE,THERAPY_PROVIDER,,,N,N,"5701 N University Drive, Cleveland Clinic, Coral Springs, FL 33067",(561) 461-5343,Cindy@MobileTherapyGroup.com,https://www.mobiletherapygroup.com/,,https://www.mobiletherapygroup.com/,1,MEDIUM,"Adult outpatient/mobile OT-PT practice centered on certified hand therapy, custom splinting, orthopedic and neuro rehab, plus stretch/massage wellness. No pediatric, autism or DD services stated."
9903,Florida Orthopaedic Institute - Gainesville,DELETE,DENTAL_MEDICAL,,,N,N,"7540 W University Ave, Gainesville, FL 32607",(352) 525-4900,,https://www.floridaortho.com/locations/gainesville/,,https://www.floridaortho.com/locations/gainesville/,1,HIGH,"Branch of Florida Orthopaedic Institute, an adult orthopaedic physician practice with urgent ortho care, imaging and orthopedic PT/OT. No pediatric developmental or autism services."
9971,Jacksonville Orthopaedic Institute Rehabilitation - Jacksonville - 7740 Point Meadows Dr,DELETE,THERAPY_PROVIDER,,,N,N,,(904) 564-2000,,http://www.joionline.net/,,http://www.joionline.net/,1,HIGH,"Adult orthopaedic surgery group and its sports-medicine rehabilitation arm (joint replacement, spine, shoulder/knee/hip, sports injury PT). No pediatric, autism or developmental services. Real PT provider but out of scope."
9990,"Jennifer L. Patterson, PT, DPT, OCS, MTC, CCI - 1430 Lakeland Hills Blvd",DELETE,THERAPY_PROVIDER,,,N,N,"1430 Lakeland Hills Blvd., Lakeland, FL 33805",863-680-7700,,https://www.watsonclinic.com/physicians/jennifer-l-patterson.html,,https://www.watsonclinic.com/physicians/jennifer-l-patterson.html,1,HIGH,"Individual physical therapist employed by Watson Clinic, board-certified orthopedic clinical specialist with manual therapy certification. Adult orthopedic/manual rehab; a single clinician profile, not a pediatric therapy organization."
9992,"Robin Martinez, PT, DPT - 1430 Lakeland Hills Blvd",DELETE,THERAPY_PROVIDER,,,N,N,"1430 Lakeland Hills Blvd., Lakeland, FL 33805",863-680-7700,,https://www.watsonclinic.com/physicians/robin-martinez.html,,https://www.watsonclinic.com/physicians/robin-martinez.html,2,HIGH,"Individual staff physical therapist in Watson Clinic's adult rehabilitation department (Center for Rehabilitative Medicine and Watson Clinic Highlands). No pediatric, autism or developmental-disability practice; a single clinician entry, not an organization."
9993,Watson Clinic Center for Rehabilitative Medicine - 1430 Lakeland Hills Blvd,DELETE,THERAPY_PROVIDER,,,N,N,"1430 Lakeland Hills Blvd, Lakeland, FL 33805",863-680-7700,,https://www.watsonclinic.com/locations/1430-lakeland-hills-blvd-lakeland-fl.html,,https://www.watsonclinic.com/locations/1430-lakeland-hills-blvd-lakeland-fl.html,1,HIGH,"Adult outpatient PT/OT department of the Watson Clinic multispecialty group: stroke and Parkinson's neuro rehab, orthopedic and sports rehab, vestibular, lymphedema, wound care, hand therapy. No pediatric, autism or developmental programs listed."
10024,FYZICAL Therapy & Balance Centers - Indialantic,DELETE,THERAPY_PROVIDER,,,N,N,"417 5th Ave Suite 101B, Indialantic, FL",,,https://www.fyzical.com/indialantic,,https://www.fyzical.com/indialantic,1,HIGH,"FYZICAL franchise clinic specializing in adult balance, fall prevention, vertigo/vestibular rehab, concussion, post-surgical and injury rehab. No pediatric, autism or developmental disability services mentioned."
10159,Conway Lakes Health & Rehabilitation - 5201 Curry Ford Rd,DELETE,OTHER,,,N,N,"5201 Curry Ford Rd, Orlando, FL 32812",407-384-8838,,http://conwaylakesrehab.com/,,http://conwaylakesrehab.com/,1,HIGH,"Adult/geriatric skilled nursing facility and short-term rehabilitation center (CMS 5-star, Florida Governor's Gold Seal). PT/OT/speech offered but for orthopedic, stroke, cardiac and pulmonary recovery in adults and seniors. No pediatric or autism/DD services."
10192,FYZICAL Therapy & Balance Centers - Stuart - 4287 Se Federal Hwy,DELETE,THERAPY_PROVIDER,,,N,N,,,,https://www.fyzical.com/stuart-fl,,https://www.fyzical.com/stuart-fl,2,MEDIUM,"Adult and senior outpatient physical therapy franchise specializing in vertigo, vestibular and balance disorders, fall prevention, orthopedic/sports rehab and auto/work injuries. No pediatric or autism/DD service anywhere on the site, so out of scope. The CSV URL fyzical.com/treasurecoast returns HTTP 405 on repeat attempts; the live local site is fyzical.com/stuart-fl."
10193,FYZICAL Therapy & Balance Centers - Stuart - 1609 Nw Federal Hwy,DELETE,THERAPY_PROVIDER,,,N,N,,,,https://www.fyzical.com/stuart-fl,,https://www.fyzical.com/stuart-fl,2,MEDIUM,"Second Stuart address of the same adult-focused FYZICAL balance and vestibular / orthopedic PT franchise (shares the Treasure Coast website with id 10192). Fall prevention and adult injury rehab only, no pediatric or autism/DD programming. Out of scope."
10218,Back To Work Physical Therapy - Westchase - 10960 Sheldon Rd,DELETE,THERAPY_PROVIDER,,,N,N,,(800) 699-9395,,https://www.h2health.com/locations/back-to-work-physical-therapy/westchase-fl/,,https://www.h2health.com/locations/back-to-work-physical-therapy/westchase-fl/,1,HIGH,"Adult outpatient orthopedic and workers'-compensation physical therapy clinic in the H2 Health network. Focus is work injury rehab, sports medicine, chronic pain, prehab and performance. H2 Health delivers pediatric/developmental care under a separate brand (Great Strides Pediatric Rehabilitation), not at this location. Out of scope."
10262,Daytona Beach Health and Rehabilitation Center - Holly Hill,DELETE,OTHER,,,N,N,"1055 3rd Street, Daytona Beach, FL 32117",386-252-3686,,http://daytonabeachhealthandrehab.com/,,http://daytonabeachhealthandrehab.com/,1,HIGH,"Adult skilled nursing facility / long-term care nursing home offering rehab therapy to elderly residents, with beautician, laundry and restaurant-style dining services. No pediatric or autism/DD component. Out of scope."
10353,"H2T PT, LLC - West Palm Beach",DELETE,CHIROPRACTIC,,,N,N,"1683 Forum Place, West Palm Beach, FL",(561) 867-8789,,http://www.h2tpt.com/,,http://www.h2tpt.com/,1,HIGH,"Adult orthopedic/sports injury clinic combining chiropractic adjustments with physical therapy modalities (cold laser, shockwave, e-stim, ultrasound, post-op rehab). Marketed to auto-accident, slip-and-fall and sports injury patients. No pediatric, autism or developmental services."
5760,Little Tesla Pediatric Therapy - 6000 Turkey Lake Rd,KEEP,THERAPY_PROVIDER,aba|speech-therapy|occupational-therapy|physical-therapy|feeding-therapy|dir-floortime|group-therapy|virtual-therapy|parent-coaching|life-skills,,Y,Y,"7075 Kingspointe Parkway, Unit 14, Orlando, FL 32819",321-732-3723,info@littleteslapediatrics.com,https://littleteslapediatrics.com/,"Multidisciplinary pediatric therapy clinic in Orlando providing ABA, speech, OT, PT, feeding therapy, DIR/Floortime, INPP reflex integration, ADL and group programs, telehealth, and parent training for children with autism and delays.",https://littleteslapediatrics.com/,1,HIGH,"Pediatric multidisciplinary therapy clinic explicitly serving Autism Spectrum Disorder and developmental/motor delays. Site lists address 7075 Kingspointe Pkwy and phone 321-732-3723, which differ from the CSV row (6000 Turkey Lake Rd / 321-352-7168) — location/phone may need reconciliation."
5808,Quest Kids Therapy - Tampa - 3910 Us-301,KEEP,ABA_PROVIDER,aba|life-skills,,Y,Y,"3910 N. US Highway 301, Suite 200, Tampa, FL 33619",813.423.7700,,https://questinc.org/quest-kids-therapy/,"Quest Kids Therapy, the pediatric arm of nonprofit Quest, Inc., provides ABA therapy for children with autism and developmental disabilities from early childhood through adolescence, covering communication, social, motor and daily living skills.",https://questinc.org/quest-kids-therapy/,3,MEDIUM,"Nonprofit serving individuals with developmental disabilities; Quest Kids Therapy is its children's ABA program. The Quest Kids page names only Orlando and Lake Mary therapy centers, but the CSV address matches Quest's Tampa regional office and a third-party listing shows Quest Kids Therapy serving Tampa — confirm the Tampa site is an operating therapy center."
6982,Core Connections Inc. - 1435 Aurora Rd,KEEP,ABA_PROVIDER,aba|life-skills|parent-coaching|ados-testing,ados-testing,Y,Y,,321-541-1970,,http://coreconnectfl.com/,"Brevard County autism provider offering ABA therapy, life skills training, caregiver support, diagnostic and assessment services, and teen/young-adult transition programs for ages 18 months to 18 years across two campuses.",http://coreconnectfl.com/,2,HIGH,Dedicated autism/developmental disability provider with 20+ autism specialists; ABA plus life skills and caregiver training. ados-testing inferred from a 'Diagnostic & Assessment' program listed in site navigation without detail. Site pages loaded do not publish a street address or email.
7674,The NEEDS Center - 175 Industrial Loop S,KEEP,ABA_PROVIDER,aba|mobile-services|residential-program|life-skills,life-skills,Y,Y,"360 Corporate Way Suite 1, Orange Park, FL 32073",(978) 216-0300,Info@needsctr.org,https://needsctr.org/,"501(c)(3) serving people with autism and intellectual/developmental disabilities: home-based ABA therapy for children, school consultation, plus adult day and residential programs in Florida and Massachusetts.",https://needsctr.org/,1,HIGH,"Nonprofit ABA and positive behavior support provider for ASD, I/DD, ADHD and behavioral disorders; children served via home-based ABA and school consultation, adults via day/residential services. Site lists the Florida division at 360 Corporate Way Suite 1, Orange Park — differs from the CSV address (175 Industrial Loop S); verify which is current. Phone published is the MA headquarters number."
