id,name,verdict,services_proposed,autism_relevance,evidence_url,evidence_source_type,evidence_note,suspected_duplicate_id,verified_address,services_inferred,confidence,notes
7596,Aries Physical Therapy - Fort Lauderdale - 6290 N Federal Hwy,DELETE,,N,http://ariesphysicaltherapy.com/,BOTH,"Same adult sports rehab brand; Imperial Point site, no pediatric offering",,,,HIGH,"Second Aries location (marketed as 'Aries Physical Therapy - Imperial Point') corroborated by third-party listings at 6290 N Federal Hwy, Fort Lauderdale 33308. Same corporate site and same offering as id 7587: adult sports performance, post-surgical and injury rehab, dry needling. No pediatric, developmental, or autism services stated anywhere on the provider's own site, so it fails the special-needs relevance test and should be deleted alongside 7587. NOT a duplicate of 7587 despite the shared name and phone number - the two clinics sit at different street addresses, and per the duplicate rule multi-location providers legitimately hold separate records. Provider site lists no street address, hence empty verified_address."
7670,Sunshine Kidz Pediatric Care - Hollywood,NEEDS_REVIEW,,Y,https://floridadaycares.in/day-care/sunshine-kidz-pediatric-care/,THIRD_PARTY,Provider site unreachable; third party calls it specialized childrens daycare,,,,LOW,"PROVIDER SITE UNREACHABLE - sunshinekidzppec.com blocked every fetch attempt (robots.txt connect timeout on /, /locations, /contact-us, /departments), so neither the address nor a service list could be confirmed from the organization itself, and services_proposed is deliberately empty. Strong indication this is MOVE_PPEC: the org's own domain contains 'ppec' and every search-indexed page from that domain carries the title 'Florida's Premier Pediatric Medical Daycare', which is the PPEC model - nursing-supervised medical daycare where the parent drops the child off, not standalone therapy appointments. A third-party daycare directory describes it as a specialized daycare providing speech, physical and occupational therapy for children with various needs, which is acceptable evidence for the model but not for a service list. Owner should open sunshinekidzppec.com/locations in a browser, confirm the 6603 Taft St Hollywood address, and if confirmed move to ppec_centers. Related record 8504 is the Fort Lauderdale site of the same chain and is blocked in the same way; a third-party listing also shows a Sunshine Kidz at 24 NE 1st Ave, Hallandale Beach, so check for further sibling locations."
7674,The NEEDS Center - 175 Industrial Loop S,NEEDS_REVIEW,aba|residential-program|life-skills|mobile-services,Y,https://www.needsctr.org/florida-division/,PROVIDER_SITE,"Site lists home-based ABA for autism, residential and day services",9078,"360 Corporate Way Suite 1, Orange Park, FL 32073",life-skills|mobile-services,HIGH,"Confirmed duplicate of id 9078: same organization (NEEDS Center / North East Educational & Developmental Support Center) at the identical street address 175 Industrial Loop S, Orange Park. Owner must pick one surviving record. Separate issue: the org's own site states its Florida Division office as 360 Corporate Way Suite 1, Orange Park 32073 - NOT 175 Industrial Loop S. Whichever record survives, the address needs verification; 175 Industrial Loop S may be a stale or secondary location. Site confirms mission serving individuals with developmental disabilities: home-based ABA therapy for children with ASD, school consultation for ASD/IDD/ADHD, adult day services (skills-building, recreation, volunteering) and 32 residences. Legitimately belongs in resources. life-skills inferred from the day-services skills-building description; mobile-services inferred from ABA being delivered in-home. No speech, OT or PT offered."
7756,"Therapy with Alyse, LLC - Palm Springs",DELETE,,N,https://therapywithalyse.com/therapy-with-alyse-llc-alyse-mckeal-lcsw-rpt-msw-ma-contact-me/,PROVIDER_SITE,"Solo psychotherapist site, talk and play therapy, no autism mention",,,,MEDIUM,"Site is live. Solo practitioner Alyse McKeal, LCSW/RPT, offering trauma-informed talk therapy, EMDR, IFS, polyvagal, mindfulness, sand tray and play therapy for children, teens and adults. Nothing on the site - homepage, about, or contact - mentions autism, developmental disability, or special needs; no ABA, speech, OT, PT or any other valid directory service. Empty services array is the red flag: this is a generic psychotherapy practice, and there is no service slug for counseling/psychotherapy. Also an address problem - the site names only 'West Palm Beach, Florida' plus Virginia, Massachusetts and telehealth, and never states a street address; the record's 1825 Forest Hill Blvd, Palm Springs is unverifiable from the provider. Delete unless the owner has direct confirmation she treats autistic clients."
8176,"Dr. April Brown, LMHC, CST Relationship, Intimacy, And Sex Therapist - 290 Nicholas Pkwy",DELETE,,N,https://www.draprilbrown.com/,PROVIDER_SITE,"Adults and couples only, relationship and sex therapy, no pediatric work",,"3208 Chiquita Blvd Suite 204, Cape Coral, FL 33914",,HIGH,"Adult-only counseling practice with zero autism or special-needs relevance. Site describes couples therapy, sex therapy, Gottman Method, EMDR, spiritual and family counseling, anxiety/depression, ESA letters and sex offender treatment, and explicitly states she works with 'adults and couples.' No children's services. No valid directory service slug applies. Address on the record (290 Nicholas Pkwy) does not match either address the site publishes: Cape Coral at 3208 Chiquita Blvd Suite 204, and Sarasota at 1487 2nd Street Suite C-4. Falls squarely under adult-only counseling/psychotherapy with no autism focus - remove from the directory."
8356,BTTC West Palm Beach Rehab - 5829 Corporate Way,DELETE,,N,https://bettertomorrowtc.com/,PROVIDER_SITE,"Adult drug and alcohol rehab, PHP and IOP, no pediatric programs",,"901 Northpoint Parkway, Suite 400, West Palm Beach, FL 33407",,HIGH,"Better Tomorrow Treatment Center is an adult substance-use and co-occurring mental health facility - PHP, IOP and outpatient for opioid, meth, cocaine and alcohol addiction, plus trauma-focused and group counseling. No autism, developmental disability or special-needs content anywhere on the site, and no pediatric or adolescent track. Group therapy here is addiction-recovery group work, not an autism service, so no slug should be assigned. Address also wrong: the site publishes 901 Northpoint Parkway Suite 400, not 5829 Corporate Way. Adult rehab with no autism relevance - belongs in no table."
8382,Catalyst Physical Therapy - Palm Harbor,DELETE,,N,https://catalystpt.org/about-us/palm-harbor-location/,PROVIDER_SITE,"Adult orthopedic and sports PT clinic, no pediatric or developmental care",,"32672 US Hwy 19 N, Palm Harbor, FL 34684",,HIGH,"Record address is correct and confirmed on the provider's own location page. However this is an adult orthopedic/sports PT and diagnostics practice, not a pediatric one. The services page lists manual therapy, myofascial release, joint mobilization, manipulation, kinesio taping, cupping, dry needling, neural mobilization, trigger point, hand therapy, proprioception and therapeutic exercise, plus EMG/NCS and MSK ultrasound. Conditions treated are arthritis, back/sciatica, chronic pain, fibromyalgia, neck pain, TMJ, vestibular, sports/work/auto injuries, pre- and post-surgical rehab and Parkinson's. Nothing pediatric, developmental, or autism-related anywhere on the site - this is not a pediatric PT clinic that merely omits the word 'autism.' Meets the sports/orthopedic PT exclusion; remove."
8432,Aries Physical Therapy - Hollywood,DELETE,,N,https://ariesphysicaltherapy.com/,BOTH,"Sports performance and injury rehab clinic, no pediatric or autism services",,,,MEDIUM,"Homepage loads and positions the practice around injury rehabilitation, sports performance training (power, speed, agility, conditioning), injury prevention and dry needling for athletes, corporate professionals, and the site's own phrasing 'the young and the elderly.' No pediatric program, no developmental or neurological rehab, no autism or special-needs mention on any reachable page. The /contact-us/ page is blocked by robots.txt so the street address could not be confirmed from the provider directly; third-party listings do place an Aries location at 3313 Sheridan St, Hollywood, which supports the record's address but cannot support a service list. Confidence is MEDIUM only on the address, HIGH on the lack of autism relevance. Sports/orthopedic PT with no special-needs focus - delete."
8484,Beachway Therapy Center | Florida Rehab - 1700 N Dixie Hwy,DELETE,,N,https://www.beachway.com/,PROVIDER_SITE,Adult addiction and mental health rehab; no pediatric or autism programming,,"1700 N Dixie Hwy, West Palm Beach, FL 33407",,HIGH,"Own site describes detox, residential, PHP/IOP and dual-diagnosis treatment for substance use, operating since 2008. Content is exclusively adult-facing; no mention of children, autism, developmental disability, ABA, speech, OT or PT. The residential-program slug does NOT apply here - it is adult addiction rehab, not a developmental-disability residential program. Belongs in no table under the placement rules (adult rehab with no special-needs focus). Address on site matches the record address."
8499,Stretch Zone - Pembroke Pines,DELETE,,N,https://www.stretchzone.com/locations/pembroke-pines,PROVIDER_SITE,"Assisted-stretching wellness franchise, no clinical or pediatric services",,"14826 Pines Blvd, Pembroke Pines, FL 33028",,HIGH,"Location page sells practitioner-assisted stretching sessions and a FlexPoints membership rewards program. No licensed physical therapy, no pediatric program, no autism or special-needs mention anywhere on the location page. This is a consumer wellness franchise, explicitly named in the belongs-nowhere rule. Do not tag physical-therapy - assisted stretching is not licensed PT. Consistent with the pilot batch, where Stretch Zone - Lakeland (id 8481) was also deleted; check for further Stretch Zone records across the table."
8504,Sunshine Kidz Pediatric Care - Ft Lauderdale,NEEDS_REVIEW,,Y,,THIRD_PARTY,Provider site unreachable; indexed page titles say pediatric medical daycare,,,,LOW,"PROVIDER SITE UNREACHABLE - sunshinekidzppec.com blocked every fetch attempt (robots.txt connect timeout on /, /locations, /contact-us, /departments) and the WE CARE Broward listing was likewise unfetchable, so no URL was confirmed loaded, evidence_url is empty, and neither the 2122 W Cypress Creek Rd address nor a service list could be verified. Search-indexed titles from their own domain read 'Florida's Premier Pediatric Medical Daycare' and the domain itself contains 'ppec', and the org runs multiple Broward sites. Strong indication this is MOVE_PPEC - a Prescribed Pediatric Extended Care center with nursing for medically complex children, which does not belong in resources - but flagged NEEDS_REVIEW because the site could not be loaded. Owner should open the site manually and, if confirmed, move this and sibling record 7670 (Hollywood) to ppec_centers together."
8510,Rise Counseling Treasure Coast - Port Saint Lucie,NEEDS_REVIEW,,UNCLEAR,https://risecounselingtc.com/,PROVIDER_SITE,Counseling-only practice; site lists a different street address than record,9043,"6666 S US Hwy 1, Port St. Lucie, FL 34952",,HIGH,"Confirmed duplicate of id 9043 - same organization, same record street address (1680 SE Lyngate Dr), name differs only by 'Port Saint Lucie' vs 'Port St. Lucie'. Owner must pick which record survives. Two further problems to resolve at the same time: (1) the practice's own site and contact page both state 6666 S US Hwy 1, Port St. Lucie - 1680 SE Lyngate Dr appears nowhere on their site, so the address on BOTH records is likely stale and needs correcting on whichever survives; (2) the site lists only individual, couples, family, adolescent and child counseling plus EMDR, with no autism, special-needs, ABA, speech or OT content. There is no valid service slug for psychotherapy, so the surviving record would sit in resources with an empty services array - the red flag condition. Recommend the surviving record be re-evaluated for deletion after dedup unless the owner has offline knowledge of an autism caseload."
8520,Traveling Light Counseling Inc - Port Saint Lucie,NEEDS_REVIEW,,UNCLEAR,https://www.nourividawellness.com/,PROVIDER_SITE,Rebranded to Nourivida Wellness; counseling and nutrition therapy only,6854,"1222 SE Port Saint Lucie Blvd, Port Saint Lucie, FL 34952",,HIGH,"Confirmed duplicate of id 6854 - same organization at the same verified street address, 1222 SE Port St Lucie Blvd. Owner decides which survives. Also note travelinglightcounseling.com now 302-redirects to nourividawellness.com; the site states 'Nourivida Wellness is the new home of Traveling Light Counseling', so the surviving record needs its name and website URL updated to the new brand. Services on their own site are counseling/psychotherapy, nutrition therapy, and integrative care. They reference general 'neurodivergent support' but name no autism-specific program and no ABA, speech, OT or evaluation services. No valid service slug applies, so the surviving record would have an empty services array in resources - re-evaluate for deletion after dedup and after confirming with the practice whether the neurodivergent work includes autistic clients."
8554,Harmony United Psychiatric Care - Clearwater - 611 Druid Rd,DELETE,,N,https://hupcfl.com/locations/clearwater-florida/,PROVIDER_SITE,General psychiatry and medication management chain; no autism content on site,,"611 Druid Rd East, Suite 512, Clearwater, FL 33756",,MEDIUM,"Clearwater location page confirms the record address (611 Druid Rd East Ste 512). Services listed on their own site are psychiatric evaluation, medication management, psychotherapy/counseling, neuropsychological testing, telepsychiatry, TMS, pharmacogenetic testing, and group therapy; they treat children, adolescents and adults, with childhood ADHD and play therapy named. Autism and autism spectrum disorder appear nowhere on the homepage, the Clearwater location page, or in site-restricted search - this is a general multi-site psychiatry chain, matching the belongs-nowhere rule for generic medical providers with no autism or special-needs focus. Left services_proposed empty on that basis; if the owner instead wants to keep it for co-occurring psychiatric care, the only defensible slug from their own site is group-therapy, and ados-testing must NOT be applied (their neuropsych testing is not stated to include ADOS). Same decision applies to sibling record 8555 (Gainesville)."
8555,Harmony United Psychiatric Care - Gainesville - 7135 Nw 11th Pl,DELETE,,N,https://hupcfl.com/locations/gainesville-florida/,PROVIDER_SITE,"Site lists psychiatry, medication management, counseling; no autism content anywhere",,"7135 NW 11th Pl, Suite B, Gainesville, FL 32605",,MEDIUM,"Location page confirms the record address. Service list across the location page and hupcfl.com/services covers psychiatric evaluation, medication management, psychotherapy, neuropsych/neurocognitive testing, TMS, telepsychiatry, group and family therapy. Neither page mentions autism, ASD, ADOS, developmental disability, or ABA; they do treat child/adolescent ADHD but market as general mental health. Generic psychiatry/counseling practice with no autism or special-needs focus and no valid service slug (no slug exists for psychiatry or medication management) - belongs nowhere per the placement rules. If the owner considers general child psychiatry in-scope for the directory, this would flip to KEEP_BACKFILL with an empty services array, which is itself a red flag. Same decision applies to sibling record 8554 (Clearwater)."
8556,SPEECH LANGUAGE PATHOLOGIST - Wellington,NEEDS_REVIEW,,UNCLEAR,https://creativetherapysolutions.org/contact/,PROVIDER_SITE,Record URL now redirects to an unrelated Arizona ABA company,,,,LOW,"Record is unusable as-is: the name is a job title not an organization, and the address field has no street, only 'WELLINGTON'. The stored website creativetherapysolutions.com 302-redirects to creativetherapysolution.com, which is Creative Therapy Solution, an ABA/PEERS provider at 4845 E Thunderbird Rd, Scottsdale AZ - a different, out-of-state organization, not a Florida SLP. The likely intended provider is Creative Therapy Solutions, LLC (creativetherapysolutions.org), a pediatric/adult speech practice whose own contact page states 2168 Jog Road, West Palm Beach/Greenacres FL 33415 - Palm Beach County but NOT Wellington. That site lists speech/language, swallowing-feeding therapy, and AAC (PECS and devices), which would map to speech-therapy|feeding-therapy|aac, but it never mentions autism and no Wellington location exists on it. Owner must confirm the correct entity, real name, and street address before any backfill; services deliberately left empty until identity is settled."
8557,The Arc of Volusia Inc - Holly Hill - 100 Jimmy Huger Cir,NEEDS_REVIEW,life-skills,Y,http://arcvolusia.org/,PROVIDER_SITE,"Own site gives this address as Daytona Beach, matching existing record 7402",7402,"100 Jimmy Huger Circle, Daytona Beach, FL 32117",,HIGH,"Confirmed duplicate of id 7402 'The Arc of Volusia Inc - Daytona Beach' - same organization, same street address (100 Jimmy Huger Cir). The Arc's own site states this location as Daytona Beach FL 32117, so 7402 carries the correct city label and 8557's 'Holly Hill' label is wrong; owner should retain 7402 and drop 8557. Substantively the org is correctly in resources as a support/services organization for intellectual and developmental disabilities (founded 1962, IDD population, disability diagnosed before age 18). Programs stated: Adult Day Training (day-to-day skill development), Workshop and Assembly Services, Supported Employment. Only life-skills maps to a valid slug; supported employment and sheltered workshop have no slug. Site does not name autism explicitly and lists no residential, respite, or therapy programs, so do not tag residential-program or respite-care. Second campus at 1738 Patterson Ave, DeLand is a separate location and would warrant its own record if not already present."
8563,Stephonia Llewellyn - Child/Adolescent Therapist - 7451 Wiles Rd,NEEDS_REVIEW,,UNCLEAR,https://www.medpsych.net/coral-springs/,PROVIDER_SITE,Individual clinician page inside Comprehensive MedPsych Systems group practice,,"7451 Wiles Road, Suite 102-103, Coral Springs, FL 33067",,MEDIUM,"SUSPECTED DUPLICATE, ID UNKNOWN - this is a staff bio page, not an organization. The practice is Comprehensive MedPsych Systems (CMPS); its own Coral Springs office page confirms the exact record address, 7451 Wiles Road, Suite 102-103, Coral Springs FL 33067. Per the individual-clinician rule this record duplicates the practice-level record for CMPS Coral Springs, but no match_id was supplied in duplicate_candidates.csv and no CMPS id could be determined from public sources, so suspected_duplicate_id could not be populated - owner should look up the CMPS Coral Springs id in the resources table and either link or delete this record. Her bio lists trauma, family dysfunction, substance abuse, educational and behavioral issues for ages 6-17 using CBT, play therapy, and narrative therapy - no autism focus and no valid service slug (counseling has none). Note the bio also says she is 'a therapist in Davie', conflicting with the Coral Springs location, and she is not listed on the current Coral Springs staff roster, so she may no longer be at this site. The parent practice does advertise Autism Evaluation on medpsych.net, so a practice-level CMPS record could legitimately carry ados-testing - but this individual record should not be enriched."
8564,A Beautiful Mind Counseling and Consulting - Port Saint Lucie,NEEDS_REVIEW,,N,http://www.abeautifulmindcounseling.com/,PROVIDER_SITE,"Site sells individual, couples, family, and child therapy sessions only",8867,,,MEDIUM,"Confirmed duplicate of id 8867 'A Beautiful Mind Counseling and Consulting - Port St. Lucie' - identical organization name at the identical street address, only the city spelling differs; owner picks the survivor. Clawson Speech Therapy (ids 7338 and 9249) is a DIFFERENT organization sharing 1225 SE Port St Lucie Blvd - Danielle Clawson's own site describes a solo pediatric speech practice (speech sound disorders, childhood apraxia, early intervention, language delays) with no connection to A Beautiful Mind, so it is correctly not flagged here; separately worth the owner's attention that clawsonspeechtherapy.com states the practice stopped accepting new Florida clients Jan 1 2026 because the owner relocated out of state, and that 7338 and 9249 look like duplicates of each other. On the merits, A Beautiful Mind's own site offers only individual, couples, family, and children therapy sessions at $150; no autism, ADHD, developmental disability, ABA, speech, OT, or testing content, and the site states no street address anywhere (contact/about/services pages 404 or are blocked). Empty services array in resources is a red flag - after the duplicate is resolved, the survivor is still a general counseling practice with no autism relevance and is a DELETE candidate."
8572,Early Steps at CDTC - 1401 Federal Hwy,KEEP_BACKFILL,speech-therapy|occupational-therapy|physical-therapy,Y,https://childrensdiagnostic.com/early-steps/,PROVIDER_SITE,"Birth-to-three early intervention listing OT, PT, and speech therapy",,"1401 South Federal Highway, Fort Lauderdale, FL 33316",,HIGH,"Old domain childrensdiagnostic.org redirects to childrensdiagnostic.com; update the website field. Own contact page confirms 1401 South Federal Highway, Fort Lauderdale FL 33316. Early Steps at CDTC is Broward's Part C early intervention program for infants and toddlers birth through 3 with developmental delays or disabilities; the program page explicitly lists occupational, physical, and speech therapy plus audiology, vision, assistive technology, service coordination, and family education, at no cost to families. Correctly placed in resources as an evaluation/early-intervention provider - families access services without enrolling in any childcare program. Autism relevance is Y: Early Steps is the standard referral path for toddlers with suspected autism even though the page does not use the word. Note CDTC is the coordinating entity working with 28+ enrolled agencies, so some therapy is delivered by subcontractors and in natural environments; consider mobile-services only if the owner can confirm home-based delivery, which the site does not state. CDTC's other arms (primary care clinic, pediatric dental, ECHO) are not autism-specific and do not warrant separate records."
8573,Life Developmental Center - Miramar - 6700 Sw 13th St,NEEDS_REVIEW,life-skills,Y,https://www.lifedevelopmentalcenter.org/services,PROVIDER_SITE,"Adult day program teaching academics, life skills, leisure for special needs adults",5828|6515,"6700 SW 13th Street, Pembroke Pines, FL 33023",,HIGH,"Site lists exactly ONE location: 6700 SW 13th St, Pembroke Pines 33023 - so records 8573 (labeled Miramar), 5828 and 6515 (labeled Pembroke Pines) are all the same single site and are genuine duplicates; owner must pick one survivor. Correct city is Pembroke Pines, not Miramar (some search-engine titles say Davie - stale metadata, ignore). Org is an adult day training center for adults with developmental disabilities aging out of school-based services. Programs stated: Education (core academics), Fundamentals (money handling, time, hygiene, nutrition, cooking, safety), Leisure (yoga, Zumba, sports, drama via The Exceptional Theater Company), Inclusion (Nova University, Special Olympics, community outings). No ABA/speech/OT/PT offered - life-skills is the only valid slug. Special-needs relevance is clear even though the site never uses the word autism. If kept in resources, it is a legitimate support/day-program organization, not a therapy clinic."
8577,Catalyst Physical Therapy - Clearwater,DELETE,,N,https://catalystpt.org/physical-therapy-services/,PROVIDER_SITE,Adult orthopedic and sports PT; no pediatric or special-needs services listed,,"1206 Court Street, Clearwater, FL 33756",,HIGH,"Site loads and the Clearwater address matches the record. Full service list is adult orthopedic, sports and neuro rehab: manual therapy, myofascial, joint mobilization, manipulation, Kinesio taping, cupping, neural mobilization, trigger point, hand therapy, proprioception, therapeutic exercise, dry needling, tele-PT, vestibular rehab, plus in-house EMG/NCS and MSK ultrasound. Populations named are sports injuries, post-surgical rehab, arthritis, chronic pain and adult neurological conditions such as Parkinson's. No pediatric, developmental, early intervention, autism or special-needs offering anywhere on the site - this is not a pediatric PT clinic, so the special-needs benefit-of-the-doubt for peds therapy does not apply. Matches the sports/orthopedic PT delete rule, same as sibling record 8382 (Palm Harbor). Caution for the owner: a similarly named but unrelated practice, catalystptandwellness.com, does have a pediatric page - do not let that be used as justification to keep this record."
