# ABA TAG AUDIT - INDIVIDUAL DOMAIN SHORTLIST - FINAL, 2026-08-18
# 231 records. Superseded: the CC original and the 80-row prefilled subset.
#
# keith_verdict answers ONE question: is the aba tag correct on this record?
#   Y = tag correct.  N = tag wrong, aba stripped or record deleted.
# Y does NOT certify address, phone, services or insurance. See id 10343, which
# was correctly tagged aba and still had a wrong address, wrong phone and six
# missing services.
#
# 129 rows carry AUTO-Y in keith_note: business name contains ABA or behavior
# AND the crawler stored a service-claim excerpt. Tag question only.
#
# db_action records what was executed in Supabase on 2026-08-18. Blank means no
# database change was needed.
#
# Taxonomy decisions closed WONT BUILD: no general-psychological-services slug,
# no funding-organization category.
#
id,name,canonical_city,services,aba_flag,aba_excerpt,domain,join_method,needs_website,keith_verdict,keith_note,db_action
7319,Crystal Angels Behavior Center Inc,CAPE CORAL,aba,True,ty. We are more than happy to guide you through our process personally. What is ABA? – CRYSTAL ANGELS BEHAVIOR CENTER . INC Skip to content what is ABA Applied Beh,crystalangelsbehavior.com,both,,Y,AUTO-Y: name contains ABA/behavior + crawler excerpt is a service claim. Tag confirmed; record data not audited.,
7010,Meraki Behavior Therapy LLC,CAPE CORAL,life-skills|aba|speech-therapy|physical-therapy|occupational-therapy|support-groups|parent-coaching,True,"ily-Centered Behavioral Therapy Meraki delivers lasting, meaningful progress in ABA therapy for children across Cape Coral, Fort Myers, Lehigh, Naples, and Port Ch",merakibehaviortherapy.com,both,,Y,AUTO-Y: name contains ABA/behavior + crawler excerpt is a service claim. Tag confirmed; record data not audited.,
7343,Puzzle Therapy Services,CAPE CORAL,aba,True, My Account Professional Services - Proven Solutions Applied behavior analysis (ABA) is best known for its success in treating individuals with autism spectrum dis,puzzletherapyservices.com,both,,Y,,
6906,Behavior Analysis Solutions LLC,CLEARWATER,aba,True,Behavior Analysis Solutions | ABA Services in Pinellas County top of page ABA SERVICES? RBT - APPLY NOW Microscho,behavioranalysissolutions.com,both,,Y,AUTO-Y: name contains ABA/behavior + crawler excerpt is a service claim. Tag confirmed; record data not audited.,
6932,Richard B. Funk Center for Great Expectations,CLEARWATER,aba,True,ren diagnosed with Autism Spectrum Disorder. What is Applied Behavior Analysis (ABA)? ﻿ Applied Behavior Analysis is: A scientifically proven method used to produc,thearctb.org,both,,Y,,
7229,Step Beyond Development,CLEARWATER,physical-therapy|life-skills|feeding-therapy|group-therapy|parent-coaching|executive-function-coaching|aba,True,"Step Beyond Development – ABA Therapy in Clearwater, Florida- Step Beyond Development Skip to content ABA The",stepbeyonddevelopment.com,both,,Y,accepts most insurances; not seeing PT as something offered - remove,
6338,"THE ARC TAMPA BAY, INC.",CLEARWATER,aba|life-skills,True,ren diagnosed with Autism Spectrum Disorder. What is Applied Behavior Analysis (ABA)? ﻿ Applied Behavior Analysis is: A scientifically proven method used to produc,,phone,,Y,https://www.thearctb.org/ - needs review to determine if data matches site.,
6326,AUTISM AWARENESS SHOP,TAMPA,aba|life-skills,True,"ages with autism. We provide Occupational Therapy, Speech/Language Therapy, and ABA within our clinic for individuals 14 and older, as well as home-based therapies",,phone,,N,"this appears to be an actual shop where people can buy autism-related merchandise, and proceeds support the Autism Acceptance Center - https://aactampa.org/ - record 10343. Prompt me and I'll give you relevant screenshots showing their contact info and services, as I think that record needs updating. This record should probably go - it's just a shop and the actual services are performed by 10343.","DELETED 2026-08-18 - duplicate of 10343, same legal entity EIN 47-4899006"
7028,Creative Minds ABA Services Inc.,COCONUT CREEK,life-skills|respite-care|aba|occupational-therapy|parent-coaching,True,,creativemindsfla.com,both,EMPTY-EXCERPT,Y,website loaded fine for me. Services need updating to remove OT. I see no evidence of that on the site. They do provide in-home (mobile) services.,
6633,Find Peace by Piece,COCONUT CREEK,aba,True,Palm Beach County ABA Therapy Provider | Find Peace by Piece (561) 418-0208 request@findpeacebypiece.,findpeacebypiece.com,both,,Y,add parent coaching and social groups,"RETAGGED - added parent-coaching, support-groups"
7501,"Florida Family Support, LLC",COCONUT CREEK,respite-care,True,"Florida Family Support – ABA Therapy Services Skip to the content Maximizing your Child’s Success, One Step ",flfamilysupport.com,both,,Y,add parent coaching and social groups and mobile services; accepts most insurances,"RETAGGED - added parent-coaching, support-groups, mobile-services; accepts-most-insurances"
7306,Beans Behavior Analysis Services,CORAL GABLES,aba|support-groups|parent-coaching|virtual-therapy,True,ABA Therapy | Beans Behavior Analysis Services top of page BEANS Be havior An alysi,beansbehavior.com,both,,Y,AUTO-Y: name contains ABA/behavior + crawler excerpt is a service claim. Tag confirmed; record data not audited.,
6888,Blossom Behavior Therapy,CORAL GABLES,aba,True,"ide a rigorous program with high standards because we believe in the science of ABA. Founded by passion for our field, Blossom was created to elevate the standard ",blossombehaviortherapy.com,both,,Y,AUTO-Y: name contains ABA/behavior + crawler excerpt is a service claim. Tag confirmed; record data not audited.,
6837,Crystal Academy - 107 Antilla Ave,CORAL GABLES,,True,"mi Childrens Magazine --> Center Based Therapies Evidenced Based Interventions- ABA, Speech and Language, Occupational Therapy, Music and Art as Therapy. Primary &",crystalacademy.org,both,,Y,"ABA, PT, OT, ST, life skills, music therapy, art therapy, parent coaching, accepts most insurances, only one location - remove address from provider name",RETAGGED - 8 services added from zero; accepts-most-insurances
5838,Developmental Applied Behavior Solutions,CORAL GABLES,aba,True,Clinically Guided ABA Therapy in Miami | DABS 0 Unlock Your Child’s Inner Potential With Clinically G,appliedbhs.com,both,,Y,AUTO-Y: name contains ABA/behavior + crawler excerpt is a service claim. Tag confirmed; record data not audited.,
7220,Little Giants Kid's Services- PPEC (Medical Daycare),CORAL GABLES,aba,True,. They also help with feeding and swallowing issues. Applied Behavior Analysis (ABA) overall goal is to figure out why a child behaves the way they do and then foc,littlegiantsppec.com,both,,Y,offers more than just ABA - needs review,
9028,Prism Early Advancement Center,CORAL GABLES,aba,True,"Prism Early Advancement Center | Autism & ABA Therapy, Miami, FL A Spectrum of Possibilities Apply Now What We Do Prism Early",prismeac.com,both,,Y,"this IS NOT the same as 7407. offers clinic-based, in-home, and in-school ABA services (mobile); and life skills.",
7487,"Steps Therapy Center, Corp",CORAL GABLES,life-skills|aba|speech-therapy|physical-therapy|occupational-therapy,True,Medical - Wellness & Chiropractic Care in Pembroke Pines Home About Us Services ABA Therapy Immigration Medical Exam Physical Therapy Occupational Therapy Internal,stepstherapycenter.com,both,,Y,"accepts most insurances. Services listed are appropriate. In case we have a ddescription for this record that mentions chiropractic services, I see nothing that supports that.",
7267,Foundations Therapy - Coral Springs,CORAL SPRINGS,physical-therapy|life-skills|occupational-therapy|parent-coaching|aba,True,Foundations Therapy | Quality ABA Services in South Florida Providing Quality ABA Services for Children and Famil,foundationstherapy.com,both,,Y,"ABA in clinic, home, school (mobile); parent coaching; life skills; REMOVE OT; accepts most insurances.",
6732,Pivotal Achievements- ABA Therapy,CORAL SPRINGS,aba,True,ABA Therapy for Autism in Coral Springs | Pivotal Achievements top of page ABA Ther,pivotal-achievements.com,both,,Y,AUTO-Y: name contains ABA/behavior + crawler excerpt is a service claim. Tag confirmed; record data not audited.,
6895,Shiloh ABA Inc.,CORAL SPRINGS,aba,True,,shilohaba.com,both,EMPTY-EXCERPT,Y,AUTO-Y: name contains ABA/behavior + crawler excerpt is a service claim. Tag confirmed; record data not audited.,
6583,"Child Advancement Center, Inc.",DANIA BEACH,aba,True,s Behavior analysis Read More 1 to 1 THERAPY Read More FAMILY SUPPORT Read More RBT certification We offer 40hr of online and in-person trainings for RBT certifica,4childadvancement.com,both,,Y,"ABA, parent coaching, mobile (in-home), accepts most insurances, TWO LOCATIONS: (1) 101 Federal Highway, Dania Beach, FL 33004 - 305-833-8591 ; 3001 Aloma Ave #219, Winter Park, FL. 32792 - 407-731-4404 ; email for both: 4childadvancement@gmail.com","HANDED TO CURATION - two locations confirmed, split proceeding"
7313,Dan Marino Foundation,DANIA BEACH,life-skills,True,ude: Speech and language therapy Educational programming Social skills training Behavior therapy Family interventions: education and parent training Individual psychotherapy P,danmarinofoundation.org,both,,N,"Charity, not service provider","DELETED 2026-08-18 - charity, not a service provider"
9119,Avant Garde Behavioral Therapy,DAVIE,life-skills|group-therapy|speech-therapy|aba|ados-testing|physical-therapy|occupational-therapy|support-groups|parent-coaching|virtual-therapy,True,"de Behavioral Therapy for Kids | Avant Garde Kids Avant-Garde Behavioral Health ABA Therapy in Davie, FL About Us Discover our commitment to nurturing children’s m",avantgardekids.com,both,,Y,AUTO-Y: name contains ABA/behavior + crawler excerpt is a service claim. Tag confirmed; record data not audited.,
6701,Developmental Therapies And Beyond | ABA Therapy | Speech and language therapy | Occupational therapy,DAVIE,aba,True,"lopmental Therapies Español Developmental ​Therapies a​nd Beyo​nd Comprehensive ABA, Speech, PT and Occupational Therapy for Autism Support contact us today ABA In",developmentaltherapies.com,both,,Y,AUTO-Y: name contains ABA/behavior + crawler excerpt is a service claim. Tag confirmed; record data not audited.,
6584,Happy Play Therapy,DAVIE,aba,True,"ational Therapy in Davie | Happy Play Therapy Speech, Occupational, Physical, & ABA Therapies Speech, Occupational, Physical, & ABA Therapies Speech, Occupational,",happyplaytherapy.com,both,,Y,"PT, OT, ST, parent coaching","RETAGGED - PT/OT/ST/parent-coaching added, aba retained"
6912,TMZ BEHAVIORAL CARE: Dr. Charline Boufin,DAVIE,aba,True,"den challenges and guiding your child toward a brighter, more energetic future. ABA Therapy For children on the autism spectrum, we offer Applied Behavior Analysis",tmzbehavioralcare.com,both,,Y,AUTO-Y: name contains ABA/behavior + crawler excerpt is a service claim. Tag confirmed; record data not audited.,
6698,Sabal Palm Psychological Services,FORT LAUDERDALE,aba,True,,sabalpalmpsychology.com,both,EMPTY-EXCERPT,N,"Provider is a Psy.D. - site mentions therapy services for 19 different challenges, autism being one, but NOT ABA. This is a psychologist, not a behavioral therapist. Not sure we should keep - do we have a service tag for this?","DELETED 2026-08-18 - Psy.D. practice, no ABA; general-psych slug closed WONT BUILD"
7253,You & Us aba service,FORT LAUDERDALE,aba|parent-coaching,True,You & Us ABA | Compassionate ABA Therapy Across Florida You and Us ABA Services Transform Da,abaunus.com,both,,Y,AUTO-Y: name contains ABA/behavior + crawler excerpt is a service claim. Tag confirmed; record data not audited.,
5834,"Autism Services of Florida, LLC",FORT MYERS,aba,True,with disabilities. The goal of Autism Services of FL is to provide personalized applied behavior analysis services using scientific based practices that are within the scope of,autismserviceoffl.com,both,,Y,,
5818,AutismABATherapy - 12651 Mcgregor Blvd,FORT MYERS,,True,"Skip to content Happy New Year from Autism ABA Therapy! As we step into 2025, we renew our commitment to providing the best, c",autismabatherapy.com,both,,Y,"aba, mobile, virtual (telehealth), accepts most insurances, MULTIPLE FLORIDA LOCATIONS!! Need to review this one specifically.",HANDED TO CURATION - multi-location split pending Cowork inventory
6860,Blooming Behavior Therapy,FORT MYERS,aba|speech-therapy|occupational-therapy|physical-therapy|feeding-therapy|music-therapy|ados-testing,True,"HOURS Here When You Need Us Monday - Friday 8:00am - 5:00pm Welcome to Blooming ABA Therapy Services in the Southwest, Florida area ABA Therapy Based on Science an",bloomingbehaviortherapy.com,both,,Y,AUTO-Y: name contains ABA/behavior + crawler excerpt is a service claim. Tag confirmed; record data not audited.,
8807,"Blue Horizon Professional Group, Inc",FORT MYERS,life-skills|aba,True,"yboard_arrow_left Previous keyboard_arrow_right Next Applied Behavior Analysis (ABA) Services Training Services WHO WE ARE BLUE HORIZON PROFESSIONAL GROUP, Inc. is",bluehorizoncare.net,both,,Y,,
7426,Bright Future with ABA,FORT MYERS,aba,True,"ldren with Autism to reach their potential. Learn More About Bright Future with ABA Our Mission At Bright Future with ABA LLC, our mission is to empower children w",brightfaba.com,both,,Y,AUTO-Y: name contains ABA/behavior + crawler excerpt is a service claim. Tag confirmed; record data not audited.,
6587,"NeuroRise Behavioral Center, LLC | ABA therapy",FORT MYERS,aba,True,NeuroRise Behavioral Therapy LLC | ABA therapy 0 Welcome to NeuroRise Behavioral Center NeuroRise Behavioral Center is,neurorisebehavioral.com,both,,Y,AUTO-Y: name contains ABA/behavior + crawler excerpt is a service claim. Tag confirmed; record data not audited.,
6841,Principles of Learning INC,FORT MYERS,aba,True,Principles of Learning INC. – In Home ABA Services Skip to content Menu Contact Us WELCOME PRINCIPLES OF LEARNING In home,principlesoflearninginc.com,both,,Y,,
9213,"Sandpiper Speech & Language Therapy, LLC",FORT MYERS,speech-therapy|parent-coaching,True,"er current role, she worked in a clinic that offered applied behavior analysis (ABA) therapy and occupational therapy, which gave her a great foundation in working",sandpiperslp.com,both,,N,only ST. Site does specifically name autism. No parent coaching mentioned on the site. Remove fom services.,RETAGGED - aba and parent-coaching stripped
7130,Smart Endeavors ABA - 12493 Brantley Commons Ct,FORT MYERS,parent-coaching|aba|ados-testing,True,Smart Endeavors ABA | Autism Behavior Clinic | Fort Myers Parent Portal Black silhouette of a perso,smartendeavorsaba.com,both,,Y,AUTO-Y: name contains ABA/behavior + crawler excerpt is a service claim. Tag confirmed; record data not audited.,
10390,SPOT Therapy Associates,FORT MYERS,aba,True,"re Program and Oral Technique, Greenspan Floor Time, Brain Gym, Verbal Behavior ABA, Building Blocks to Sensory Integration, The SOS Approach to Feeding, Astronaut",spottherapyassociates.com,both,,Y,,
6833,ACG Therapy and Autism Center,GAINESVILLE,aba,True, to content Our mission is unleashing potential! Full integrated autism program ABA with speech and occupational therapy Home jecb 2024-11-21T15:19:38+00:00 Welcom,acgtherapycenter.com,both,,Y,,
6722,All Kids Therapy Center,GAINESVILLE,aba,True,s in these areas. Parent Training Parent training is an essential part of every ABA therapy program. Research demonstrates that parent training and involvement can,allkidstherapycenter.com,both,,Y,,
7007,"Behavioral Learning Systems, Inc",GAINESVILLE,aba,True,kip to main content Skip to navigation Effective Behavioral Help for Your Child ABA Therapy - Early Intervention - Social Skills Training (352) 373-4411 Problem Be,behaviorlearn.com,both,,Y,AUTO-Y: name contains ABA/behavior + crawler excerpt is a service claim. Tag confirmed; record data not audited.,
6996,Fundamental Therapy Solutions,GAINESVILLE,aba|speech-therapy|physical-therapy|occupational-therapy,True," with expert-led reading support . The main focus of Applied behavior analysis (ABA therapy), is to teach and make it possible for kids to learn naturally. service",funtherapysolutions.com,both,,Y,,
7302,Rising Calm Center,GAINESVILLE,aba,True,"the University of Florida, an M.Ed. in Education, and then a master's degree in Applied Behavior Analysis. I also hold certificates in Behavior Therapy, Motivational Interviewi",risingcalm.com,both,,Y,,
7500,Kiwi Behavioral Therapy - ABA,HALLANDALE BEACH,respite-care,True,of Challenging Behavior Respite Care Signs of Autism Parental Stress Scale CARD ABA 101 Treatment Gains Donate & Walk Learn More About Scholarships! Google Sites R,kiwibxtherapy.com,both,,Y,AUTO-Y: name contains ABA/behavior + crawler excerpt is a service claim. Tag confirmed; record data not audited.,
6693,ABA Therapy Evolution,HIALEAH,aba,True,,abatherapy-evolution.com,both,EMPTY-EXCERPT,Y,AUTO-Y: name contains ABA/behavior + crawler excerpt is a service claim. Tag confirmed; record data not audited.,
6968,Best Behavioral Solutions,HIALEAH,life-skills|group-therapy|speech-therapy|aba|physical-therapy|occupational-therapy|parent-coaching|virtual-therapy,True,"st/aide who is sent to be the shadow must be trained in the basic principles of Applied Behavior Analysis, and may assist in redirecting the child back on task, and help curb c",bestbehavioralsolutions.com,both,,Y,AUTO-Y: name contains ABA/behavior + crawler excerpt is a service claim. Tag confirmed; record data not audited.,
6669,"Kidscare Therapy Center, Inc.",HIALEAH,aba,True,ida Toggle navigation Home About Us Therapy Services Applied Behavior Analysis (ABA) Therapy Pediatric Speech-Language Therapy Pediatric Occupational Therapy Pedia,kidscaretherapycenterinc.net,both,,Y,,
7504,"Little Heroes Therapy Services, Inc.",HIALEAH,speech-therapy|occupational-therapy|physical-therapy|respite-care,True,"Introducing Little Heroes Therapy Services ""We offer Applied Behavior Analysis (ABA) therapy tailored to your individual needs to support growth and improvement in",littleheroestherapyservice.com,both,,Y,,
9124,Reflection Health Group Inc,HIALEAH,life-skills|aba|parent-coaching,True,lth Group Reflection Health Group Reflection Health Group Providing exceptional ABA Therapy in Miami-Dade and Broward County . Contact Us We Offer Home-Based & Sch,reflection-healthgroup.com,both,,Y,,
7323,Spring Health,HIALEAH,aba,True,Spring Health Center of ABA therapy – Spring Health Center of ABA therapy ABA Therapy We prioritize creatin,abaspringhealth.com,both,,Y,,
7061,The Therapy Tree Miami,HIALEAH,life-skills|aba|ados-testing|parent-coaching|virtual-therapy,True," board-certified behavior analysts and technicians who specialize in delivering ABA therapy, the leading evidence-based treatment for children with autism. We offe",thetherapytreemiami.com,both,,Y,,
7002,Victory Brt,HIALEAH,aba,True," Therapy Service Agency in South Florida We provide a variety of services. From ABA, to Occupational, Speech and Physical therapy, there is a place in the Victory ",victorybrt.com,both,,Y,,
9106,World Children's Therapy Center,HIALEAH,life-skills|aba|ados-testing|parent-coaching,True,"Center Get Consultation welcome to World Children's Therapy Center Personalized ABA Therapy Solutions in Hialeah and Miami-Dade County, One Child at a Time Buy Tic",worldchildrenstherapycenters.com,both,,Y,,
6889,Angelic Steps Therapy,HOLLYWOOD,aba,True,"ve Davie, FL 33024 Info@AngelicSteps.com 954-368-2849 Contact Us bottom of page ABA Service | Angelic Steps top of page Who are we? Angelic Steps Therapy is a qual",angelicsteps.com,both,,Y,,
7155,Behavioral Corporation,HOLLYWOOD,parent-coaching|aba,True,rses Shop Account Blog Home About Us Services Courses Shop Account Blog Request ABA Therapy Home About Us Services Courses Shop Account Blog Request ABA Therapy AB,bhavioralcorporation.com,both,,Y,AUTO-Y: name contains ABA/behavior + crawler excerpt is a service claim. Tag confirmed; record data not audited.,
9137,Behavioral Services Associates,HOLLYWOOD,life-skills|aba|virtual-therapy,True,"Behavioral Services Associates | Support for Children Providing exceptional ABA Therapy Achieving every child’s potential Autism, ADHD, and other behavior diso",behavioralaba.com,both,,Y,AUTO-Y: name contains ABA/behavior + crawler excerpt is a service claim. Tag confirmed; record data not audited.,
9099,Family Enrichment Behavioral Health Services,HOLLYWOOD,aba,True,top of page ​ WELCOME TO FEBHS Behavioral Therapy that meets your needs What is ABA? Applied Behavior Analysis (ABA) is a therapy based on the science of learning ,febhs.org,both,,Y,AUTO-Y: name contains ABA/behavior + crawler excerpt is a service claim. Tag confirmed; record data not audited.,
8872,Growing Smiles ABA Services Inc,HOLLYWOOD,aba|parent-coaching,True,,sites.google.com,phone,EMPTY-EXCERPT,Y,AUTO-Y: name contains ABA/behavior + crawler excerpt is a service claim. Tag confirmed; record data not audited.,
6757,Inclusive Behavioral Solutions LLC,HOLLYWOOD,aba,True,"Inclusive Behavioral Solutions Inclusive Behavioral Solutions We specialize in ABA therapy, offering expert services, qualified therapists, and valuable resources",inclusivebehavioralsolutions.com,both,,Y,AUTO-Y: name contains ABA/behavior + crawler excerpt is a service claim. Tag confirmed; record data not audited.,
7202,Little Dreamers PPEC,HOLLYWOOD,feeding-therapy|speech-therapy|aba|physical-therapy|occupational-therapy,True, NURSING SPEECH THERAPY PHYSICAL THERAPY OCCUPATIONAL THERAPY BEHAVIOR THERAPY (ABA) FEEDING THERAPY RESPIRATORY CARE EDUCATIONAL PROGRAMS Our Mission Our mission ,littledreamersppec.com,both,,Y,service tags good. Add accepts most insurances and medicaid,UPDATED - insurances added
8994,Nexo ABA Therapy,HOLLYWOOD,aba|support-groups,True,ABA Providers | Serving Miami & Broward | Nexo ABA Therapy Skip to main content Ski,nexoaba.com,both,,Y,AUTO-Y: name contains ABA/behavior + crawler excerpt is a service claim. Tag confirmed; record data not audited.,
10325,Beacon Pediatric Behavioral Health,JACKSONVILLE,speech-therapy|occupational-therapy|physical-therapy|life-skills|parent-coaching,True,"quiry Form to find out more about current openings! Start your journey… Therapy ABA TESTING Speech, ot, & pt BEACON COMPREHENSIVE AUTISM CENTER LEARN MORE Speech, ",beaconpediatric.com,both,,Y,AUTO-Y: name contains ABA/behavior + crawler excerpt is a service claim. Tag confirmed; record data not audited.,
8879,Blue Care Behavior Therapy,JACKSONVILLE,aba|parent-coaching,True,ABA Therapy Jacksonville FL | Blue Care Behavior Therapy Home Services About Us Blo,bluecaretherapy.com,both,,Y,AUTO-Y: name contains ABA/behavior + crawler excerpt is a service claim. Tag confirmed; record data not audited.,
7232,Bright Behavioral Health - Children's ABA Therapy,JACKSONVILLE,life-skills|aba,True,r account to remove this banner. Learn more Enter Your Details Below To Request ABA Therapy Full Name Email Phone Your Child Name Current Insurance Zip Code Referr,brightbehaviorhealth.myclickfunnels.com,both,,Y,AUTO-Y: name contains ABA/behavior + crawler excerpt is a service claim. Tag confirmed; record data not audited.,
7099,Exceptional Therapies - Jacksonville - Applied Behavior Analysis,JACKSONVILLE,group-therapy|speech-therapy|aba|physical-therapy|occupational-therapy,True,Exceptional Therapies Call us 1-844-851-8518 Exceptional Therapies Services ABA Therapy Speech Therapy Occupational Therapy Physical Therapy Counseling Social ,exceptionaltherapies.com,both,,Y,AUTO-Y: name contains ABA/behavior + crawler excerpt is a service claim. Tag confirmed; record data not audited.,
8808,Hope Haven,JACKSONVILLE,aba|ados-testing|tutoring,True,s day. Our Services (Copy) | Discover Support & Growth — Hope Haven 0 BRIDGE TO ABA Support Without the Wait Schedule A Call to learn how we can help Waiting for A,hope-haven.org,both,,Y,,
6530,Missing Piece Behavioral Solutions,JACKSONVILLE,aba,True, Behavior Change Piece By Piece. Contact us About Us Applied Behavior Analysis (ABA) Applied Behavior Analysis (ABA) is commonly practiced as a therapeutic interve,missingpiecebehavior.com,both,,Y,AUTO-Y: name contains ABA/behavior + crawler excerpt is a service claim. Tag confirmed; record data not audited.,
7457,Proud Moments ABA,JACKSONVILLE,life-skills|aba|ados-testing|parent-coaching,True,"Jacksonville, FL - Autism Therapy Services - In-Home ABA Therapy Skip to main content Search Jacksonville Services In Clinic In Clinic A",proudmomentsaba.com,both,,Y,AUTO-Y: name contains ABA/behavior + crawler excerpt is a service claim. Tag confirmed; record data not audited.,
7340,Reaching Milestones,JACKSONVILLE,aba,True,Autism Therapy Utilizing ABA - Reaching Milestones Interested in learning with us? CONTACT US Autism Therapy,reachingmilestones.com,both,,Y,,
7362,"Sade Behavior Therapy, Inc.",JACKSONVILLE,aba,True,"ide Treatment plan developed by a BCBA tailored to your childs needs Direct ABA therapy provided by a BCBA, BCaBA or Therapist Supervision Comprehensive tr",sadebehavior.com,both,,Y,AUTO-Y: name contains ABA/behavior + crawler excerpt is a service claim. Tag confirmed; record data not audited.,
8887,The Blue Journey bts,JACKSONVILLE,aba,True,rney Skip to content Applied Behavior Analysis Services Get more from life with ABA Contact us today! Join Our Team At The Blue Journey INC/Marvelous Minds Design ,thebluejourneybts.com,both,,Y,,
7218,Act4Me,KEY BISCAYNE,aba|physical-therapy,True,"nt is for up to $4,000 paid directly to the service providers. Please note that ABA therapy is not covered under our grant. Equipment or Home Therapy Supplies Gran",act4me.org,both,,N,"Not a provider, BUT, they provide grants ""for Physical, Occupational or Speech Therapy, that will pay a portion of, or supplement their current care (the grant will be payable directly to the child’s provider) or apply for a grant for therapy supplies to support their home therapy needs."" This would obviously be a good addition to the directory, but we have no structure for it yet. Something to save for later.",DELETED 2026-08-18 - grant funder; funding-org category closed WONT BUILD
6526,Embrace ABA and Social Center,LAKE PARK,aba,True,Embrace ABA | West Palm Beachs #1 ABA Providers top of page Embrace ABA Academy & Social Ce,embraceabawpb.com,both,,Y,AUTO-Y: name contains ABA/behavior + crawler excerpt is a service claim. Tag confirmed; record data not audited.,
7121,Blessed & Beyond Behavioral Corp,LAKE WORTH BEACH,aba|ados-testing|occupational-therapy,True,Blessed & Beyond Behavioral – ABA Behavior Therapies Welcome! In this space you will find the support that your f,bbbehavioral.com,both,,Y,AUTO-Y: name contains ABA/behavior + crawler excerpt is a service claim. Tag confirmed; record data not audited.,
7357,Brighter Minds Behavioral Health LLC,LAKE WORTH BEACH,aba,True, family to reach their full potential. We are dedicated to integrate the latest ABA findings and research to provide quality services to our families. We continue ,brightermindsbh.com,both,,Y,AUTO-Y: name contains ABA/behavior + crawler excerpt is a service claim. Tag confirmed; record data not audited.,
6984,ChildGarden Center | Integral Therapy - Lake Worth Beach,LAKE WORTH BEACH,aba|speech-therapy|occupational-therapy|music-therapy|feeding-therapy|life-skills|parent-coaching|mobile-services,True, ENGLISH SPANISH abc@childgardens.com 561-909-8980 / 305-335-0407 MUSIC THERAPY ABA THERAPY FAMILY TRAINING SPEECH Therapy OT OCCUPATIONAL THERAPY About us BCBA ce,childgardens.com,both,,Y,,
