id,title,date,end_date,city,county,venue_name,organizer_name,category,event_type,is_recurring,website_url,registration_url,slug
134,14th Annual Hole in ONE Golf Tournament (ECAC),2026-09-18,null,Niceville,Okaloosa,TBA - see ECAC website,Emerald Coast Autism Center,fundraiser,null,false,null,https://www.ecautismcenter.org/events/hole-in-one-golf-tournament,ecac-hole-in-one-golf-2026
125,Sensory-Inclusive Performance: Clifford the Big Red Dog — The Musical,2026-10-04,null,Fort Lauderdale,Broward,The Parker,Broward Center for the Performing Arts,sensory-friendly,null,false,null,http://www.ticketmaster.com/event/0D0064D69DCB7A78?brand=parkerph&camefrom=cfc_parker_web,sensory-clifford-big-red-dog-fort-lauderdale-oct-2026
58,Autism Social Skills Playgroup,2026-10-17,null,Fort Myers area,Southwest Florida,Family Initiative Center,Family Initiative Inc.,support_group,Recreational Program,false,https://www.fi-florida.org,https://www.fi-florida.org/event/autism-social-skills-playgroup/,autism-social-skills-playgroup-58
135,Fleets & Eats (ECAC),2026-10-24,null,Destin,Okaloosa,Destin Harbor,Emerald Coast Autism Center,fundraiser,null,false,null,https://www.ecautismcenter.org/,ecac-fleets-and-eats-destin-2026
74,All In For Autism Casino Night 2026,2026-11-07,null,Cape Coral,null,Family Initiative,Family Initiative,fundraiser,null,false,https://fi-florida.org/casinonight/,null,all-in-for-autism-casino-night-2026
126,Sensory-Inclusive Performance: Beanstalk — The Adventures of Jack and the Giant,2026-11-08,null,Fort Lauderdale,Broward,Broward Center for the Performing Arts,Broward Center for the Performing Arts,sensory-friendly,null,false,null,http://www.ticketmaster.com/event/0D0064CFCD749CFC?brand=broward&camefrom=cfc_broward_web,sensory-beanstalk-fort-lauderdale-nov-2026
127,Sensory-Inclusive Performance: Elf Jr.,2026-12-05,null,Fort Lauderdale,Broward,Broward Center for the Performing Arts,Broward Center for the Performing Arts,sensory-friendly,null,false,null,https://www.ticketmaster.com/event/0D0064D0BCFD77B4?brand=broward&camefrom=cfc_broward_web,sensory-elf-jr-fort-lauderdale-dec-2026
128,Sensory-Inclusive Performance: Roald Dahl's Charlie and the Chocolate Factory,2026-12-12,null,Fort Lauderdale,Broward,Broward Center for the Performing Arts,Broward Center for the Performing Arts,sensory-friendly,null,false,null,https://www.ticketmaster.com/event/0D0064D0CEE7907B?did=sensory&brand=broward&camefrom=cfc_broward_web,sensory-charlie-chocolate-factory-fort-lauderdale-dec-2026
129,Sensory-Inclusive Performance: Arts Ballet Theatre — The Nutcracker,2026-12-13,null,Aventura,Miami-Dade,Aventura Arts & Cultural Center,Broward Center for the Performing Arts,sensory-friendly,null,false,null,https://www.ticketmaster.com/event/0D0064E8AFC48AD3?brand=aventuraacc&camefrom=cfc_aventura_web,sensory-nutcracker-aventura-dec-2026
130,Sensory-Inclusive Performance: Don't Let the Pigeon Drive the Bus!,2027-02-06,null,Fort Lauderdale,Broward,Broward Center for the Performing Arts,Broward Center for the Performing Arts,sensory-friendly,null,false,null,http://www.ticketmaster.com/event/0D0064CFD56CAA1E?brand=broward&camefrom=cfc_broward_web,sensory-pigeon-drive-bus-fort-lauderdale-feb-2027
131,Sensory-Inclusive Performance: Brazilian Voices Quiet Bossa,2027-02-27,null,Davie,Broward,Rose and Alfred Miniaci Performing Arts Center,Broward Center for the Performing Arts,sensory-friendly,null,false,null,http://www.ticketmaster.com/event/0D0064D2B3BC8763?brand=miniacipac&camefrom=cfc_miniaci_web,sensory-brazilian-voices-davie-feb-2027
132,Sensory-Inclusive Performance: Junie B. Jones — The Musical,2027-04-03,null,Fort Lauderdale,Broward,Broward Center for the Performing Arts,Broward Center for the Performing Arts,sensory-friendly,null,false,null,http://www.ticketmaster.com/event/0D0064CFE696C48C?brand=broward&camefrom=cfc_broward_web,sensory-junie-b-jones-fort-lauderdale-apr-2027
133,Sensory-Inclusive Performance: Llama Llama LIVE!,2027-04-25,null,Davie,Broward,Rose and Alfred Miniaci Performing Arts Center,Broward Center for the Performing Arts,sensory-friendly,null,false,null,http://www.ticketmaster.com/event/0D0064D2C5D5A63F?brand=miniacipac&camefrom=cfc_miniaci_web,sensory-llama-llama-live-davie-apr-2027
60,Art on the Spectrum,2099-12-31,null,Tampa,Tampa Bay Area,Tampa Museum of Art,Tampa Museum of Art,sensory_friendly,Sensory-Friendly Experience,false,https://tampamuseum.org,https://tampamuseum.org/series/art-on-the-spectrum/,art-on-the-spectrum-60
62,Sensory in the Park,2099-12-31,null,Orlando,Central Florida,Lake Eola Park,Orlando Autism Community,recreational,Recreational Program,false,Community-organized event,N/A,sensory-in-the-park-62
63,Florida Racquet Sports Programs,2099-12-31,null,Various cities,Statewide,Multiple Locations Statewide,Love Serving Autism,recreational,Recreational Program,false,https://loveservingautism.org,https://loveservingautism.org/programs/florida-racquet-sports-programs/,florida-racquet-sports-programs-63
61,Free Autism Screenings,2099-12-31,null,"Babcock Ranch, Naples, Fort Myers area",Southwest Florida,Multiple Family Initiative Locations,Family Initiative Inc.,support_group,Educational Workshop,false,https://www.fi-florida.org,https://www.fi-florida.org,free-autism-screenings-61
