slug,title,city,input_address,matched_address,latitude,longitude,geocode_method,notes
special-olympics-florida-area-7-fall-classic-exhibition-naples-sep-2026,Special Olympics Florida Area 7 Fall Classic Exhibition,Naples,"1895 Veterans Park Dr., Naples, FL","1895 VETERANS PARK DR, NAPLES, FL, 34109",26.2689280,-81.7821284,CENSUS,"Verified: street number, street name, street type and ZIP all agree. Census y assigned to latitude, x to longitude. Input zip_code was null; Census supplied 34109. Queried without ZIP; Census supplied ZIP 34109 in the match."
stables-and-sweets-new-smyrna-beach-oct-2026,Stables and Sweets,New Smyrna Beach,"3804 Pioneer Trail, New Smyrna Beach, FL, 32168","3804 PIONEER TRL, NEW SMYRNA BEACH, FL, 32168",29.0461970,-81.0597847,CENSUS,"Verified: street number, street name, street type and ZIP all agree. Census y assigned to latitude, x to longitude."
special-olympics-florida-state-swimming-competition-ocala-sep-2026,Special Olympics Florida State Swimming Competition,Ocala,"4635 SW 67th Ave, Ocala, FL","4635 SW 67TH AVE RD, OCALA, FL, 34474",,,REJECTED_BAD_MATCH,"REJECTED - token match, not the same place. Census returned ""4635 SW 67TH AVE RD, OCALA, FL, 34474"" for query ""4635 SW 67th Ave, Ocala, FL"". Failed check(s): street TYPE differs: input ...AVE vs matched ...RD (different roads, not a spelling variant). Coordinates discarded and NOT recorded. Queried without ZIP; Census supplied ZIP 34474. Match is on a DIFFERENT street type: input 'SW 67th Ave' matched 'SW 67TH AVE RD' (streetName '67TH AVE', suffixType 'RD')."
3rd-annual-sporting-clay-shoot-panama-city-beach-oct-2026,3rd Annual Sporting Clay Shoot,Panama City Beach,"10900 Steelfield Road, Panama City Beach, FL, 32413","10900 STEEL FIELD RD, PANAMA CITY BEACH, FL, 32413",30.3536619,-85.9093105,CENSUS,"Verified: street number, street name, street type and ZIP all agree. Census y assigned to latitude, x to longitude. Input street 'Steelfield' matched as two words 'STEEL FIELD RD'."
northwest-region-swimming-competition-panama-city-beach-aug-2026,Northwest Region Swimming Competition,Panama City Beach,"16200 Panama City Beach Parkway, Panama City Beach, FL","16200 PANAMA CITY BEACH PKWY, PANAMA CITY BEACH, FL, 32413",30.2277646,-85.8801958,CENSUS,"Verified: street number, street name, street type and ZIP all agree. Census y assigned to latitude, x to longitude. Input zip_code was null; Census supplied 32413. Queried without ZIP; Census supplied ZIP 32413. First fetch attempt failed with HTTP 429 proxy rate limit; same query succeeded on retry after waiting."
sensory-day-at-wonderworks-panama-city-beach-panama-city-beach,Sensory Day at WonderWorks Panama City Beach,Panama City Beach,"9910 Front Beach Rd, Panama City Beach, FL, 32407","9910 FRONT BEACH RD, PANAMA CITY BEACH, FL, 32407",30.1787399,-85.7995756,CENSUS,"Verified: street number, street name, street type and ZIP all agree. Census y assigned to latitude, x to longitude."
art-academy-for-autism-ages-5-9-pensacola,Art Academy for Autism (Ages 5-9),Pensacola,"407 S Jefferson St., Pensacola, FL, 32502","407 S JEFFERSON ST, PENSACOLA, FL, 32502",30.4082802,-87.2134095,CENSUS,"Verified: street number, street name, street type and ZIP all agree. Census y assigned to latitude, x to longitude."
summers-almost-over-dance-port-charlotte-aug-2026,Summer's (Almost Over) Dance,Port Charlotte,"21500 Gibralter Drive, Port Charlotte, FL, 33952","21500 GIBRALTER DR, PORT CHARLOTTE, FL, 33952",26.9952733,-82.0938464,CENSUS,"Verified: street number, street name, street type and ZIP all agree. Census y assigned to latitude, x to longitude. Census TIGER street name is spelled GIBRALTER, matching the source spelling; no second attempt needed."
14th-annual-surfers-for-autism-st-pete-beach-surf-festival-st-pete-beach,14th Annual Surfers for Autism St Pete Beach Surf Festival,St. Pete Beach,"8th Avenue, St. Pete Beach, FL, 33706",,,,FAILED,"Census returned 0 matches after 2 attempt(s): ""8th Avenue, St. Pete Beach, FL 33706"" and ""8th Ave, St Pete Beach, FL 33706"". Both attempts returned an empty addressMatches array. No house number in source; none invented."
special-olympics-florida-west-coast-region-swimming-st-petersburg-aug-2026,Special Olympics Florida West Coast Region Swimming Competition,St. Petersburg,"901 North Shore Dr NE, St. Petersburg, FL","901 N SHORE DR NE, ST PETERSBURG, FL, 33701",27.7840608,-82.6256144,CENSUS,"Verified: street number, street name, street type and ZIP all agree. Census y assigned to latitude, x to longitude. Input zip_code was null; Census supplied 33701. No ZIP supplied; Census returned ZIP 33701."
walk-it-out-wednesday-tallahassee-tallahassee,Walk It Out Wednesday - Tallahassee,Tallahassee,"1500 Apalachee Parkway, Tallahassee, FL, 32301","1500 APALACHEE PKWY, TALLAHASSEE, FL, 32301",30.4347453,-84.2555359,CENSUS,"Verified: street number, street name, street type and ZIP all agree. Census y assigned to latitude, x to longitude."
miracle-sports-fall-kickball-season-tallahassee,Miracle Sports Fall Kickball Season,Tallahassee,"2899 Jackson Bluff Road, Tallahassee, FL, 32304","2899 JACKSON BLUFF RD, TALLAHASSEE, FL, 32304",30.4343420,-84.3345403,CENSUS,"Verified: street number, street name, street type and ZIP all agree. Census y assigned to latitude, x to longitude."
loveland-center-art-exhibition-open-house-venice-sep-2026,Loveland Center Art Exhibition Open House,Venice,"157 S Havana Rd, Venice, FL, 34292","157 S HAVANA RD, VENICE, FL, 34292",27.0926430,-82.3684867,CENSUS,"Verified: street number, street name, street type and ZIP all agree. Census y assigned to latitude, x to longitude."
murder-and-mai-tais-at-loveland-performing-arts-theatre-venice,Murder and Mai-Tais at Loveland Performing Arts Theatre,Venice,"157 S. Havana Rd, Venice, FL, 34292","157 S HAVANA RD, VENICE, FL, 34292",27.0926430,-82.3684867,CENSUS,"Verified: street number, street name, street type and ZIP all agree. Census y assigned to latitude, x to longitude."
advocan-series-quarterly-caregiver-support-session-october-venice,AdvoCan Series - Quarterly Caregiver Support Session (October),Venice,"157 S Havana Rd, Venice, FL, 34292","157 S HAVANA RD, VENICE, FL, 34292",27.0926430,-82.3684867,CENSUS,"Verified: street number, street name, street type and ZIP all agree. Census y assigned to latitude, x to longitude."
8th-annual-be-a-buddy-5k-and-family-health-and-fitness-expo-west-melbourne-oct-2026,8th Annual #Be A Buddy 5K and Family Health and Fitness Expo,West Melbourne,"3053 Fell Road, West Melbourne, FL, 32904","3053 FELL RD, WEST MELBOURNE, FL, 32904",28.0610547,-80.6718385,CENSUS,"Verified: street number, street name, street type and ZIP all agree. Census y assigned to latitude, x to longitude."
sensory-saturdays-at-cox-science-center-and-aquarium-west-palm-beach,Sensory Saturdays at Cox Science Center and Aquarium,West Palm Beach,"4801 Dreher Trail North, West Palm Beach, FL, 33405","4801 DREHER TRL N, WEST PALM BEACH, FL, 33405",26.6696597,-80.0677375,CENSUS,"Verified: street number, street name, street type and ZIP all agree. Census y assigned to latitude, x to longitude."
