id,name,full_address,address,city,zip_code
6284,"THE ARC NASSAU, INC.","86051 HAMILTON STREET, Yulee, FL, 32097",86051 HAMILTON STREET,Yulee,32097
6329,"SUNRISE COMMUNITY, INC","9040 SUNSET DR, Miami, FL, 33173",9040 SUNSET DR,Miami,33173
6344,Easterseals LEAP Program - Naples,"8793 TAMIAMI TRL E STE 111, Naples, FL, 34113",8793 TAMIAMI TRL E STE 111,Naples,34113
6346,CITY OF CAPE CORAL,"400 SANTA BARBARA BLVD, Cape Coral, FL, 33991",400 SANTA BARBARA BLVD,Cape Coral,33991
6383,"THE ARC NORTH FLORIDA, INC","511 GOLDKIST BLVD SW, Live Oak, FL, 32064",511 GOLDKIST BLVD SW,Live Oak,32064
6390,ANGELIC COMPANION SERVICES,"498 PALM SPRINGS DR STE 100, Altamonte Springs, FL, 32701",498 PALM SPRINGS DR STE 100,Altamonte Springs,32701
6398,C INDIVIDUALS TRANSITION TO WORK INC.,"4949 ALORA ISLES DR APT 1116, West Palm Beach, FL, 33417",4949 ALORA ISLES DR APT 1116,West Palm Beach,33417
6401,"HABILITATION CENTER FOR THE HANDICAPPED, INC.","22313 BOCA RIO ROAD, Boca Raton, FL, 33433",22313 BOCA RIO ROAD,Boca Raton,33433
6439,KEY FITS SOLUTIONS LLC,"3996 AVALON BLVD STE 100-C, Milton, FL, 32583",3996 AVALON BLVD STE 100-C,Milton,32583
6463,"HPS, HELPING PEOPLE SUCCEED, INC.","1601 NE SUCCESS DRIVE, Jensen Beach, FL, 34957",1601 NE SUCCESS DRIVE,Jensen Beach,34957
6474,BEBES NURSING CARE LLC,"7171 N UNIVERSITY DR STE 205, Tamarac, FL, 33321",7171 N UNIVERSITY DR STE 205,Tamarac,33321
6902,Select Physical Therapy - Coconut Grove,"2150 S DIXIE HWY, Miami, FL, 33133",2150 S DIXIE HWY,Miami,33133
7098,"Hancock-Smith Pediatric & Behavioral Health, LLC","13900 TECH CITY CIR, Alachua, FL, 32615",13900 TECH CITY CIR,Alachua,32615
7314,Select Physical Therapy - Sebastian,"1424 U.S. RTE 1 SUITE B, Sebastian, FL, 32958",1424 U.S. RTE 1 SUITE B,Sebastian,32958
7331,Select Physical Therapy - Port St Lucie,"156 NW CALIFORNIA BLVD, Port St. Lucie, FL, 34986",156 NW CALIFORNIA BLVD,Port St. Lucie,34986
7360,FISIOCORP MIAMI LLC,"1440 79TH STREET CAUSEWAY, North Bay Village, FL, 33141",1440 79TH STREET CAUSEWAY,North Bay Village,33141
7366,Evolutions Treatment Center - Ft Lauderdale,"2901 W CYPRESS CREEK RD, Fort Lauderdale, FL, 33309",2901 W CYPRESS CREEK RD,Fort Lauderdale,33309
7459,Behavior Management Consultants - 4820 Kerry Forest Pkwy,"4820 KERRY FOREST PKWY, Tallahassee, FL, 32309",4820 KERRY FOREST PKWY,Tallahassee,32309
7575,Island Cove Behavioral Pediatrics,"1831 GOLDEN EAGLE WAY, Fleming Island, FL, 32003",1831 GOLDEN EAGLE WAY,Fleming Island,32003
7592,Joe DiMaggio Children’s Hospital,"1005 JOE DIMAGGIO DR, Hollywood, FL, 33021",1005 JOE DIMAGGIO DR,Hollywood,33021
7653,Challenges Conquered Counseling Services,"800 E CYPRESS CREEK RD, Oakland Park, FL, 33334",800 E CYPRESS CREEK RD,Oakland Park,33334
7661,Select Physical Therapy - Tamarac,"7160 N UNIVERSITY DR, Tamarac, FL, 33321",7160 N UNIVERSITY DR,Tamarac,33321
7672,Select Physical Therapy - Hollywood,"3325 HOLLYWOOD BLVD, Hollywood, FL, 33021",3325 HOLLYWOOD BLVD,Hollywood,33021
7942,Select Physical Therapy - Cay West,"1715 CAPE CORAL PKWY W, Cape Coral, FL, 33914",1715 CAPE CORAL PKWY W,Cape Coral,33914
7967,Select Physical Therapy - Miami Lakes,"15150 BULL RUN RD, Miami Lakes, FL, 33014",15150 BULL RUN RD,Miami Lakes,33014
8199,Brilliant Brains Behavior Services LLC,"3970 TAMPA RD SUITE E, Oldsmar, FL, 34677",3970 TAMPA RD SUITE E,Oldsmar,34677
8457,Baracusa Health Care,"7235 CORAL WY, Miami, FL, 33155",7235 CORAL WY,Miami,33155
8470,Sport & Spine Physical Therapy & Wellness Center,"17824 N, Lutz, FL, 33549",17824 N,Lutz,33549
8484,Beachway Therapy Center | Florida Rehab - 1700 N Dixie Hwy,"1700 N DIXIE HWY, West Palm Beach, FL, 33407",1700 N DIXIE HWY,West Palm Beach,33407
8504,Sunshine Kidz Pediatric Care - Ft Lauderdale,"2122 W CYPRESS CREEK RD, Fort Lauderdale, FL, 33309",2122 W CYPRESS CREEK RD,Fort Lauderdale,33309
8632,ABLE LIFE CARE SERVICES,"4728 ALORA ISLES DR APT 7211, West Palm Beach, FL, 33417",4728 ALORA ISLES DR APT 7211,West Palm Beach,33417
8689,MERCED CARE HOME LLC,"4701 N HABANA AVE, Tampa, FL, 33614",4701 N HABANA AVE,Tampa,33614
8720,"PEGGY JOYCE HARGROVE
JOYCE LOVE & CARE HOME","3304 SAN MOISE PL, Plant City, FL, 33567",3304 SAN MOISE PL,Plant City,33567
8934,"THE ARC OF LEVY COUNTY, INC.","7550 149 PL, Chiefland, FL, 32626",7550 149 PL,Chiefland,32626
9054,NEED A HAND? CALL ANN,"4300 E BAY DR LOT 106, Clearwater, FL, 33764",4300 E BAY DR LOT 106,Clearwater,33764
9059,"MILESTONES OF EXCELLENCE, LLC","2013 PINE PL APT 112, Winter Haven, FL, 33881",2013 PINE PL APT 112,Winter Haven,33881
9173,Small Talk Speech Therapy (Orange Park),"1700 WELLS RD STE 18, Orange Park, FL, 32073",1700 WELLS RD STE 18,Orange Park,32073
9203,The Learning Experience - West Melbourne,"4470 HOLLYWOOD BLVD, West Melbourne, FL, 32904",4470 HOLLYWOOD BLVD,West Melbourne,32904
9272,Square One Behavioral Services Inc. - ABA Therapy For Autism,"420, Wellington, FL, 33414",420,Wellington,33414
9307,Spellers Center Tampa - Occupational Therapy for Nonverbal Individuals with Autism/ Apraxia,"1816 HEALTH CARE DR, Trinity, FL, 34655",1816 HEALTH CARE DR,Trinity,34655
9309,"Alyssa Frey CranioSacral and Occupational Therapist CST, OT","300 MERCURY RD, North Palm Beach, FL, 33408",300 MERCURY RD,North Palm Beach,33408
9317,A Touch of Hope Occupational Therapy - Miami,"19400 TURNBERRY WAY APT 812, Miami, FL, 33180",19400 TURNBERRY WAY APT 812,Miami,33180
9324,"Holistic Family Occupational Therapy, LLC - Palm Springs","2290 10TH AVE N, Palm Springs, FL, 33461",2290 10TH AVE N,Palm Springs,33461
9325,My Kid Therapy Center - ABA Therapy in Miami,"1180 N KROME AVE, Homestead, FL, 33030",1180 N KROME AVE,Homestead,33030
9334,S.U.C.C.E.ED in Learning,"6035 BIRD RD, Miami, FL, 33155",6035 BIRD RD,Miami,33155
9350,Super Hero Speech,"13155 SW 134TH ST, Miami, FL, 33186",13155 SW 134TH ST,Miami,33186
9366,Kids Chat Therapy,"10300 SUNSET DR, Miami, FL, 33173",10300 SUNSET DR,Miami,33173
9401,"Talk the Talk Pediatric Therapy, LLC","300 FRANDORSON CIR, Apollo Beach, FL, 33572",300 FRANDORSON CIR,Apollo Beach,33572
9408,Always Keep Progressing - North Miami Beach - 16800 Nw 2nd Ave,"16800 NW 2ND AVE, Miami Gardens, FL, 33169",16800 NW 2ND AVE,Miami Gardens,33169
9426,Physical Therapy Time,"1380 NE MIAMI GARDENS DR, North Miami Beach, FL, 33179",1380 NE MIAMI GARDENS DR,North Miami Beach,33179
9433,XPE Sports Rehab,"5300 POWERLINE RD, Fort Lauderdale, FL, 33309",5300 POWERLINE RD,Fort Lauderdale,33309
9437,NAU Physical Therapy and Wellness,"8509 SOUTH FEDERAL HIGHWAY U, Port St. Lucie, FL, 34952",8509 SOUTH FEDERAL HIGHWAY U,Port St. Lucie,34952
9439,Physical Therapy Associates of South Florida,"7171 N UNIVERSITY DR, Tamarac, FL, 33321",7171 N UNIVERSITY DR,Tamarac,33321
9444,Fitness Quest Physical Therapy - North Fort Myers,"18900 N TAMIAMI TRL, North Fort Myers, FL, 33903",18900 N TAMIAMI TRL,North Fort Myers,33903
9455,MasMed Rehab,"3181 CORAL WY 5TH FLOOR, Miami, FL, 33145",3181 CORAL WY 5TH FLOOR,Miami,33145
9458,AnatomyPT • Physical Therapy & Orthotics,"301 ARTHUR GODFREY RD, Miami Beach, FL, 33140",301 ARTHUR GODFREY RD,Miami Beach,33140
9466,Aspire Physical Therapy and Wellness - Mobile Outpatient Physical Therapy Services,"1110 JIMMY BUFFETT MEM HWY, Satellite Beach, FL, 32937",1110 JIMMY BUFFETT MEM HWY,Satellite Beach,32937
9505,"Dr. Daniel Komforti, PT, DPT","860 N STATE RD 434, Altamonte Springs, FL, 32714",860 N STATE RD 434,Altamonte Springs,32714
9509,Rejuvenate Physical Therapy,"1803 BRIAR CREEK BLVD, Safety Harbor, FL, 34695",1803 BRIAR CREEK BLVD,Safety Harbor,34695
9516,"Oreo Physical Therapy, LLC","7791 S U.S. HWY 1, Port St. Lucie, FL, 34952",7791 S U.S. HWY 1,Port St. Lucie,34952
9517,Longevity Rehab Center - Sebastian,"13000 U.S. RTE 1 STE 7, Sebastian, FL, 32958",13000 U.S. RTE 1 STE 7,Sebastian,32958
9535,Total MD,"2700 W CYPRESS CREEK RD STE C100, Fort Lauderdale, FL, 33309",2700 W CYPRESS CREEK RD STE C100,Fort Lauderdale,33309
9561,Premier Physical Therapy,"4230 PABLO PROFESSIONAL CT, Jacksonville, FL, 32224",4230 PABLO PROFESSIONAL CT,Jacksonville,32224
9637,"Advanced Rehabilitation, Inc","3690 E BAY DR S, Largo, FL, 33771",3690 E BAY DR S,Largo,33771
9670,Mease Countryside Physical Therapy & Sports Rehabilitation,"3251 MCMULLEN BOOTH RD STE 200, Safety Harbor, FL, 34695",3251 MCMULLEN BOOTH RD STE 200,Safety Harbor,34695
9678,Hernandez Therapy Clinic,"2950 W CYPRESS CREEK RD, Fort Lauderdale, FL, 33309",2950 W CYPRESS CREEK RD,Fort Lauderdale,33309
9680,Action Physical Therapy,"1680 ST LUCIE W BLVD, Port St. Lucie, FL, 34986",1680 ST LUCIE W BLVD,Port St. Lucie,34986
9683,Papa Chiropractic - Port St. Lucie,"10377 S U.S. HWY 1, Port St. Lucie, FL, 34952",10377 S U.S. HWY 1,Port St. Lucie,34952
9732,Holy Cross Rehabilitation Institute - Pompano Beach,"1650 N FEDERAL HWY, Pompano Beach, FL, 33062",1650 N FEDERAL HWY,Pompano Beach,33062
9747,Sloane Stecker Physical Therapy - Jupiter,"1155 MAIN ST STE 101, Jupiter, FL, 33458",1155 MAIN ST STE 101,Jupiter,33458
9768,Florida Orthopaedic Specialists,"9077 S FEDERAL HWY, Port St. Lucie, FL, 34952",9077 S FEDERAL HWY,Port St. Lucie,34952
9783,Apollo Rehab Parkland,"7635 N STATE RD 7, Parkland, FL, 33073",7635 N STATE RD 7,Parkland,33073
9786,"Behavior Basics, Inc., Brevard Office","2401 W EAU GALLIE BLVD, Melbourne, FL, 32935",2401 W EAU GALLIE BLVD,Melbourne,32935
9797,3 C's Therapy Center,"4019 W 1ST ST, Sanford, FL, 32771",4019 W 1ST ST,Sanford,32771
9801,Memorial Medical Fitness - West,"703 N FLAMINGO RD, Pembroke Pines, FL, 33028",703 N FLAMINGO RD,Pembroke Pines,33028
9814,Physical Therapy Now Coral Gables,"2690 CORAL WY, Coral Gables, FL, 33145",2690 CORAL WY,Coral Gables,33145
9841,Physical Therapy NOW Miami Lakes,"15985 NW 57TH AVE, Miami Lakes, FL, 33014",15985 NW 57TH AVE,Miami Lakes,33014
9890,CORA Physical Therapy Fort Myers,"6900 DANIELS PKWY, Fort Myers, FL, 33912",6900 DANIELS PKWY,Fort Myers,33912
9900,AxisPro Physical Therapy & Hand clinic - Palm Bay,"5240 BABCOCK ST NE # 102, Palm Bay, FL, 32905",5240 BABCOCK ST NE # 102,Palm Bay,32905
9901,CORA Physical Therapy Satellite Beach,"1024 JIMMY BUFFETT MEM HWY, Satellite Beach, FL, 32937",1024 JIMMY BUFFETT MEM HWY,Satellite Beach,32937
9949,CORA Physical Therapy St. Lucie West,"1707 ST LUCIE W BLVD, Port St. Lucie, FL, 34986",1707 ST LUCIE W BLVD,Port St. Lucie,34986
9960,Optimal Performance & PT,"1812, Tampa, FL, 33606",1812,Tampa,33606
9962,Pelvic Solutions,"307 S BOULEVARD B, Tampa, FL, 33606",307 S BOULEVARD B,Tampa,33606
9972,Reunion Rehabilitation Hospital Jacksonville,"12645 SALINA DR, Jacksonville, FL, 32246",12645 SALINA DR,Jacksonville,32246
10004,Wolfson Children's Specialty Center - Baptist Clay,"1747 BAPTIST CLAY DR, Fleming Island, FL, 32003",1747 BAPTIST CLAY DR,Fleming Island,32003
10010,DREAM HOPE & BELIEVE THERAPY CORP,"13155 SW 134TH ST SUITE 218 & 219, Miami, FL, 33186",13155 SW 134TH ST SUITE 218 & 219,Miami,33186
10011,My Big World Inc,"8785 SW 165TH AVE SUITE 101, Miami, FL, 33193",8785 SW 165TH AVE SUITE 101,Miami,33193
10048,First Kid's PPEC - Miami,"8681 CORAL WY, Miami, FL, 33155",8681 CORAL WY,Miami,33155
10060,Loving Angels PPEC,"13115 W OKEECHOBEE RD, Hialeah, FL, 33018",13115 W OKEECHOBEE RD,Hialeah,33018
10148,Brooks Rehabilitation Outpatient Clinic - Deltona,"3400 HALIFAX CROSSING BLVD, Deltona, FL, 32725",3400 HALIFAX CROSSING BLVD,Deltona,32725
10202,EARLY INTERVENTION SOLUTIONS LLC,"5424 LAND O' LAKES BLVD, Land O Lakes, FL, 34639",5424 LAND O' LAKES BLVD,Land O Lakes,34639
10206,"Tampa Choice Therapy, LLC","18946 N DALE MABRY HWY, Lutz, FL, 33548",18946 N DALE MABRY HWY,Lutz,33548
10215,PT Solutions of Oldsmar (formerly Westchase Physical Therapy),"3953 TAMPA RD, Oldsmar, FL, 34677",3953 TAMPA RD,Oldsmar,34677
10227,LifeCare Therapy,"7777 N UNIVERSITY DR # 101S, Tamarac, FL, 33321",7777 N UNIVERSITY DR # 101S,Tamarac,33321
10235,Wolfson Children's Rehabilitation - Wolfson Children’s Specialty Center - Baptist Clay,"1747 BAPTIST CLAY DR SUITE 100, Fleming Island, FL, 32003",1747 BAPTIST CLAY DR SUITE 100,Fleming Island,32003
10241,Purposeful Play Pediatric Therapy,"680 U.S. 41 BYPASS N SUITE 2, Venice, FL, 34285",680 U.S. 41 BYPASS N SUITE 2,Venice,34285
10249,AMP PEDIATRIC THERAPY,"6900 TAVISTOCK LAKES BLVD, Orlando, FL, 32827",6900 TAVISTOCK LAKES BLVD,Orlando,32827
10267,Barrett Outpatient Rehabilitation & Sports Medicine Center,"430 MORTON PLANT ST # 101, Clearwater, FL, 33756",430 MORTON PLANT ST # 101,Clearwater,33756
10398,Beyond Speaking Rehab Specialists,"3485 W VINE ST SUITE 3485, Kissimmee, FL, 34741",3485 W VINE ST SUITE 3485,Kissimmee,34741
10556,St. John the Evangelist Catholic Community,"5645 Stadium Pkwy, Melbourne, FL 32940, Melbourne, FL","5645 Stadium Pkwy, Melbourne, FL 32940",Melbourne,null
