id,name,city,input_address,matched_display_name,osm_type,osm_class,latitude,longitude,input_zip,matched_zip,geocode_method,notes
9324,"Holistic Family Occupational Therapy, LLC - Palm Springs",Palm Springs,2290 10TH AVE N,"10th Avenue North, Palm Springs, Palm Beach County, Florida, 33463, United States",tertiary,highway,,,33461,33463,FALLBACK_NOT_ADDRESS,"class=highway type=tertiary is an area/road, not a premise; returned ""10th Avenue North, Palm Springs, Palm Beach County, Florida, 33463, United States"""
9783,Apollo Rehab Parkland,Parkland,7635 N STATE RD 7,,,,,,33073,,FAILED,No Nominatim result
8720,"PEGGY JOYCE HARGROVE
JOYCE LOVE & CARE HOME",Plant City,3304 SAN MOISE PL,"San Moise Place, Magnolia Green, Plant City, Hillsborough County, Florida, 33567, United States",residential,highway,,,33567,33567,FALLBACK_NOT_ADDRESS,"class=highway type=residential is an area/road, not a premise; returned ""San Moise Place, Magnolia Green, Plant City, Hillsborough County, Florida, 33567, United States"""
9732,Holy Cross Rehabilitation Institute - Pompano Beach,Pompano Beach,1650 N FEDERAL HWY,"1650, North Federal Highway, Pompano Isles, Pompano Beach, Broward County, Florida, 33062, United States",house,place,,,33062,33062,FALLBACK_NOT_ADDRESS,"class=place type=house is an area/road, not a premise; returned ""1650, North Federal Highway, Pompano Isles, Pompano Beach, Broward County, Florida, 33062, United States"""
9949,CORA Physical Therapy St. Lucie West,Port St. Lucie,1707 ST LUCIE W BLVD,"Saint Lucie West Boulevard, Port Saint Lucie, Saint Lucie County, Florida, 34986, United States",residential,highway,,,34986,34986,FALLBACK_NOT_ADDRESS,"class=highway type=residential is an area/road, not a premise; returned ""Saint Lucie West Boulevard, Port Saint Lucie, Saint Lucie County, Florida, 34986, United States"""
7331,Select Physical Therapy - Port St Lucie,Port St. Lucie,156 NW CALIFORNIA BLVD,"156, Northwest California Boulevard, Port Saint Lucie, Saint Lucie County, Florida, 34986, United States",house,place,,,34986,34986,FALLBACK_NOT_ADDRESS,"class=place type=house is an area/road, not a premise; returned ""156, Northwest California Boulevard, Port Saint Lucie, Saint Lucie County, Florida, 34986, United States"""
9768,Florida Orthopaedic Specialists,Port St. Lucie,9077 S FEDERAL HWY,,,,,,34952,,FAILED,No Nominatim result
9680,Action Physical Therapy,Port St. Lucie,1680 ST LUCIE W BLVD,"Saint Lucie West Boulevard, Port Saint Lucie, Saint Lucie County, Florida, 34986, United States",residential,highway,,,34986,34986,FALLBACK_NOT_ADDRESS,"class=highway type=residential is an area/road, not a premise; returned ""Saint Lucie West Boulevard, Port Saint Lucie, Saint Lucie County, Florida, 34986, United States"""
9437,NAU Physical Therapy and Wellness,Port St. Lucie,8509 SOUTH FEDERAL HIGHWAY U,,,,,,34952,,FAILED,No Nominatim result
9516,"Oreo Physical Therapy, LLC",Port St. Lucie,7791 S U.S. HWY 1,,,,,,34952,,FAILED,No Nominatim result
9272,Square One Behavioral Services Inc. - ABA Therapy For Autism,Royal Palm Beach,420 S State Road 7 #174,,,,,,33414,,FAILED,No Nominatim result
9509,Rejuvenate Physical Therapy,Safety Harbor,1803 BRIAR CREEK BLVD,"Briar Creek Boulevard, Bridgeport, Safety Harbor, Pinellas County, Florida, 34695, United States",residential,highway,,,34695,34695,FALLBACK_NOT_ADDRESS,"class=highway type=residential is an area/road, not a premise; returned ""Briar Creek Boulevard, Bridgeport, Safety Harbor, Pinellas County, Florida, 34695, United States"""
9670,Mease Countryside Physical Therapy & Sports Rehabilitation,Safety Harbor,3251 MCMULLEN BOOTH RD STE 200,,,,,,34695,,FAILED,No Nominatim result
9797,3 C's Therapy Center,Sanford,4019 W 1ST ST,"West 1st Street, Sanford, Seminole County, Florida, 32771, United States",primary,highway,,,32771,32771,FALLBACK_NOT_ADDRESS,"class=highway type=primary is an area/road, not a premise; returned ""West 1st Street, Sanford, Seminole County, Florida, 32771, United States"""
9517,Longevity Rehab Center - Sebastian,Sebastian,13000 U.S. RTE 1 STE 7,,,,,,32958,,FAILED,No Nominatim result
7314,Select Physical Therapy - Sebastian,Sebastian,1424 U.S. RTE 1 SUITE B,,,,,,32958,,FAILED,No Nominatim result
7459,Behavior Management Consultants - 4820 Kerry Forest Pkwy,Tallahassee,4820 KERRY FOREST PKWY,"Kerry Forest Parkway, Tallahassee, Leon County, Florida, 32309, United States",tertiary,highway,,,32309,32309,FALLBACK_NOT_ADDRESS,"class=highway type=tertiary is an area/road, not a premise; returned ""Kerry Forest Parkway, Tallahassee, Leon County, Florida, 32309, United States"""
7661,Select Physical Therapy - Tamarac,Tamarac,7160 N UNIVERSITY DR,"7160, North University Drive, Tamarac, Broward County, Florida, 33321, United States",house,place,,,33321,33321,FALLBACK_NOT_ADDRESS,"class=place type=house is an area/road, not a premise; returned ""7160, North University Drive, Tamarac, Broward County, Florida, 33321, United States"""
9439,Physical Therapy Associates of South Florida,Tamarac,7171 N UNIVERSITY DR,"7171, North University Drive, Tamarac, Broward County, Florida, 33321, United States",yes,building,26.2107110,-80.2533944,33321,33321,NOMINATIM,
6474,BEBES NURSING CARE LLC,Tamarac,7171 N UNIVERSITY DR STE 205,,,,,,33321,,FAILED,No Nominatim result
10227,LifeCare Therapy,Tamarac,7777 N UNIVERSITY DR # 101S,,,,,,33321,,FAILED,No Nominatim result
6267,DGAN LLC,Tampa,6802 LAKEVIEW CENTER DR STE 500,,,,,,33619,,FAILED,No Nominatim result
9962,Pelvic Solutions,Tampa,307 S BOULEVARD B,"Bruce B Downs Boulevard, Tampa, Hillsborough County, Florida, 33620, United States",secondary,highway,,,33606,33620,FALLBACK_NOT_ADDRESS,"class=highway type=secondary is an area/road, not a premise; returned ""Bruce B Downs Boulevard, Tampa, Hillsborough County, Florida, 33620, United States"""
5835,"Quest, Inc. Training Center & Tampa Corporate Office",Tampa,3910 US-301,,,,,,33619,,FAILED,No Nominatim result
8689,MERCED CARE HOME LLC,Tampa,4701 N HABANA AVE,"North Habana Avenue, Habana Court North, Tampa, Hillsborough County, Florida, 33614, United States",tertiary,highway,,,33614,33614,FALLBACK_NOT_ADDRESS,"class=highway type=tertiary is an area/road, not a premise; returned ""North Habana Avenue, Habana Court North, Tampa, Hillsborough County, Florida, 33614, United States"""
5808,Quest Kids Therapy - Tampa - 3910 Us-301,Tampa,3910 US-301,,,,,,33619,,FAILED,No Nominatim result
9307,Spellers Center Tampa - Occupational Therapy for Nonverbal Individuals with Autism/ Apraxia,Trinity,1816 HEALTH CARE DR,,,,,,34655,,FAILED,No Nominatim result
10241,Purposeful Play Pediatric Therapy,Venice,680 U.S. 41 BYPASS N SUITE 2,,,,,,34285,,FAILED,No Nominatim result
9203,The Learning Experience - West Melbourne,West Melbourne,4470 HOLLYWOOD BLVD,"Hollywood Boulevard, Stratford Pointe, Westbrooke, West Melbourne, Brevard County, Florida, 32904, United States",tertiary,highway,,,32904,32904,FALLBACK_NOT_ADDRESS,"class=highway type=tertiary is an area/road, not a premise; returned ""Hollywood Boulevard, Stratford Pointe, Westbrooke, West Melbourne, Brevard County, Florida, 32904, United States"""
6284,"THE ARC NASSAU, INC.",Yulee,86051 HAMILTON STREET,"Hamilton Street, Yulee, Nassau County, Florida, 32041, United States",service,highway,,,32097,32041,FALLBACK_NOT_ADDRESS,"class=highway type=service is an area/road, not a premise; returned ""Hamilton Street, Yulee, Nassau County, Florida, 32041, United States"""
