provider_name,website,phone,address1,city,county
Animal Recreation & Rehabilitation Center,null,(954) 916-4903,"2670 S Flamingo Rd, Davie, FL 33330, USA",Davie,null
Animal Rehab Institute,https://animalrehabinstitute.com/,(561) 790-1020,"2457 C Rd, Loxahatchee, FL 33470, USA",Loxahatchee,null
Animal Sterilization and Immunization Services,null,(305) 461-2600,"3240 NW 7th St, Miami, FL 33125, USA",Miami,null
Animal Sterlization & Prevention,null,(352) 797-9090,"837 S Broad St, Brooksville, FL 34601, USA",Brooksville,null
Animal Training Adventure Summer Camp,null,(850) 294-1964,"2941 Kerry Forest Pkwy, Tallahassee, FL 32309, USA",Tallahassee,null
Annwyn Equestrian Center,http://www.annwynequestrian.com/,(813) 333-5562,"2916 N Valrico Rd, Seffner, FL 33584, USA",Seffner,null
Applied Canine Concepts,null,null,"3155 SW 78th Ave, Palm City, FL 34990, USA",Palm City,null
Appy Pines Ranch,null,(954) 680-8069,"5790 SW 130th Ave, Southwest Ranches, FL 33330, USA",Southwest Ranches,null
Arc Educates,https://arcbroward.com/educates/,(954) 746-9400,"10250 NW 53rd St, Sunrise, FL 33351, USA",Sunrise,null
ARC Mental Health,https://arcmentalhealth.com/,(786) 916-6073,"14400 NW 77th Ct #100, Miami Lakes, FL 33016, USA",Miami Lakes,null
ASA Service Dogs Inc.,http://asaservicedogs.org/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=11647736468986843136,(704) 323-6650,"3701 E Trapnell Rd, Plant City, FL 33566, USA",Plant City,null
Aspire Health Partners - Princeton Plaza,https://aspirehealthpartners.com/programs-and-services/,(407) 875-3700,"1800 Mercy Dr, Orlando, FL 32808, USA",Orlando,null
Athena's Wildlife Sanctuary,null,(352) 701-8464,"17022 Budowski Rd, Brooksville, FL 34614, USA",Brooksville,null
Athlete Restoration Co.,http://www.athleterestorationcompany.com/,(561) 899-8725,"1655 Palm Beach Lakes Blvd Suite 106, West Palm Beach, FL 33401, USA",West Palm Beach,null
Atlantic East Animal Clinic,http://atlanticeastanimalclinic.com/,(904) 246-8300,"725 Atlantic Blvd #1, Atlantic Beach, FL 32233, USA",Atlantic Beach,null
Autism Inspired Academy,http://autisminspired.org/,(727) 474-7711,"11225 US Hwy 19 N, Clearwater, FL 33764, USA",Clearwater,null
Autism Project of Palm Beach County,https://www.autismprojectofpalmbeachcounty.org/contact,(561) 748-3299,"1310 Congress Ave, West Palm Beach, FL 33409, USA",West Palm Beach,null
Autism Society Broward County,null,(954) 465-4700,"10250 NW 53rd St, Fort Lauderdale, FL 33309, USA",Fort Lauderdale,null
Avalon Stables,http://avalonstables.com/,(813) 765-7162,"18029 Lake Reflections Blvd, Lutz, FL 33558, USA",Lutz,null
Avante at Melbourne,https://www.avantecenters.com/avante-melbourne-fl-skilled-nursing-assisted-living.html,(321) 326-2300,"1420 Oak St, Melbourne, FL 32901, USA",Melbourne,null
Aviata at Central Park,https://centers.aviatahg.com/fl/brandon/702-s-kings-ave,(813) 651-1818,"702 S Kings Ave, Brandon, FL 33511, USA",Brandon,null
Aviata at Fletcher,https://centers.aviatahg.com/fl/tampa/518-w-fletcher-ave,(813) 265-1600,"518 W Fletcher Ave, Tampa, FL 33612, USA",Tampa,null
Aviata at the Gardens - Tallahassee,https://centers.aviatahg.com/fl/tallahassee/1650-phillips-rd,(850) 942-9868,"1650 Phillips Rd, Tallahassee, FL 32308, USA",Tallahassee,null
Awesome Greyhound Adoptions,http://www.awesomegreyhoundadoptions.org/#!copy-of-donation-boxes-locations/cbuw,(561) 737-1941,"226 SE 1st Ave, Boynton Beach, FL 33435, USA",Boynton Beach,null
Back In Motion Performance & Physical Therapy - Cape Coral,https://backinmotionsspt.com/physical-therapy-clinic-cape-coral-near-you/?utm_campaign=gmb&utm_medium=gmb&utm_source=google,(239) 319-4830,"2708 Santa Barbara Blvd #145, Cape Coral, FL 33914, USA",Cape Coral,null
Back In Motion Performance & Physical Therapy Fort Myers FL,https://backinmotionsspt.com/physical-therapist-fort-myers/,(239) 766-5572,"9400 Gladiolus Dr Ste 100, Fort Myers, FL 33908, USA",Fort Myers,null
Back To Work Physical Therapy - Westchase,https://www.h2health.com/locations/back-to-work-physical-therapy/westchase-fl/,(813) 926-4346,"10960 Sheldon Rd, Tampa, FL 33626, USA",Tampa,null
Balanced Genetics,http://balanced-genetics.com/,(772) 742-1110,"6100 SE Federal Hwy, Stuart, FL 34997, USA",Stuart,null
Banfield Pet Hospital,https://www.banfield.com/locations/veterinarians/fl/jacksonville/jck?utm_source=yext&utm_medium=yext&utm_campaign=yext&cid=yext_local,(904) 777-0909,"9515 Crosshill Blvd STE 113, Jacksonville, FL 32222, USA",Jacksonville,null
Banfield Pet Hospital,https://www.banfield.com/locations/veterinarians/fl/gainesville/gns?utm_source=yext&utm_medium=yext&utm_campaign=yext&cid=yext_local,(352) 377-3769,"3736 SW Archer Rd, Gainesville, FL 32608, USA",Gainesville,null
Banfield Pet Hospital,https://www.banfield.com/locations/veterinarians/fl/gainesville/abn?utm_source=yext&utm_medium=yext&utm_campaign=yext&cid=yext_local,(352) 373-8055,"4209 NW 37th Pl, Gainesville, FL 32606, USA",Gainesville,null
Banyan Boca,https://www.banyantreatmentcenter.com/facilities/boca-raton/?utm_source=GMBlisting&utm_medium=organic,(561) 220-9364,"1000 NW 15th St, Boca Raton, FL 33486, USA",Boca Raton,null
Banyan Stuart,https://www.banyantreatmentcenter.com/facilities/stuart/?utm_source=GMBlisting&utm_medium=organic,(772) 492-4253,"201 SE Osceola St, Stuart, FL 34994, USA",Stuart,null
Barb Kosters Riding Academâ€‹y,http://barbkostersridingacademy.com,(754) 234-5981,"5250 SW 130th Ave, Southwest Ranches, FL 33330, USA",Southwest Ranches,null
"Barbara B. Welsch, DVM",http://www.acompassionateway.com/,(352) 392-1161,"Fletcher Dr, Gainesville, FL 32603, USA",Gainesville,null
Barbie's Jewels Horsing-Around Therapeutic Ranch,https://instagram.com/firewmn?igshid=OGQ5ZDc2ODk2ZA==,(954) 665-3508,"6230 Melaleuca Rd, Southwest Ranches, FL 33330, USA",Southwest Ranches,null
Bark Busters Home Dog Training Fort Myers,https://www.barkbusters.com/dog-training/fortmyers/?utm_source=GMBListing&utm_medium=WebsiteClicks&utm_campaign=2-11-013,(877) 500-2275,"10958 Longwing Dr, Fort Myers, FL 33912, USA",Fort Myers,null
Barrett Farm Inc,http://www.barrettfarm.com/,(407) 365-5456,"5100 Double R Ln, Oviedo, FL 32765, USA",Oviedo,null
Bart Corrington Reining Horses,https://www.facebook.com/LazyTriangleD/,(850) 212-4320,"8527 Freshwater Farms Rd, Tallahassee, FL 32309, USA",Tallahassee,null
BASE Physical Therapy,http://basephysicaltherapy.com/,(850) 727-5406,"3361 Raymond Diehl Business Lane Rd, Tallahassee, FL 32308, USA",Tallahassee,null
Bauser's Pet Training,https://bauserspettraining.com/,(305) 454-0420,"1944 NE 151st St, North Miami Beach, FL 33162, USA",North Miami Beach,null
Bayard Kennel,null,(904) 591-8679,"7520 Anna St, Jacksonville, FL 32256, USA",Jacksonville,null
BayCare Behavioral Health- Winter Haven Hospital Center for Behavioral Health Annex,https://baycare.org/locations/b/baycare-behavioral-health--winter-haven-hospital-center-for-behavioral-health-annex?utm_campaign=BayCare_DigitalMarketing_M20140288&utm_source=Google&utm_medium=LocalListing&utm_content=BayCare_Behavioral_Health-_Winter_Haven_Hospital_Center_for_Behavioral_Health_Annex,(863) 291-3611,"1501 1st St S, Winter Haven, FL 33880, USA",Winter Haven,null
Bayside Care Center,https://www.bayside-cc.com/,(727) 209-3600,"811 Jackson St N, St. Petersburg, FL 33705, USA",St. Petersburg,null
Baywood Pet Resort,https://vcahospitals.com/baywood/services/pet-boarding/dog-boarding,(239) 549-2949,"4711 Vincennes Blvd, Cape Coral, FL 33904, USA",Cape Coral,null
BBB of Northeast Florida,http://www.bbb.org/north-east-florida,(904) 721-2288,"4417 Beach Blvd #202, Jacksonville, FL 32207, USA",Jacksonville,null
Be The Solution,http://www.bethesolution.us/,(850) 545-2043,"1208 Capital Cir SE, Tallahassee, FL 32301, USA",Tallahassee,null
Beach Dawg Care,https://www.beachdawgcare.com/,(954) 489-8756,"1643 NE 17th Ave, Fort Lauderdale, FL 33305, USA",Fort Lauderdale,null
Beach Street Health and Rehabilitation Center,https://beachstreethrc.com/,(386) 258-3334,"1001 S Beach St, Daytona Beach, FL 32114, USA",Daytona Beach,null
Beaches Jet Set Pets,http://beachesjetsetpets.com/,(904) 372-4608,"949 12th Ave S, Jacksonville Beach, FL 32250, USA",Jacksonville Beach,null
Beaches Nature Therapy,https://www.beachesnaturetherapy.com/,(904) 720-6472,"1682 Penman Rd, Jacksonville Beach, FL 32250, USA",Jacksonville Beach,null
Behavioral Health of the Palm Beaches,https://www.bhpalmbeach.com/?utm_source=GMBlisting&utm_medium=organic,(561) 264-1138,"7859 Lake Worth Rd, Wellington, FL 33467, USA",Wellington,null
Berry Good Farms,https://www.berrygoodfarms.org/food-truck/locations/,(904) 724-8323,"223 Mill Creek Rd, Jacksonville, FL 32211, USA",Jacksonville,null
Bespoke Canine Training,https://bespokecaninetraining.com/,(813) 406-3460,"Pulteney Dr, Wesley Chapel, FL 33545, USA",Wesley Chapel,null
Best Behaved Pups,https://bestbehavedpups.com/,(904) 309-3009,"4402 Melrose Ave, Jacksonville, FL 32210, USA",Jacksonville,null
Best Friend's Dog Training Greater Tampa FL,https://muttmanners.com/pasco-pinellas-county-dog-training/,(727) 767-9000,"40946 US Hwy 19 N, Tarpon Springs, FL 34689, USA",Tarpon Springs,null
Beyond the Dog - Tampa Bay,https://beyondthedogtraining.com/tampa-bay/dog-training/,(813) 694-9771,"1529 W North A St Suite 24, Tampa, FL 33606, USA",Tampa,null
Beyond the Leash Dog Training,https://btl.dog/,(407) 872-9121,"115 W Gore St, Orlando, FL 32806, USA",Orlando,null
Black Creek Pet Clinic at Poochies,null,(904) 375-2205,"37 Fountain Dr, Orange Park, FL 32065, USA",Orange Park,null
Black Male Therapist,http://blackmaletherapist.net/,(904) 322-2162,"6034 Chester Ave #205, Jacksonville, FL 32217, USA",Jacksonville,null
Bloxam Boarding Kennels,null,(850) 597-1739,"1886 Bloxham Cutoff Rd, Crawfordville, FL 32327, USA",Crawfordville,null
Blue Lotus Stables,null,(239) 246-1925,"7170 Nalle Grade Rd, North Fort Myers, FL 33917, USA",North Fort Myers,null
Blue Sky Therapeutic Services,https://www.blueskytherapeuticservices.com/contact,(850) 290-2020,"6050 Shady Ln, Tallahassee, FL 32309, USA",Tallahassee,null
BluePearl Pet Hospital,https://bluepearlvet.com/hospital/tampa-fl/?utm_source=maps&utm_medium=google&utm_campaign=gbp,(813) 933-8944,"3000 Busch Lake Blvd, Tampa, FL 33614, USA",Tampa,null
BluePearl Pet Hospital,https://bluepearlvet.com/hospital/maitland-fl/?utm_source=maps&utm_medium=google&utm_campaign=gbp,(407) 644-1287,"9905 S US Hwy 17 92, Maitland, FL 32751, USA",Maitland,null
BluePearl Pet Hospital Fort Lauderdale,https://bluepearlvet.com/hospital/fort-lauderdale-fl/,(954) 641-1100,"3217 NW 10th Terrace, Fort Lauderdale, FL 33309, USA",Fort Lauderdale,null
Bob Thomas Equestrian Center,https://floridastatefair.com/equestrian/,(813) 621-7821,"4800 US-301, Tampa, FL 33610, USA",Tampa,null
BONANZA EQUESTRIAN CENTER,null,(786) 564-6524,"6000 SW 123rd Ave, Miami, FL 33183, USA",Miami,null
Boynton Beach Rehab,https://www.boyntonbeachrehab.com/,(561) 740-4100,"9600 Lawrence Rd, Boynton Beach, FL 33436, USA",Boynton Beach,null
Breedmaster Dog Training,http://breedmasterdogtraining.com/,(954) 594-9490,"By appointment only, Southwest Ranches, FL 33330, USA",Southwest Ranches,null
Brentwood Animal Clinic,https://www.brentwoodanimalclinic.com/,(904) 354-0547,"4605 Brentwood Ave, Jacksonville, FL 32206, USA",Jacksonville,null
Brevard Aid To Animals,http://brevardaidtoanimals.com/,(321) 421-6277,"2161 Aurora Rd, Melbourne, FL 32935, USA",Melbourne,null
Brevard Equestrian Center,https://brevardec.com/,(321) 960-2305,"4850 Old Dixie Hwy, Grant-Valkaria, FL 32949, USA",Grant-Valkaria,null
Brevard Spay/Neuter Clinic,http://www.brevardsnc.com/,(321) 724-1141,"4430 Dixie Hwy NE, Palm Bay, FL 32905, USA",Palm Bay,null
Brigadoon Farm,https://www.facebook.com/Brigadoon-Farm-700803026733588/,(804) 445-3714,"1330 Van Arsdale St, Oviedo, FL 32765, USA",Oviedo,null
Brookdale Highlands,https://www.brookdale.com/en/communities/brookdale-highlands.html?cid=yext,(863) 701-7820,"4250 Lakeland Highlands Rd, Lakeland, FL 33813, USA",Lakeland,null
Brumfield Kevin DVM,http://southwoodanimalhospital.com/,(850) 942-6650,"2528 Capital Cir SE, Tallahassee, FL 32311, USA",Tallahassee,null
BTTC West Palm Beach Rehab,https://bettertomorrowtc.com/?utm_source=gmb,(561) 933-7531,"5829 Corporate Way, West Palm Beach, FL 33407, USA",West Palm Beach,null
"Butterfly Lane Equestrian Stables, Inc.",http://www.butterflylaneequestrianstables.com/,(850) 329-7669,"2407 Chaires Cross Rd, Tallahassee, FL 32317, USA",Tallahassee,null
Caladesi Portuguese Water Dogs,http://caladesipwds.com/,(727) 215-9422,"12022 NW 25th Dr #4015, Gainesville, FL 32609, USA",Gainesville,null
Calvary Equine Inc.,null,(619) 857-1476,"11443 Misty Isle Ln, Riverview, FL 33579, USA",Riverview,null
Camp MoJoâ€™s,http://www.campmojos.com/,(850) 422-3063,"2595 Centerville Rd, Tallahassee, FL 32308, USA",Tallahassee,null
"Canine Academy Dog Training, Anna Nylander",null,(954) 907-2250,"1020 N 19th Ave #14, Hollywood, FL 33020, USA",Hollywood,null
Canine Command,http://www.caninecommand.net/,(239) 963-7676,"21750 River Ranch Rd, Estero, FL 33928, USA",Estero,null
Canine Companions Southeast Training Center,https://canine.org/location/southeast/,(407) 522-3300,"8150 Clarcona Ocoee Rd, Orlando, FL 32818, USA",Orlando,null
Canine Connection LLC,null,(727) 434-1449,"Pine Island, Davie, FL 33328, USA",Davie,null
Canine Counselors,http://www.caninecounselors.com/,(305) 264-0027,"7875 Bird Rd #212, Miami, FL 33155, USA",Miami,null
Canine Linguistics - Dog Training and Boarding,https://www.caninelinguistics.com/,(321) 314-7772,"7950 Niagara Falls Ct, Orlando, FL 32825, USA",Orlando,null
Canine Pro Dog Training & Behavior Therapy,null,(954) 271-1088,"2703 NE 15th St, Pompano Beach, FL 33062, USA",Pompano Beach,null
Canine Solutions,http://www.robsdogwalking.com/,(850) 893-6683,"4142 Arklow Dr, Tallahassee, FL 32309, USA",Tallahassee,null
Canine Technology Institute - Miami Dog Boarding & Training School,https://caninetechnologyinstitute.com/,(305) 772-3386,"1560 NE 205th Terrace SUITE 310, Miami, FL 33179, USA",Miami,null
Cannine Control,null,(863) 409-1256,"Lakeland, FL 33801, USA",Lakeland,null
Cape Coral Pet Crematory,http://www.capecoralpetcrematory.com/,(239) 574-7400,"950 Country Club Blvd, Cape Coral, FL 33990, USA",Cape Coral,null
Cape Coral Therapists,http://www.capecoraltherapists.com/,(239) 565-6921,"290 Nicholas Pkwy NW #2, Cape Coral, FL 33991, USA",Cape Coral,null
Capriola Equestrian,null,(754) 232-4250,"2280 SW 154th Ave, Davie, FL 33326, USA",Davie,null
Care Animal Clinic,http://careanimalclinicfl.com/,(863) 665-2000,"2030 Edgewood Dr S, Lakeland, FL 33803, USA",Lakeland,null
Care Corner Animal Clinic,http://carecorneranimalclinic.com/,(305) 556-4080,"16776 NW 67th Ave, Hialeah, FL 33015, USA",Hialeah,null
Cares Affordable Animal Clinic,https://caresanimalclinic.com/,(352) 495-3905,"12850 NE 130th Ave, Archer, FL 32618, USA",Archer,null
Carriage Hill Farm,http://carriagehillfarms.com/,(561) 451-7900,"16429 Winners Cir, Delray Beach, FL 33446, USA",Delray Beach,null
Carter Frances DVM,http://bucklakeah.com/,(850) 878-4799,"3514 Mahan Dr, Tallahassee, FL 32308, USA",Tallahassee,null
Casanova Jackie DVM,http://www.mobileveterinarycare.com/,(352) 538-3298,"Gainesville, FL 32601, USA",Gainesville,null
Casper's Camp Hope Gainesville Dog Training,https://www.casperscamphope.com/,(352) 222-2432,"10907 SW 24th Ave, Gainesville, FL 32607, USA",Gainesville,null
Casperey Stables,http://caspereystables.com/,(561) 792-4990,"2330 D Rd, Loxahatchee, FL 33470, USA",Loxahatchee,null
Cavalier Rescue of Florida,https://cavrescuefl.org/,(800) 435-7352,"1015 Atlantic Blvd, Atlantic Beach, FL 32233, USA",Atlantic Beach,null
Celadon Recovery Campus,https://www.celadonrecovery.com/,(239) 266-2141,"3331 E Riverside Dr, Fort Myers, FL 33916, USA",Fort Myers,null
Center For Autism & Related,null,(904) 633-0760,"6271 6701-1 St Augustine Ap # 1, Jacksonville, FL 32217, USA",Jacksonville,null
Champion Dog Training Center,http://www.championdogtraining.com/,(954) 748-5423,"7139 NW 49th Ct, Lauderhill, FL 33319, USA",Lauderhill,null
CHAPS Center,http://www.chapscenter.com/,(407) 476-6434,"4952 Sanford Ave, Sanford, FL 32773, USA",Sanford,null
Chews A Puppy,http://chewsapuppyfl.com/,(407) 439-0440,"11167 W Colonial Dr, Ocoee, FL 34761, USA",Ocoee,null
ChildGarden Center | Integral Therapy,https://www.childgardens.com/,(305) 335-0407,"3300 W 84th St unit 10, Hialeah, FL 33018, USA",Hialeah,null
Children's Ranch Therapy,null,(772) 834-8834,"2293 SW Martin Hwy, Palm City, FL 34990, USA",Palm City,null
Chrysalis Health Outpatient Department,http://www.chrysalishealth.com/,(305) 630-3334,"1868 NE 164th St, North Miami Beach, FL 33162, USA",North Miami Beach,null
Circles of Care,https://www.circlesofcare.org/,(321) 722-5200,"400 E Sheridan Rd, Melbourne, FL 32901, USA",Melbourne,null
Cisco Standard Poodles,https://www.facebook.com/share/1EPQ4KF65t/?mibextid=wwXIfr,(407) 314-7095,"1982 FL-44 STE 236, New Smyrna Beach, FL 32168, USA",New Smyrna Beach,null
Coastal Health Institute,https://www.coastalhealthjax.com/,(904) 300-2809,"9889 Gate Pkwy N STE 303, Jacksonville, FL 32246, USA",Jacksonville,null
Coastal Labradoodles LLC,http://www.coastallabradoodles.com/,(512) 791-4129,"9426 Whippoorwill Trail, Jupiter, FL 33478, USA",Jupiter,null
