ProviderName,Website_final,Crawl_Status,Pages_Crawled,Matched_Categories,HomeAccess,RespiteCare,ABA,OT,PT,Speech,LifeSkills,Employment,Residential,HomeAccess_Excerpt,RespiteCare_Excerpt,ABA_Excerpt,OT_Excerpt,PT_Excerpt,Speech_Excerpt,LifeSkills_Excerpt,Employment_Excerpt,Residential_Excerpt,Domain,Address1,City,State,Zip,phone
Serenity Space Therapy,https://www.serenityspacetherapy.net/,Success (no matches),https://www.serenityspacetherapy.net/;https://www.serenityspacetherapy.net/therapyservices;https://www.serenityspacetherapy.net/welcomenote;https://www.serenityspacetherapy.net/serenity-space-therapy-rates-and-insurance;https://www.serenityspacetherapy.net/testimonials-serenity-space-therapy,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,serenityspacetherapy.net,2699 Stirling Rd C - 403a,Fort Lauderdale,FL,33312,(954) 904-0100
"The Center for Psychological Counseling Services, Inc.",http://cpcshollywood.com/,Success (no matches),http://cpcshollywood.com/;https://cpcshollywood.com/;https://cpcshollywood.com/#services;https://cpcshollywood.com/#therapists;http://cpcshollywood.com/about,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,cpcshollywood.com,5124 Hollywood Blvd,Hollywood,FL,33021,(954) 894-1174
Pivotal Achievements- ABA Therapy,http://www.pivotal-achievements.com/,Success,http://www.pivotal-achievements.com/;https://www.pivotal-achievements.com/aba-programs;https://www.pivotal-achievements.com/aba-services;http://www.pivotal-achievements.com/#comp-meu06j9p;http://www.pivotal-achievements.com/#comp-meu02olr,ABA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,ABA Therapy for Autism in Coral Springs | Pivotal Achievements top of page ABA Ther,,,,,,,pivotal-achievements.com,7451 Wiles Rd #107,Coral Springs,FL,33067,(954) 893-2442
MorMindful Therapy & Psychiatry Fort Lauderdale,https://www.mormindful.com/fort-lauderdale-psychologist,Success,https://www.mormindful.com/fort-lauderdale-psychologist;https://www.mormindful.com/services/ptsd-trauma-therapy-psychiatry;https://www.mormindful.com/services/ocd-therapy;https://www.mormindful.com/services/online-therapy-psychiatry;https://www.mormindful.com/services/panic-attack-treatment,"HomeAccess,ABA",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"n/Anxiety Therapy Life Transitions Personality Disorder Treatment Home Visits & House Calls Individual Therapy Individual Therapy One on One Blair Mor, PsyD, along with h",,Therapy (DBT) Dialectical Behavioral Therapy (DBT) Growing Together Dialectical Behavior Therapy (DBT) is a specific form of therapy that teaches skills which have been clinic,,,,,,,mormindful.com,4390 N Federal Hwy,Fort Lauderdale,FL,33308,(954) 889-7929
Sabal Palm Psychological Services,http://www.sabalpalmpsychology.com/,Success,http://www.sabalpalmpsychology.com/;http://www.sabalpalmpsychology.com/our-services;http://www.sabalpalmpsychology.com/cart;http://www.sabalpalmpsychology.com/#page;http://www.sabalpalmpsychology.com/about,LifeSkills,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,,,,,,Stress in Parents of Children with Short Bowel Syndrome Undergoing Intestinal Rehabilitation: Considerations for Care Schedule an Appointment,,,sabalpalmpsychology.com,3015 N Ocean Blvd,Fort Lauderdale,FL,33308,(954) 870-2739
Healing Words Therapy,https://www.healingwordstherapy.com/,Success,https://www.healingwordstherapy.com/;https://www.healingwordstherapy.com/anxiety-treatment;https://www.healingwordstherapy.com/depression-treatment;https://www.healingwordstherapy.com/bipolar-disorder-therapy;https://www.healingwordstherapy.com/life-transitions,ABA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,"e Behavioral Therapy (CBT) to challenge unhelpful thought patterns, Dialectical Behavior Therapy (DBT) skills for distress tolerance and emotional regulation, or Exposure Ther",,,,,,,healingwordstherapy.com,12515 Orange Dr,Davie,FL,33330,(954) 866-4941
Susan Goldstein Consulting,https://susangoldsteinconsulting.com/,Success (no matches),https://susangoldsteinconsulting.com/;https://susangoldsteinconsulting.com/#78c78552-57d8-48b0-97af-1244f05880d9,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,susangoldsteinconsulting.com,215 W College Ave,Tallahassee,FL,32301,(954) 830-6300
Happy Play Therapy,https://www.happyplaytherapy.com/,Success,https://www.happyplaytherapy.com/;https://www.happyplaytherapy.com/speech-therapy;https://www.happyplaytherapy.com/occupational-therapy;https://www.happyplaytherapy.com/physical-therapy;https://www.happyplaytherapy.com/about-the-owner,"ABA,OT,PT,Speech,LifeSkills",FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,,,"ational Therapy in Davie | Happy Play Therapy Speech, Occupational, Physical, & ABA Therapies Speech, Occupational, Physical, & ABA Therapies Speech, Occupational,","Speech Therapy in Davie | Occupational Therapy in Davie | Happy Play Therapy Speech, Occupational, Physical, & ABA Therapies ", with play skills; and difficulty with attention and executive function skills. Physical Therapy Sign up to our blog to receive the latest information by clicking here! Your c,"Speech Therapy in Davie | Occupational Therapy in Davie | Happy Play Therapy Speech, Occupati","r patterns, leading to better overall function and success in daily activities. Activities of Daily Living (ADL) & Self-Care Skills Feeding: Refers to a child's ability to scoop and brin",,,happyplaytherapy.com,6191 Orange Dr 6167 (1st,Davie,FL,33314,(954) 800-4078
Paloma Speech Therapy,http://www.palomaslp.com/,Success,http://www.palomaslp.com/;http://www.palomaslp.com/services;http://www.palomaslp.com/cart;http://www.palomaslp.com/#page;http://www.palomaslp.com/about,"Speech,LifeSkills",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,,,,,,Paloma Suarez | Speech Language Pathologist | South Florida Based | Hablamos Español 0 Speech & Language Therap,"Paloma’s clinical experience involves hospital-based inpatient and outpatient rehabilitation services for pediatric and adult patients, pediatric therapy in a private clini",,,palomaslp.com,8190 NW 127th Ln,Parkland,FL,33076,(954) 800-3288
Ellie Mental Health,https://elliementalhealth.com/locations/weston-fl/,Success,https://elliementalhealth.com/locations/weston-fl/;https://elliementalhealth.com/childhood-ocd-explained-symptoms-causes-and-treatment-that-can-help/;https://elliementalhealth.com/services/;https://elliementalhealth.com/services/partnerships/;https://elliementalhealth.com/services/mn-community-based-services/,"HomeAccess,ABA",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,e-Assisted Virtual Reality Protector Overwatch Co-joint Therapy School Embedded In-Home Therapy Please note that these services may not be offered at every location. V,,rline Personality Disorder Burnout Conduct Disorder (CD) Depression Dialectical Behavior Therapy (DBT) Dissociative Disorders Divorce Eating Disorders LGBTQ Therapy Narcissist,,,,,,,elliementalhealth.com,2290 10th Ave N,Lake Worth Beach,FL,33461,(561) 823-3178
"SPOT FOR KIDS, INC",http://www.spotforkidsinc.com/,Failed (empty/JS-only),,,,,,,,,,,,,,,,,,,,,spotforkidsinc.com,18450 Pines Blvd,Pembroke Pines,FL,33029,(954) 800-0741
FUSSION THERAPY INC.,https://www.fussiontherapy.com/,Success,https://www.fussiontherapy.com/;https://www.fussiontherapy.com/occupational-therapy-ot/;https://www.fussiontherapy.com/physical-therapy-pt/;https://www.fussiontherapy.com/speech-therapy/;https://www.fussiontherapy.com,"OT,PT,Speech",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,,,,"ncompasses your expertise and the growth of Fussion Therapy Inc. Speech Therapy Occupational Therapy Physical Therapy Empowering minds transforming lives! Great people, they know ","tise and the growth of Fussion Therapy Inc. Speech Therapy Occupational Therapy Physical Therapy Empowering minds transforming lives! Great people, they know exactly what they","cises. Skip to content Menu Whatsapp HISTORY Gloria R Yepes MS.,SLP Gloria is a speech pathologist with more of 20 years of experience in the USA, she founded in 2015 Fussion ",,,,fussiontherapy.com,8040 NW 95th St,Hialeah Gardens,FL,33016,(954) 793-0775
"Play and Learn Therapy, Inc.",http://www.playandlearntherapy.com/,Success,http://www.playandlearntherapy.com/;https://playandlearntherapy.com/services/speech-language-therapy/;https://playandlearntherapy.com/services/occupational-therapy/;https://playandlearntherapy.com/services/physical-therapy/;https://playandlearntherapy.com/services/bilingual-therapy/,"OT,PT,Speech,LifeSkills",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,,,,) 766-4621 info@playandlearntherapy.com × Home Services Speech-Language Therapy Occupational Therapy Bilingual Therapy Services Classroom Support Feeding Therapy Screenings Physic,Therapy Bilingual Therapy Services Classroom Support Feeding Therapy Screenings Physical Therapy New Patients About Us Contact More Request an Evaluation (CF-7) FAQ Online Boo,y (English/Spanish) Services are provided in English and Spanish by a bilingual speech therapist. The bilingual speech therapist working with your child knows the difference,"c occupational therapy helps children develop, recover, or gain independence in activities of daily living while also strengthening the development of fine motor, sensory-motor, visual m",,,playandlearntherapy.com,840 E Oakland Park Blvd,Oakland Park,FL,33334,(954) 766-4621
The Sylvia Brafman Mental Health Center,https://sylviabrafman.com/florida/?utm_source=google&utm_medium=local&utm_campaign=sbmhc-florida,Failed (empty/JS-only),,,,,,,,,,,,,,,,,,,,,sylviabrafman.com,7710 NW 71st Ct,Tamarac,FL,33321,(954) 758-8725
Arc Broward WorkBar,http://www.arcbroward.com/,Success,http://www.arcbroward.com/;https://arcbroward.com/adult-services/;https://arcbroward.com/programs/toddlers-children/;https://arcbroward.com/programs/teenage-young-adult/;https://arcbroward.com/programs/adult-day-programs/,"HomeAccess,RespiteCare,OT,PT,LifeSkills",TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE," developmental preschool and intensive afterschool and summer camp programs, to in-home parenting support and rehabilitative therapies like occupational, speech, and p",en ABLE Afterschool Program Camp ABLE Family Support Program Preschool Services Respite Care Arc Broward gives young learners with disabilities a space to grow and thr,,"e team includes certified teachers, teacher’s assistants, licensed physical and occupational therapists, licensed speech-language pathologists, and board-certified behavior analys","e parenting support and rehabilitative therapies like occupational, speech, and physical therapy, we are committed to helping children reach their true potential! ABLE Aftersc",," a series of learning experiences addressing career development, social skills, life skills, self-determination, and advocacy through a combination of classroom and real-l",,,arcbroward.com,3415 N Dixie Hwy,Oakland Park,FL,33334,(954) 746-9400
Bridge Therapy,http://mybridgetherapy.com/,Success,http://mybridgetherapy.com/;https://mybridgetherapy.com/our-services/;https://mybridgetherapy.com/bridge-therapys-samantha-novick-wins-wplg-lifechanger-award/;http://mybridgetherapy.com/#content;https://mybridgetherapy.com/,Speech,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,,,,Home | Bridge Therapy | Speech Therapy | Broward County | South Florida Our Services | Speech Language Pathologist | ,,,,mybridgetherapy.com,8833 Perimeter Park Blvd,Jacksonville,FL,32216,(904) 552-1588
"Restorative Integrations, Fort Lauderdale EMDR Therapy",https://www.restorativeintegrations.com/,Success,https://www.restorativeintegrations.com/;https://www.restorativeintegrations.com/intensive-programs;https://www.restorativeintegrations.com/services;https://www.restorativeintegrations.com/ketamine-psychotherapy-fort-lauderdale;https://www.restorativeintegrations.com/trauma-therapy-florida,ABA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,"itive processing therapy (CPT), prolonged exposure therapy (PE), or dialectical behavior therapy (DBT). If you're not sure whether our services are the right fit for you, we i",,,,,,,restorativeintegrations.com,2900 E Oakland Park Blvd 3rd Fl,Fort Lauderdale,FL,33306,(954) 738-1698
Henderson Behav Hlth - The Village,http://www.hendersonbh.org/,Success,http://www.hendersonbh.org/;https://www.hendersonbh.org/services/adult-outpatient-psychosocial-rehabilitation/;https://www.hendersonbh.org/services/supported-employment/;https://www.hendersonbh.org/t-student-counseling-services/;https://www.hendersonbh.org/services/crisis/,"HomeAccess,LifeSkills,Employment",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,"enefit from the emotional support and advocacy necessary to obtain and maintain community based integrated, competitive employment. The goal is to provide each person with the",,,,,,ed the highest Level of Accreditation from the Commission on Accreditation of Rehabilitation Facilities (C.A.R.F) an honor continuously maintained since 1992. It is our Mis,Overlay Services to People in Group Living Settings Psychosocial Rehabilitation Supported Employment Services Co-occurring Disorders Outpatient Program WIN Program for Elder Person,,hendersonbh.org,5700 NW 27th Ct,Lauderhill,FL,33313,(954) 735-1901
Early Steps at CDTC,http://www.childrensdiagnostic.org/,Success (no matches),http://www.childrensdiagnostic.org/;http://www.childrensdiagnostic.org/#content;http://www.childrensdiagnostic.org/#page,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,childrensdiagnostic.org,1401 S Federal Hwy,Fort Lauderdale,FL,33316,(954) 728-8080
Center For Independent Living,http://www.cilbroward.org/,Success,http://www.cilbroward.org/;http://www.cilbroward.org/programs-services;http://www.cilbroward.org/core-services;http://www.cilbroward.org/youth-programs;http://www.cilbroward.org/-jp-pas-james-patrick-memorial-personal-attendant-services,"HomeAccess,LifeSkills,Employment",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,on in society. We provide access to: • A comprehensive resource library • Local community-based organizations • Social service agencies • Relevant government programs and serv,,,,,,"ning Services CILB supports individuals with disabilities in building essential life skills for greater independence at home, in the workplace, and throughout the communit","enefits, including job placement assistance, and benefits counseling. Veterans, Vocational Rehabilitation participants, youth with disabilities, and others seeking employment s",,cilbroward.org,4800 #102,Lauderdale Lakes,FL,33319,(954) 722-6400
Therapies 4 Kids,http://www.therapies4kids.com/,Success,http://www.therapies4kids.com/;http://www.therapies4kids.com/psychiatric-services;http://www.therapies4kids.com/thePediaSuitProtocol;http://www.therapies4kids.com/other-sites;http://www.therapies4kids.com/jobs,"HomeAccess,ABA,OT,PT,Speech",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE," provides one-to-one Applied Behavior Analysis Therapy at our clinics, but also in-home services, school consultations, advocacy and parent training. Visit the site of",,"Therapies 4 Kids, Inc. ABA News Parents of students with autism Did you know that the Florida law requires", for a therapy session for the treatment of autism? Learn more Physical Therapy Occupational Therapy Speech Therapy Intensive Therapy The Pediasuit Protocol™ ABA/Autism Psychiatri,sence from school for a therapy session for the treatment of autism? Learn more Physical Therapy Occupational Therapy Speech Therapy Intensive Therapy The Pediasuit Protocol™ ,n for the treatment of autism? Learn more Physical Therapy Occupational Therapy Speech Therapy Intensive Therapy The Pediasuit Protocol™ ABA/Autism Psychiatric Services Chir,,,,therapies4kids.com,1311 N Palm Ave,Pembroke Pines,FL,33024,(954) 719-6280
Avant Garde Behavioral Therapy,http://www.avantgardekids.com/,Success,http://www.avantgardekids.com/;http://www.avantgardekids.com/services/aba-therapy;http://www.avantgardekids.com/services/behavioral-therapy;http://www.avantgardekids.com/services;http://www.avantgardekids.com/services/developmental-disabilities,"ABA,OT,PT,Speech",FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,,,"de Behavioral Therapy for Kids | Avant Garde Kids Avant-Garde Behavioral Health ABA Therapy in Davie, FL About Us Discover our commitment to nurturing children’s m",like: Speech therapy Physical therapy Applied behavioral analysis (ABA) therapy Occupational therapy Special education plans Children might also need medication to address anxiety,l wellness. They may also recommend therapeutic strategies like: Speech therapy Physical therapy Applied behavioral analysis (ABA) therapy Occupational therapy Special educati,al and emotional wellness. They may also recommend therapeutic strategies like: Speech therapy Physical therapy Applied behavioral analysis (ABA) therapy Occupational therap,,,,avantgardekids.com,12555 Orange Dr #254,Davie,FL,33330,(954) 708-1661
Witty Children Behavior Therapy,http://wittychildrenbehavior.com/,Success,http://wittychildrenbehavior.com/;https://wittychildrenbehavior.com/;http://wittychildrenbehavior.com/#Feedback;http://wittychildrenbehavior.com/#Home;http://wittychildrenbehavior.com/#Clasess,ABA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,"relationships in society. Transform lives through compassionate, evidence-based ABA therapy designed to promote independence, meaningful social engagement, and lif",,,,,,,wittychildrenbehavior.com,5801 NW 151st St,Miami Lakes,FL,33014,(954) 639-7119
"Utter Brilliance Therapy Services - Krista M. Hadeed, MS, CCC-SLP, PA",http://www.utterbrilliancetherapy.com/,Success,http://www.utterbrilliancetherapy.com/;http://www.utterbrilliancetherapy.com/services;http://www.utterbrilliancetherapy.com/cart;http://www.utterbrilliancetherapy.com/#page;http://www.utterbrilliancetherapy.com/about,"HomeAccess,Speech",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"ne-on-one treatment in our office, virtually, or in the comfort of your home*. *in-home therapy subject to time minimum and/or travel fees. Family Coaching Whether you",,,,,"Pediatric Speech Therapy Services 0 At Utter Brilliance Therapy Services, we proudly offer concierge-st",,,,utterbrilliancetherapy.com,2929 N University Dr #110,Coral Springs,FL,33065,(954) 637-3270
Acorn & Oak Speech Therapy,https://acornoaktherapy.com/,Failed (empty/JS-only),,,,,,,,,,,,,,,,,,,,,acornoaktherapy.com,5485 Wiles Rd,Coconut Creek,FL,33073,(954) 621-3669
Konfetti Kidz Therapy,http://konfettikidz.com/,Success,http://konfettikidz.com/;https://konfettikidz.com/services/;https://konfettikidz.com/services-alae.com/blogs/;https://konfettikidz.com/employment-opportunities/;https://konfettikidz.com,"OT,PT,Speech,LifeSkills",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,,,,"ciplinary approach utilizes a comprehensive framework of treatment that bridges occupational therapy, physical therapy and speech-language pathology. SERVICES Get Started Speech T","lizes a comprehensive framework of treatment that bridges occupational therapy, physical therapy and speech-language pathology. SERVICES Get Started Speech Therapy Physical Th","Pediatric Group, Occupational, Speech Therapy, Weston, Miramar, Pembroke Pines | Konfetti Kidz Therapy Pediatric Group, Occu","cessing Fine motor skills Visual motor and Visual Perceptual skills Play Skills Activities of Daily Living Skills Social skills Postural control, alignment, movement patterns Core streng",,,konfettikidz.com,17900 NW 5th St,Pembroke Pines,FL,33029,(954) 606-5439
Achieve Therapy Inc,https://www.achievetherapycenter.com/,Success,https://www.achievetherapycenter.com/;https://www.achievetherapycenter.com,"HomeAccess,OT,PT,Speech",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,"c speech, physical and occupational therapy services. We offer therapy services in home and in our newly renovated 5,000 square foot clinic. Our staff of multilingual ",,,"Achieve Therapy. Speech, Physical, Occupational Therapy in Hollywood top of page ABOUT US Achieve Therapy was established in 2007 with",pect Caring Compassion Empathy Love Fun Inclusion About Us OCCUPATIONAL THERAPY PHYSICAL THERAPY SPEECH THERAPY OUR SERVICES Speech Therapy Evaluation and treatment for client,"ssion Empathy Love Fun Inclusion About Us OCCUPATIONAL THERAPY PHYSICAL THERAPY SPEECH THERAPY OUR SERVICES Speech Therapy Evaluation and treatment for clients with feeding,",,,,achievetherapycenter.com,2736 Hollywood Blvd,Hollywood,FL,33020,(954) 603-1881
Child Therapy and Parenting Center,http://www.childtherapypc.com/,Success (no matches),http://www.childtherapypc.com/;https://www.childtherapypc.com/services,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,childtherapypc.com,3860 Sheridan St C,Hollywood,FL,33021,(954) 593-0510
Abundant Abilities,http://www.abundantabilities.net/,Failed (empty/JS-only),,,,,,,,,,,,,,,,,,,,,abundantabilities.net,3720 Coconut Creek Pkwy,Coconut Creek,FL,33066,(954) 590-0647
