provider_name,phone,city,state,website,has_valid_website,pages_crawled,aba_found,aba_pages,autism_found,autism_pages,pediatric_speech_found,pediatric_ot_found,pediatric_pt_found,therapy_pages,recommendation,notes
Groundwork Counseling & Cognitive Behavioral Therapy (CBT) Orlando,(407) 378-3000,Maitland,FL,http://www.groundworkcounseling.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb,TRUE,3,FALSE,,FALSE,,FALSE,FALSE,FALSE,,FLAG_FOR_REMOVAL,"Crawled 3 pages - no ABA, autism, or pediatric therapy found"
Adult Education-West Area Adult School,(863) 499-2700,Lakeland,FL,http://www.westareaadult.com/,TRUE,1,FALSE,,FALSE,,FALSE,FALSE,FALSE,,FLAG_FOR_REMOVAL,"Crawled 1 pages - no ABA, autism, or pediatric therapy found"
"Educational Brains, LLC",(772) 404-2122,Port St. Lucie,FL,http://www.educationalbrains.com/,TRUE,1,FALSE,,FALSE,,FALSE,FALSE,FALSE,,FLAG_FOR_REMOVAL,"Crawled 1 pages - no ABA, autism, or pediatric therapy found"
"The Center for Codependency Recovery- Suzi Marsh Meffen Clinical Social Work/Therapist, BBA, MSW, LCSW",(678) 570-8169,Palm Bay,FL,http://suzimeffen.com/,TRUE,1,FALSE,,FALSE,,FALSE,FALSE,FALSE,,FLAG_FOR_REMOVAL,"Crawled 1 pages - no ABA, autism, or pediatric therapy found"
UF Health Psychology Specialties,(352) 265-0294,Gainesville,FL,https://ufhealth.org/locations/uf-health-psychology-specialties?utm_source=pg-google&utm_medium=organic&utm_campaign=pg-listings,TRUE,2,FALSE,,FALSE,,FALSE,FALSE,FALSE,,FLAG_FOR_REMOVAL,"Crawled 2 pages - no ABA, autism, or pediatric therapy found"
Powers of Mind Psychological Services,(850) 807-9801,Tallahassee,FL,http://www.tallahasseetherapy.com/,TRUE,10,FALSE,,FALSE,,FALSE,FALSE,FALSE,,FLAG_FOR_REMOVAL,"Crawled 10 pages - no ABA, autism, or pediatric therapy found"
Care One of Florida,(352) 683-1982,Spring Hill,FL,http://www.careoneofflorida.com/,TRUE,3,FALSE,,FALSE,,FALSE,FALSE,FALSE,,FLAG_FOR_REMOVAL,"Crawled 3 pages - no ABA, autism, or pediatric therapy found"
TAL Community Mental Health Center,(786) 648-3588,Miramar,FL,http://www.talcmhc.org/,TRUE,2,FALSE,,FALSE,,FALSE,FALSE,FALSE,,FLAG_FOR_REMOVAL,"Crawled 2 pages - no ABA, autism, or pediatric therapy found"
Peace and Healing Therapy,(352) 758-4945,Gainesville,FL,https://www.peaceandhealingtherapy.com/,TRUE,1,FALSE,,FALSE,,FALSE,FALSE,FALSE,,FLAG_FOR_REMOVAL,"Crawled 1 pages - no ABA, autism, or pediatric therapy found"
Untamed Therapy & Consulting | EMDR Certified Trauma Therapy in SWFL,(941) 876-8033,Cape Coral,FL,https://untamedtherapy.com/,TRUE,1,FALSE,,FALSE,,FALSE,FALSE,FALSE,,FLAG_FOR_REMOVAL,"Crawled 1 pages - no ABA, autism, or pediatric therapy found"
Renewed Integrative Counseling,(863) 904-1541,Lakeland,FL,http://www.renewedic.com/lakeland,TRUE,1,FALSE,,FALSE,,FALSE,FALSE,FALSE,,FLAG_FOR_REMOVAL,"Crawled 1 pages - no ABA, autism, or pediatric therapy found"
"Heather Stambaugh, LMHC LPC NCC CFMHE",(863) 271-7977,Lakeland,FL,http://www.lkldtherapyformisfits.com/,TRUE,1,FALSE,,FALSE,,FALSE,FALSE,FALSE,,FLAG_FOR_REMOVAL,"Crawled 1 pages - no ABA, autism, or pediatric therapy found"
Whitney Owens Counseling,(850) 692-9985,Tallahassee,FL,http://www.whitneyowenscounseling.com/,TRUE,2,FALSE,,FALSE,,FALSE,FALSE,FALSE,,FLAG_FOR_REMOVAL,"Crawled 2 pages - no ABA, autism, or pediatric therapy found"
Oasis Mind Lab â€“ Coaching & Consulting for Work & Life,(727) 228-2143,Dunedin,FL,https://www.oasismindlab.com/,TRUE,3,FALSE,,FALSE,,FALSE,FALSE,FALSE,,FLAG_FOR_REMOVAL,"Crawled 3 pages - no ABA, autism, or pediatric therapy found"
The Traveling Therapist,(239) 310-5396,Fort Myers,FL,https://www.thetravelingtherapist.net/,TRUE,1,FALSE,,FALSE,,FALSE,FALSE,FALSE,,FLAG_FOR_REMOVAL,"Crawled 1 pages - no ABA, autism, or pediatric therapy found"
"The Center for Psychological Counseling Services, Inc.",(954) 894-1174,Hollywood,FL,http://cpcshollywood.com/,TRUE,4,FALSE,,FALSE,,FALSE,FALSE,FALSE,,FLAG_FOR_REMOVAL,"Crawled 4 pages - no ABA, autism, or pediatric therapy found"
"Kristin Allen, MS, LMHC",(859) 312-4195,Tallahassee,FL,https://timberlanetherapy.clientsecure.me/,TRUE,1,FALSE,,FALSE,,FALSE,FALSE,FALSE,,FLAG_FOR_REMOVAL,"Crawled 1 pages - no ABA, autism, or pediatric therapy found"
Blue Iris Behavioral Services,(321) 327-4037,Palm Bay,FL,http://www.blueirisbehavioral.com/,TRUE,10,FALSE,,FALSE,,FALSE,FALSE,FALSE,,FLAG_FOR_REMOVAL,"Crawled 10 pages - no ABA, autism, or pediatric therapy found"
Chosen Therapy services,(912) 963-7256,Orlando,FL,https://chosentherapyservices.com/,TRUE,1,FALSE,,FALSE,,FALSE,FALSE,FALSE,,FLAG_FOR_REMOVAL,"Crawled 1 pages - no ABA, autism, or pediatric therapy found"
Step-by-Step Behavioral Health Services,(888) 763-7837,Gainesville,FL,http://step-by-stepbehaviorhealth.com/,TRUE,3,FALSE,,FALSE,,FALSE,FALSE,FALSE,,FLAG_FOR_REMOVAL,"Crawled 3 pages - no ABA, autism, or pediatric therapy found"
Learn and Rise,(863) 816-4253,Lakeland,FL,https://sites.google.com/view/learn-and-rise-behaviortherapy/p%C3%A1gina-principal,TRUE,1,FALSE,,FALSE,,FALSE,FALSE,FALSE,,FLAG_FOR_REMOVAL,"Crawled 1 pages - no ABA, autism, or pediatric therapy found"
Achievement & Enrichment Center by The Arc Jacksonville,(904) 573-2805,Jacksonville,FL,http://www.arcjacksonville.org/,TRUE,4,FALSE,,FALSE,,FALSE,FALSE,FALSE,,FLAG_FOR_REMOVAL,"Crawled 4 pages - no ABA, autism, or pediatric therapy found"
The Franz Center,(321) 461-5750,Orlando,FL,https://thefranzcenter.com/?utm_campaign=gmb,TRUE,3,FALSE,,FALSE,,FALSE,FALSE,FALSE,,FLAG_FOR_REMOVAL,"Crawled 3 pages - no ABA, autism, or pediatric therapy found"
Stress And Anxiety Center,(386) 999-0333,Holly Hill,FL,http://www.stressandanxietycenter.org/,TRUE,1,FALSE,,FALSE,,FALSE,FALSE,FALSE,,FLAG_FOR_REMOVAL,"Crawled 1 pages - no ABA, autism, or pediatric therapy found"
AmeraCell Clinics,(407) 801-2269,Daytona Beach,FL,https://ameracell.com/,TRUE,1,FALSE,,FALSE,,FALSE,FALSE,FALSE,,FLAG_FOR_REMOVAL,"Crawled 1 pages - no ABA, autism, or pediatric therapy found"
employU,(407) 598-0202,Tallahassee,FL,http://www.employu.org/,TRUE,3,FALSE,,FALSE,,FALSE,FALSE,FALSE,,FLAG_FOR_REMOVAL,"Crawled 3 pages - no ABA, autism, or pediatric therapy found"
Thriveworks Counseling & Psychiatry Jacksonville,(904) 567-0813,Jacksonville,FL,https://thriveworks.com/jacksonville-therapy/?utm_source=GMBlisting&utm_medium=organic&field:8499441=GMB,TRUE,2,FALSE,,FALSE,,FALSE,FALSE,FALSE,,FLAG_FOR_REMOVAL,"Crawled 2 pages - no ABA, autism, or pediatric therapy found"
Child Therapy and Parenting Center,(954) 593-0510,Hollywood,FL,http://www.childtherapypc.com/,TRUE,2,FALSE,,FALSE,,FALSE,FALSE,FALSE,,FLAG_FOR_REMOVAL,"Crawled 2 pages - no ABA, autism, or pediatric therapy found"
All Support Servicing,(800) 610-7042,Tampa,FL,https://allsupportservicing.com/,TRUE,2,FALSE,,FALSE,,FALSE,FALSE,FALSE,,FLAG_FOR_REMOVAL,"Crawled 2 pages - no ABA, autism, or pediatric therapy found"
"Anne O. Tierney, LCSW",(850) 656-1822,Tallahassee,FL,http://annetierneylcsw.com,TRUE,3,FALSE,,FALSE,,FALSE,FALSE,FALSE,,FLAG_FOR_REMOVAL,"Crawled 3 pages - no ABA, autism, or pediatric therapy found"
Joshua's Path Disability Services of Goodman JFS,(954) 909-0829,Davie,FL,https://www.jfsbroward.org/services/joshuas-path-boost-disability-services/,TRUE,3,FALSE,,FALSE,,FALSE,FALSE,FALSE,,FLAG_FOR_REMOVAL,"Crawled 3 pages - no ABA, autism, or pediatric therapy found"
"Mobile Therapy Group, LLC",(561) 461-5343,West Palm Beach,FL,https://mobiletherapygroup.com/,TRUE,2,FALSE,,FALSE,,FALSE,FALSE,FALSE,,FLAG_FOR_REMOVAL,"Crawled 2 pages - no ABA, autism, or pediatric therapy found"
"Lifescape Integrative Therapy, LLC",(239) 478-6817,Fort Myers,FL,http://lifescapecounselingservices.com/,TRUE,1,FALSE,,FALSE,,FALSE,FALSE,FALSE,,FLAG_FOR_REMOVAL,"Crawled 1 pages - no ABA, autism, or pediatric therapy found"
Halifax Health - Child & Adolescent Behavioral Services,(386) 425-3900,Daytona Beach,FL,https://halifaxhealth.org/services/child-adolescent-behavioral-services,TRUE,3,FALSE,,FALSE,,FALSE,FALSE,FALSE,,FLAG_FOR_REMOVAL,"Crawled 3 pages - no ABA, autism, or pediatric therapy found"
"Purple Moon Service Center, LLC",(904) 233-1019,Jacksonville,FL,http://purplemoonmentalhealth.com/,TRUE,2,FALSE,,FALSE,,FALSE,FALSE,FALSE,,FLAG_FOR_REMOVAL,"Crawled 2 pages - no ABA, autism, or pediatric therapy found"
Connecting Hearts in Florida ADT,(954) 999-5989,Davie,FL,https://www.connectingheartsfl.com/,TRUE,4,FALSE,,FALSE,,FALSE,FALSE,FALSE,,FLAG_FOR_REMOVAL,"Crawled 4 pages - no ABA, autism, or pediatric therapy found"
"Inspire Wellness Counseling, LLC - Linda Spenceley, LMHC",(352) 584-6846,Spring Hill,FL,https://lindalmhc.com/,TRUE,1,FALSE,,FALSE,,FALSE,FALSE,FALSE,,FLAG_FOR_REMOVAL,"Crawled 1 pages - no ABA, autism, or pediatric therapy found"
"Starting Pointe Counseling Services, LLC",(772) 224-3235,Port St. Lucie,FL,http://www.startingpointecounseling.com/,TRUE,3,FALSE,,FALSE,,FALSE,FALSE,FALSE,,FLAG_FOR_REMOVAL,"Crawled 3 pages - no ABA, autism, or pediatric therapy found"
Better Living Solutions Recovery Center,(850) 765-6769,Tallahassee,FL,https://blscounseling.net/services/eating-disorder-treatment/,TRUE,2,FALSE,,FALSE,,FALSE,FALSE,FALSE,,FLAG_FOR_REMOVAL,"Crawled 2 pages - no ABA, autism, or pediatric therapy found"
"United Community Options of South Florida, Formerly United Cerebral Palsy",(305) 325-1080,Hialeah,FL,http://www.unitedcommunityoptionssfl.org/,TRUE,2,FALSE,,FALSE,,FALSE,FALSE,FALSE,,FLAG_FOR_REMOVAL,"Crawled 2 pages - no ABA, autism, or pediatric therapy found"
"New Hope Intervention, LLC",(850) 270-9686,Tallahassee,FL,http://www.newhopeintervention.com/,TRUE,3,FALSE,,FALSE,,FALSE,FALSE,FALSE,,FLAG_FOR_REMOVAL,"Crawled 3 pages - no ABA, autism, or pediatric therapy found"
Wildflower Speech Therapy,(352) 283-0595,Gainesville,FL,http://www.gainesvilleslp.com/,TRUE,2,FALSE,,FALSE,,FALSE,FALSE,FALSE,,FLAG_FOR_REMOVAL,"Crawled 2 pages - no ABA, autism, or pediatric therapy found"
Cape Coral Therapists,(239) 565-6921,Cape Coral,FL,http://www.capecoraltherapists.com/,TRUE,1,FALSE,,FALSE,,FALSE,FALSE,FALSE,,FLAG_FOR_REMOVAL,"Crawled 1 pages - no ABA, autism, or pediatric therapy found"
Celandine Life-Preparatory Academy,(407) 790-4903,Maitland,FL,http://www.celandinelifeprep.net/,TRUE,2,FALSE,,FALSE,,FALSE,FALSE,FALSE,,FLAG_FOR_REMOVAL,"Crawled 2 pages - no ABA, autism, or pediatric therapy found"
Springbrook Hospital,(352) 290-5735,Brooksville,FL,https://www.springbrookhospital.org/?utm_campaign=gmb,TRUE,10,FALSE,,FALSE,,FALSE,FALSE,FALSE,,FLAG_FOR_REMOVAL,"Crawled 10 pages - no ABA, autism, or pediatric therapy found"
Mailman Center for Child Development,(305) 243-6631,Miami,FL,https://umiamihealth.org/en/locations/mailman-center-for-child-development,TRUE,2,FALSE,,FALSE,,FALSE,FALSE,FALSE,,FLAG_FOR_REMOVAL,"Crawled 2 pages - no ABA, autism, or pediatric therapy found"
Guardian Haven Academy,(813) 400-2117,Tampa,FL,http://www.guardianhaven.com/,TRUE,1,FALSE,,FALSE,,FALSE,FALSE,FALSE,,FLAG_FOR_REMOVAL,"Crawled 1 pages - no ABA, autism, or pediatric therapy found"
UF Health Center for Autism and Related Disabilities - Dupont Station,(904) 633-0760,Jacksonville,FL,https://ufhealthjax.org/locations/uf-health-center-for-autism-and-related-disabilities-dupont-station,TRUE,2,FALSE,,FALSE,,FALSE,FALSE,FALSE,,FLAG_FOR_REMOVAL,"Crawled 2 pages - no ABA, autism, or pediatric therapy found"
Space Coast Mobility,(321) 372-1355,Palm Bay,FL,https://spacecoastmobility.com/,TRUE,3,FALSE,,FALSE,,FALSE,FALSE,FALSE,,FLAG_FOR_REMOVAL,"Crawled 3 pages - no ABA, autism, or pediatric therapy found"
"Behavioral Health Associates of Broward, Counseling Centers of Goodman JFS",(954) 909-0888,Davie,FL,https://www.bhabroward.org/,TRUE,10,FALSE,,FALSE,,FALSE,FALSE,FALSE,,FLAG_FOR_REMOVAL,"Crawled 10 pages - no ABA, autism, or pediatric therapy found"
ACTS Therapeutic Group Home,(813) 515-4150,Tampa,FL,https://www.actsfl.org/,TRUE,4,FALSE,,FALSE,,FALSE,FALSE,FALSE,,FLAG_FOR_REMOVAL,"Crawled 4 pages - no ABA, autism, or pediatric therapy found"
Center For Independent Living,(407) 623-1070,Winter Park,FL,https://www.cilorlando.org/,TRUE,4,FALSE,,FALSE,,FALSE,FALSE,FALSE,,FLAG_FOR_REMOVAL,"Crawled 4 pages - no ABA, autism, or pediatric therapy found"
Diamond Behavioral Health - Tallahassee,(850) 761-0224,Tallahassee,FL,https://diamondbehavioralhealth.com/locations/tallahassee/?utm_source=GMBlisting&utm_medium=organic,TRUE,4,FALSE,,FALSE,,FALSE,FALSE,FALSE,,FLAG_FOR_REMOVAL,"Crawled 4 pages - no ABA, autism, or pediatric therapy found"
Sofive Soccer Centers Winter Park (XL Soccer World),(407) 641-4791,Orlando,FL,https://www.sofive.com/locations/winter-park,TRUE,4,FALSE,,FALSE,,FALSE,FALSE,FALSE,,FLAG_FOR_REMOVAL,"Crawled 4 pages - no ABA, autism, or pediatric therapy found"
Serenity Space Therapy,(954) 904-0100,Fort Lauderdale,FL,https://www.serenityspacetherapy.net/,TRUE,2,FALSE,,FALSE,,FALSE,FALSE,FALSE,,FLAG_FOR_REMOVAL,"Crawled 2 pages - no ABA, autism, or pediatric therapy found"
Arise Wellness GNV,(352) 513-8551,Gainesville,FL,http://arisegnv.com/,TRUE,2,FALSE,,FALSE,,FALSE,FALSE,FALSE,,FLAG_FOR_REMOVAL,"Crawled 2 pages - no ABA, autism, or pediatric therapy found"
Time For Change Counseling,(352) 371-1979,Gainesville,FL,http://www.atimeforchange.org/,TRUE,1,FALSE,,FALSE,,FALSE,FALSE,FALSE,,FLAG_FOR_REMOVAL,"Crawled 1 pages - no ABA, autism, or pediatric therapy found"
UF Health Rehab Center for Kids - Magnolia Parke,(352) 265-5204,Gainesville,FL,https://ufhealth.org/locations/uf-health-rehab-center-for-kids-magnolia-parke?utm_source=pg-google&utm_medium=organic&utm_campaign=pg-listings,TRUE,2,FALSE,,FALSE,,FALSE,FALSE,FALSE,,FLAG_FOR_REMOVAL,"Crawled 2 pages - no ABA, autism, or pediatric therapy found"
Accelerated Resolution Therapy,(407) 298-6786,Orlando,FL,https://acceleratedresolutiontherapy.com/,TRUE,2,FALSE,,FALSE,,FALSE,FALSE,FALSE,,FLAG_FOR_REMOVAL,"Crawled 2 pages - no ABA, autism, or pediatric therapy found"
"Re-Written Counseling Services, LLC",(772) 812-3460,Port St. Lucie,FL,http://www.re-writtencounseling.com/,TRUE,4,FALSE,,FALSE,,FALSE,FALSE,FALSE,,FLAG_FOR_REMOVAL,"Crawled 4 pages - no ABA, autism, or pediatric therapy found"
Alliance For Independence,(863) 665-3846,Lakeland,FL,http://afi-fl.org/,TRUE,1,FALSE,,FALSE,,FALSE,FALSE,FALSE,,FLAG_FOR_REMOVAL,"Crawled 1 pages - no ABA, autism, or pediatric therapy found"
Sage Wellness - 8th Ave,(352) 474-8882,Gainesville,FL,http://gainesvillesage.com/,TRUE,3,FALSE,,FALSE,,FALSE,FALSE,FALSE,,FLAG_FOR_REMOVAL,"Crawled 3 pages - no ABA, autism, or pediatric therapy found"
D&D ABA Therapy Port St Lucie,(772) 489-1316,Port St. Lucie,FL,https://linktr.ee/ddbehaviorpsl?utm_source=linktree_profile_share&ltsid=5aeb0d64-2ed1-4ebc-b4f7-1f52ae709e33,TRUE,6,FALSE,,FALSE,,FALSE,FALSE,FALSE,,FLAG_FOR_REMOVAL,"Crawled 6 pages - no ABA, autism, or pediatric therapy found"
"A Helping Hand, Inc",(386) 868-1992,Daytona Beach,FL,https://www.helpinghandinc.org/,TRUE,3,FALSE,,FALSE,,FALSE,FALSE,FALSE,,FLAG_FOR_REMOVAL,"Crawled 3 pages - no ABA, autism, or pediatric therapy found"
Resilience Behavioral Health LLC,(407) 459-0474,Winter Park,FL,https://www.resiliencebh.com/,TRUE,1,FALSE,,FALSE,,FALSE,FALSE,FALSE,,FLAG_FOR_REMOVAL,"Crawled 1 pages - no ABA, autism, or pediatric therapy found"
Vibewell Therapy â€“ EMDR for Trauma & Gottman Couples Therapist,(786) 361-8227,North Miami Beach,FL,https://www.vibewelltherapy.com/,TRUE,1,FALSE,,FALSE,,FALSE,FALSE,FALSE,,FLAG_FOR_REMOVAL,"Crawled 1 pages - no ABA, autism, or pediatric therapy found"
PediPec PPEC,(954) 587-1210,Lauderhill,FL,https://www.pedistat.com/pedipec,TRUE,4,FALSE,,FALSE,,FALSE,FALSE,FALSE,,FLAG_FOR_REMOVAL,"Crawled 4 pages - no ABA, autism, or pediatric therapy found"
Disability Rights Florida,(800) 342-0823,Tallahassee,FL,http://www.disabilityrightsflorida.org/,TRUE,1,FALSE,,FALSE,,FALSE,FALSE,FALSE,,FLAG_FOR_REMOVAL,"Crawled 1 pages - no ABA, autism, or pediatric therapy found"
Employee & Family Assistance Consultants,(321) 723-8823,Palm Bay,FL,http://www.employeeandfamilyassistance.com/,TRUE,1,FALSE,,FALSE,,FALSE,FALSE,FALSE,,FLAG_FOR_REMOVAL,"Crawled 1 pages - no ABA, autism, or pediatric therapy found"
The Arc of Florida,(850) 921-0460,Tallahassee,FL,http://arcflorida.org/,TRUE,2,FALSE,,FALSE,,FALSE,FALSE,FALSE,,FLAG_FOR_REMOVAL,"Crawled 2 pages - no ABA, autism, or pediatric therapy found"
Self Love Harbor,(786) 475-1119,North Miami Beach,FL,https://selfloveharbor.com/,TRUE,3,FALSE,,FALSE,,FALSE,FALSE,FALSE,,FLAG_FOR_REMOVAL,"Crawled 3 pages - no ABA, autism, or pediatric therapy found"
Victory Living Programs,(954) 616-1074,Fort Lauderdale,FL,http://www.victoryliving.org/,TRUE,1,FALSE,,FALSE,,FALSE,FALSE,FALSE,,FLAG_FOR_REMOVAL,"Crawled 1 pages - no ABA, autism, or pediatric therapy found"
Anew Life Counseling and Consulting Group,(850) 508-4624,Tallahassee,FL,http://anewlifeccgroup.com/,TRUE,3,FALSE,,FALSE,,FALSE,FALSE,FALSE,,FLAG_FOR_REMOVAL,"Crawled 3 pages - no ABA, autism, or pediatric therapy found"
Grow Together Family Therapy,(813) 433-0891,Tampa,FL,https://growtogetherfamilytherapy.com/,TRUE,3,FALSE,,FALSE,,FALSE,FALSE,FALSE,,FLAG_FOR_REMOVAL,"Crawled 3 pages - no ABA, autism, or pediatric therapy found"
CECO,(407) 671-4687,Winter Park,FL,http://www.ceco.org/,TRUE,1,FALSE,,FALSE,,FALSE,FALSE,FALSE,,FLAG_FOR_REMOVAL,"Crawled 1 pages - no ABA, autism, or pediatric therapy found"
Renaissance Somatic Counseling,(850) 270-3370,Tallahassee,FL,http://www.rensocounseling.com/,TRUE,3,FALSE,,FALSE,,FALSE,FALSE,FALSE,,FLAG_FOR_REMOVAL,"Crawled 3 pages - no ABA, autism, or pediatric therapy found"
A Beautiful Mind Counseling and Consulting,(772) 722-1513,Port St. Lucie,FL,http://www.abeautifulmindcounseling.com/,TRUE,1,FALSE,,FALSE,,FALSE,FALSE,FALSE,,FLAG_FOR_REMOVAL,"Crawled 1 pages - no ABA, autism, or pediatric therapy found"
"All in Mental Health, LLC",(321) 914-0113,Palm Bay,FL,http://allinmentalhealth.com/,TRUE,4,FALSE,,FALSE,,FALSE,FALSE,FALSE,,FLAG_FOR_REMOVAL,"Crawled 4 pages - no ABA, autism, or pediatric therapy found"
New Directions Counseling Center LLC,(863) 606-5922,Lakeland,FL,http://www.ndcclakeland.com/,TRUE,3,FALSE,,FALSE,,FALSE,FALSE,FALSE,,FLAG_FOR_REMOVAL,"Crawled 3 pages - no ABA, autism, or pediatric therapy found"
The LaPorta Center,(727) 836-0943,Spring Hill,FL,http://thelaportacenter.net/,TRUE,1,FALSE,,FALSE,,FALSE,FALSE,FALSE,,FLAG_FOR_REMOVAL,"Crawled 1 pages - no ABA, autism, or pediatric therapy found"
Growing Smiles ABA Services Inc,(954) 374-9572,Hollywood,FL,https://sites.google.com/growingsmilesaba.com/growingsmilesaba,TRUE,1,FALSE,,FALSE,,FALSE,FALSE,FALSE,,FLAG_FOR_REMOVAL,"Crawled 1 pages - no ABA, autism, or pediatric therapy found"
McGuire Counseling and Psychotherapy,(904) 575-7209,Jacksonville,FL,http://www.mcguirerecovery.com/,TRUE,3,FALSE,,FALSE,,FALSE,FALSE,FALSE,,FLAG_FOR_REMOVAL,"Crawled 3 pages - no ABA, autism, or pediatric therapy found"
"Creative Occupational Therapy Services, LLC",(305) 776-6577,Boca Raton,FL,http://www.creativeotservices.com/,TRUE,10,FALSE,,FALSE,,FALSE,FALSE,FALSE,,FLAG_FOR_REMOVAL,"Crawled 10 pages - no ABA, autism, or pediatric therapy found"
Developmental Center for Infants & Children / Early Steps,(407) 317-7430,Orlando,FL,http://www.orlandohealth.com/arnoldpalmerhospital/HowardPhillipsCenter/DevelopmentalInformation.aspx?pid=2659,TRUE,2,FALSE,,FALSE,,FALSE,FALSE,FALSE,,FLAG_FOR_REMOVAL,"Crawled 2 pages - no ABA, autism, or pediatric therapy found"
"The Therapy Labs by Rosa Barroso, LMHC",(305) 530-8119,Miami Lakes,FL,https://thetherapylabs.com/,TRUE,1,FALSE,,FALSE,,FALSE,FALSE,FALSE,,FLAG_FOR_REMOVAL,"Crawled 1 pages - no ABA, autism, or pediatric therapy found"
Trauma and Counseling Solutions,(813) 328-6034,Spring Hill,FL,http://www.traumaandcounselingsolutions.com/,TRUE,2,FALSE,,FALSE,,FALSE,FALSE,FALSE,,FLAG_FOR_REMOVAL,"Crawled 2 pages - no ABA, autism, or pediatric therapy found"
"The Nook Inclusive Therapeutic Center, LLC",(352) 235-9006,Gainesville,FL,https://thenookcenter.com/,TRUE,2,FALSE,,FALSE,,FALSE,FALSE,FALSE,,FLAG_FOR_REMOVAL,"Crawled 2 pages - no ABA, autism, or pediatric therapy found"
The Garden Counseling,(863) 606-8668,Lakeland,FL,https://thegardencounseling.info/,TRUE,1,FALSE,,FALSE,,FALSE,FALSE,FALSE,,FLAG_FOR_REMOVAL,"Crawled 1 pages - no ABA, autism, or pediatric therapy found"
Apalachee Center,(850) 523-3333,Tallahassee,FL,https://apalacheecenter.org/,TRUE,5,FALSE,,FALSE,,FALSE,FALSE,FALSE,,FLAG_FOR_REMOVAL,"Crawled 5 pages - no ABA, autism, or pediatric therapy found"
Life Skills Development LLC,(561) 247-0719,West Palm Beach,FL,http://www.lifeskillsdevelopmentsuccess.com/,TRUE,4,FALSE,,FALSE,,FALSE,FALSE,FALSE,,FLAG_FOR_REMOVAL,"Crawled 4 pages - no ABA, autism, or pediatric therapy found"
