# ABA INDIVIDUAL REVIEW - records whose domain appears exactly once in the shortlist,
# plus 2 records that have no domain at all (ids 6326, 6338 - matched by phone only).
# Source: curation/aba_shortlist_2026-08-18.csv (424 rows). Generated 2026-08-18.
#
# One row = one organization. The excerpt is that organization's own website text, so it is
# adjudicable as-is in most cases. Fill keith_verdict with Y or N.
#
# needs_website - open the site regardless of what the excerpt says:
#   EMPTY-EXCERPT  flag is true but no evidence text was stored
#   NAME-ARTIFACT  excerpt is the literal string #NAME? (spreadsheet corruption)
"id","name","canonical_city","services","aba_flag","aba_excerpt","domain","join_method","needs_website","keith_verdict","keith_note"
"7343","Puzzle Therapy Services","CAPE CORAL","aba","TRUE"," My Account Professional Services - Proven Solutions Applied behavior analysis (ABA) is best known for its success in treating individuals with autism spectrum dis","puzzletherapyservices.com","both","","",""
"6906","Behavior Analysis Solutions LLC","CLEARWATER","aba","TRUE","Behavior Analysis Solutions | ABA Services in Pinellas County top of page ABA SERVICES? RBT - APPLY NOW Microscho","behavioranalysissolutions.com","both","","",""
"6932","Richard B. Funk Center for Great Expectations","CLEARWATER","aba","TRUE","ren diagnosed with Autism Spectrum Disorder. What is Applied Behavior Analysis (ABA)? ﻿ Applied Behavior Analysis is: A scientifically proven method used to produc","thearctb.org","both","","",""
"7229","Step Beyond Development","CLEARWATER","physical-therapy|life-skills|feeding-therapy|group-therapy|parent-coaching|executive-function-coaching|aba","TRUE","Step Beyond Development – ABA Therapy in Clearwater, Florida- Step Beyond Development Skip to content ABA The","stepbeyonddevelopment.com","both","","",""
"6338","THE ARC TAMPA BAY, INC.","CLEARWATER","aba|life-skills","TRUE","ren diagnosed with Autism Spectrum Disorder. What is Applied Behavior Analysis (ABA)? ﻿ Applied Behavior Analysis is: A scientifically proven method used to produc","","phone","","",""
"6326","AUTISM AWARENESS SHOP","TAMPA","aba|life-skills","TRUE","ages with autism. We provide Occupational Therapy, Speech/Language Therapy, and ABA within our clinic for individuals 14 and older, as well as home-based therapies","","phone","","",""
"7028","Creative Minds ABA Services Inc.","COCONUT CREEK","life-skills|respite-care|aba|occupational-therapy|parent-coaching","TRUE","","creativemindsfla.com","both","EMPTY-EXCERPT","",""
"6633","Find Peace by Piece","COCONUT CREEK","aba","TRUE","Palm Beach County ABA Therapy Provider | Find Peace by Piece (561) 418-0208 request@findpeacebypiece.","findpeacebypiece.com","both","","",""
"7501","Florida Family Support, LLC","COCONUT CREEK","respite-care","TRUE","Florida Family Support – ABA Therapy Services Skip to the content Maximizing your Child’s Success, One Step ","flfamilysupport.com","both","","",""
"7306","Beans Behavior Analysis Services","CORAL GABLES","aba|support-groups|parent-coaching|virtual-therapy","TRUE","ABA Therapy | Beans Behavior Analysis Services top of page BEANS Be havior An alysi","beansbehavior.com","both","","",""
"6888","Blossom Behavior Therapy","CORAL GABLES","aba","TRUE","ide a rigorous program with high standards because we believe in the science of ABA. Founded by passion for our field, Blossom was created to elevate the standard ","blossombehaviortherapy.com","both","","",""
"6837","Crystal Academy - 107 Antilla Ave","CORAL GABLES","","TRUE","mi Childrens Magazine --> Center Based Therapies Evidenced Based Interventions- ABA, Speech and Language, Occupational Therapy, Music and Art as Therapy. Primary &","crystalacademy.org","both","","",""
"5838","Developmental Applied Behavior Solutions","CORAL GABLES","aba","TRUE","Clinically Guided ABA Therapy in Miami | DABS 0 Unlock Your Child’s Inner Potential With Clinically G","appliedbhs.com","both","","",""
"7220","Little Giants Kid's Services- PPEC (Medical Daycare)","CORAL GABLES","aba","TRUE",". They also help with feeding and swallowing issues. Applied Behavior Analysis (ABA) overall goal is to figure out why a child behaves the way they do and then foc","littlegiantsppec.com","both","","",""
"9028","Prism Early Advancement Center","CORAL GABLES","aba","TRUE","Prism Early Advancement Center | Autism & ABA Therapy, Miami, FL A Spectrum of Possibilities Apply Now What We Do Prism Early","prismeac.com","both","","",""
"7487","Steps Therapy Center, Corp","CORAL GABLES","life-skills|aba|speech-therapy|physical-therapy|occupational-therapy","TRUE","Medical - Wellness & Chiropractic Care in Pembroke Pines Home About Us Services ABA Therapy Immigration Medical Exam Physical Therapy Occupational Therapy Internal","stepstherapycenter.com","both","","",""
"7267","Foundations Therapy - Coral Springs","CORAL SPRINGS","physical-therapy|life-skills|occupational-therapy|parent-coaching|aba","TRUE","Foundations Therapy | Quality ABA Services in South Florida Providing Quality ABA Services for Children and Famil","foundationstherapy.com","both","","",""
"6732","Pivotal Achievements- ABA Therapy","CORAL SPRINGS","aba","TRUE","ABA Therapy for Autism in Coral Springs | Pivotal Achievements top of page ABA Ther","pivotal-achievements.com","both","","",""
"6895","Shiloh ABA Inc.","CORAL SPRINGS","aba","TRUE","","shilohaba.com","both","EMPTY-EXCERPT","",""
"6583","Child Advancement Center, Inc.","DANIA BEACH","aba","TRUE","s Behavior analysis Read More 1 to 1 THERAPY Read More FAMILY SUPPORT Read More RBT certification We offer 40hr of online and in-person trainings for RBT certifica","4childadvancement.com","both","","",""
"7313","Dan Marino Foundation","DANIA BEACH","life-skills","TRUE","ude: Speech and language therapy Educational programming Social skills training Behavior therapy Family interventions: education and parent training Individual psychotherapy P","danmarinofoundation.org","both","","",""
"9119","Avant Garde Behavioral Therapy","DAVIE","life-skills|group-therapy|speech-therapy|aba|ados-testing|physical-therapy|occupational-therapy|support-groups|parent-coaching|virtual-therapy","TRUE","de Behavioral Therapy for Kids | Avant Garde Kids Avant-Garde Behavioral Health ABA Therapy in Davie, FL About Us Discover our commitment to nurturing children’s m","avantgardekids.com","both","","",""
"6701","Developmental Therapies And Beyond | ABA Therapy | Speech and language therapy | Occupational therapy","DAVIE","aba","TRUE","lopmental Therapies Español Developmental ​Therapies a​nd Beyo​nd Comprehensive ABA, Speech, PT and Occupational Therapy for Autism Support contact us today ABA In","developmentaltherapies.com","both","","",""
"6584","Happy Play Therapy","DAVIE","aba","TRUE","ational Therapy in Davie | Happy Play Therapy Speech, Occupational, Physical, & ABA Therapies Speech, Occupational, Physical, & ABA Therapies Speech, Occupational,","happyplaytherapy.com","both","","",""
"6912","TMZ BEHAVIORAL CARE: Dr. Charline Boufin","DAVIE","aba","TRUE","den challenges and guiding your child toward a brighter, more energetic future. ABA Therapy For children on the autism spectrum, we offer Applied Behavior Analysis","tmzbehavioralcare.com","both","","",""
"6698","Sabal Palm Psychological Services","FORT LAUDERDALE","aba","TRUE","","sabalpalmpsychology.com","both","EMPTY-EXCERPT","",""
"7253","You & Us aba service","FORT LAUDERDALE","aba|parent-coaching","TRUE","You & Us ABA | Compassionate ABA Therapy Across Florida You and Us ABA Services Transform Da","abaunus.com","both","","",""
"5834","Autism Services of Florida, LLC","FORT MYERS","aba","TRUE","with disabilities. The goal of Autism Services of FL is to provide personalized applied behavior analysis services using scientific based practices that are within the scope of","autismserviceoffl.com","both","","",""
"5818","AutismABATherapy - 12651 Mcgregor Blvd","FORT MYERS","","TRUE","Skip to content Happy New Year from Autism ABA Therapy! As we step into 2025, we renew our commitment to providing the best, c","autismabatherapy.com","both","","",""
"6860","Blooming Behavior Therapy","FORT MYERS","aba|speech-therapy|occupational-therapy|physical-therapy|feeding-therapy|music-therapy|ados-testing","TRUE","HOURS Here When You Need Us Monday - Friday 8:00am - 5:00pm Welcome to Blooming ABA Therapy Services in the Southwest, Florida area ABA Therapy Based on Science an","bloomingbehaviortherapy.com","both","","",""
"8807","Blue Horizon Professional Group, Inc","FORT MYERS","life-skills|aba","TRUE","yboard_arrow_left Previous keyboard_arrow_right Next Applied Behavior Analysis (ABA) Services Training Services WHO WE ARE BLUE HORIZON PROFESSIONAL GROUP, Inc. is","bluehorizoncare.net","both","","",""
"7426","Bright Future with ABA","FORT MYERS","aba","TRUE","ldren with Autism to reach their potential. Learn More About Bright Future with ABA Our Mission At Bright Future with ABA LLC, our mission is to empower children w","brightfaba.com","both","","",""
"6587","NeuroRise Behavioral Center, LLC | ABA therapy","FORT MYERS","aba","TRUE","NeuroRise Behavioral Therapy LLC | ABA therapy 0 Welcome to NeuroRise Behavioral Center NeuroRise Behavioral Center is","neurorisebehavioral.com","both","","",""
"6841","Principles of Learning INC","FORT MYERS","aba","TRUE","Principles of Learning INC. – In Home ABA Services Skip to content Menu Contact Us WELCOME PRINCIPLES OF LEARNING In home","principlesoflearninginc.com","both","","",""
"9213","Sandpiper Speech & Language Therapy, LLC","FORT MYERS","speech-therapy|parent-coaching","TRUE","er current role, she worked in a clinic that offered applied behavior analysis (ABA) therapy and occupational therapy, which gave her a great foundation in working","sandpiperslp.com","both","","",""
"7130","Smart Endeavors ABA - 12493 Brantley Commons Ct","FORT MYERS","parent-coaching|aba|ados-testing","TRUE","Smart Endeavors ABA | Autism Behavior Clinic | Fort Myers Parent Portal Black silhouette of a perso","smartendeavorsaba.com","both","","",""
"10390","SPOT Therapy Associates","FORT MYERS","aba","TRUE","re Program and Oral Technique, Greenspan Floor Time, Brain Gym, Verbal Behavior ABA, Building Blocks to Sensory Integration, The SOS Approach to Feeding, Astronaut","spottherapyassociates.com","both","","",""
"6833","ACG Therapy and Autism Center","GAINESVILLE","aba","TRUE"," to content Our mission is unleashing potential! Full integrated autism program ABA with speech and occupational therapy Home jecb 2024-11-21T15:19:38+00:00 Welcom","acgtherapycenter.com","both","","",""
"6722","All Kids Therapy Center","GAINESVILLE","aba","TRUE","s in these areas. Parent Training Parent training is an essential part of every ABA therapy program. Research demonstrates that parent training and involvement can","allkidstherapycenter.com","both","","",""
"7007","Behavioral Learning Systems, Inc","GAINESVILLE","aba","TRUE","kip to main content Skip to navigation Effective Behavioral Help for Your Child ABA Therapy - Early Intervention - Social Skills Training (352) 373-4411 Problem Be","behaviorlearn.com","both","","",""
"6996","Fundamental Therapy Solutions","GAINESVILLE","aba|speech-therapy|physical-therapy|occupational-therapy","TRUE"," with expert-led reading support . The main focus of Applied behavior analysis (ABA therapy), is to teach and make it possible for kids to learn naturally. service","funtherapysolutions.com","both","","",""
"7302","Rising Calm Center","GAINESVILLE","aba","TRUE","the University of Florida, an M.Ed. in Education, and then a master's degree in Applied Behavior Analysis. I also hold certificates in Behavior Therapy, Motivational Interviewi","risingcalm.com","both","","",""
"7500","Kiwi Behavioral Therapy - ABA","HALLANDALE BEACH","respite-care","TRUE","of Challenging Behavior Respite Care Signs of Autism Parental Stress Scale CARD ABA 101 Treatment Gains Donate & Walk Learn More About Scholarships! Google Sites R","kiwibxtherapy.com","both","","",""
"6693","ABA Therapy Evolution","HIALEAH","aba","TRUE","","abatherapy-evolution.com","both","EMPTY-EXCERPT","",""
"6968","Best Behavioral Solutions","HIALEAH","life-skills|group-therapy|speech-therapy|aba|physical-therapy|occupational-therapy|parent-coaching|virtual-therapy","TRUE","st/aide who is sent to be the shadow must be trained in the basic principles of Applied Behavior Analysis, and may assist in redirecting the child back on task, and help curb c","bestbehavioralsolutions.com","both","","",""
"6669","Kidscare Therapy Center, Inc.","HIALEAH","aba","TRUE","ida Toggle navigation Home About Us Therapy Services Applied Behavior Analysis (ABA) Therapy Pediatric Speech-Language Therapy Pediatric Occupational Therapy Pedia","kidscaretherapycenterinc.net","both","","",""
"7504","Little Heroes Therapy Services, Inc.","HIALEAH","speech-therapy|occupational-therapy|physical-therapy|respite-care","TRUE","Introducing Little Heroes Therapy Services ""We offer Applied Behavior Analysis (ABA) therapy tailored to your individual needs to support growth and improvement in","littleheroestherapyservice.com","both","","",""
"9124","Reflection Health Group Inc","HIALEAH","life-skills|aba|parent-coaching","TRUE","lth Group Reflection Health Group Reflection Health Group Providing exceptional ABA Therapy in Miami-Dade and Broward County . Contact Us We Offer Home-Based & Sch","reflection-healthgroup.com","both","","",""
"7323","Spring Health","HIALEAH","aba","TRUE","Spring Health Center of ABA therapy – Spring Health Center of ABA therapy ABA Therapy We prioritize creatin","abaspringhealth.com","both","","",""
"7061","The Therapy Tree Miami","HIALEAH","life-skills|aba|ados-testing|parent-coaching|virtual-therapy","TRUE"," board-certified behavior analysts and technicians who specialize in delivering ABA therapy, the leading evidence-based treatment for children with autism. We offe","thetherapytreemiami.com","both","","",""
"7002","Victory Brt","HIALEAH","aba","TRUE"," Therapy Service Agency in South Florida We provide a variety of services. From ABA, to Occupational, Speech and Physical therapy, there is a place in the Victory ","victorybrt.com","both","","",""
"9106","World Children's Therapy Center","HIALEAH","life-skills|aba|ados-testing|parent-coaching","TRUE","Center Get Consultation welcome to World Children's Therapy Center Personalized ABA Therapy Solutions in Hialeah and Miami-Dade County, One Child at a Time Buy Tic","worldchildrenstherapycenters.com","both","","",""
"6889","Angelic Steps Therapy","HOLLYWOOD","aba","TRUE","ve Davie, FL 33024 Info@AngelicSteps.com 954-368-2849 Contact Us bottom of page ABA Service | Angelic Steps top of page Who are we? Angelic Steps Therapy is a qual","angelicsteps.com","both","","",""
"7155","Behavioral Corporation","HOLLYWOOD","parent-coaching|aba","TRUE","rses Shop Account Blog Home About Us Services Courses Shop Account Blog Request ABA Therapy Home About Us Services Courses Shop Account Blog Request ABA Therapy AB","bhavioralcorporation.com","both","","",""
"9137","Behavioral Services Associates","HOLLYWOOD","life-skills|aba|virtual-therapy","TRUE","Behavioral Services Associates | Support for Children Providing exceptional ABA Therapy Achieving every child’s potential Autism, ADHD, and other behavior diso","behavioralaba.com","both","","",""
"9099","Family Enrichment Behavioral Health Services","HOLLYWOOD","aba","TRUE","top of page ​ WELCOME TO FEBHS Behavioral Therapy that meets your needs What is ABA? Applied Behavior Analysis (ABA) is a therapy based on the science of learning ","febhs.org","both","","",""
"8872","Growing Smiles ABA Services Inc","HOLLYWOOD","aba|parent-coaching","TRUE","","sites.google.com","phone","EMPTY-EXCERPT","",""
"6757","Inclusive Behavioral Solutions LLC","HOLLYWOOD","aba","TRUE","Inclusive Behavioral Solutions Inclusive Behavioral Solutions We specialize in ABA therapy, offering expert services, qualified therapists, and valuable resources","inclusivebehavioralsolutions.com","both","","",""
"7202","Little Dreamers PPEC","HOLLYWOOD","feeding-therapy|speech-therapy|aba|physical-therapy|occupational-therapy","TRUE"," NURSING SPEECH THERAPY PHYSICAL THERAPY OCCUPATIONAL THERAPY BEHAVIOR THERAPY (ABA) FEEDING THERAPY RESPIRATORY CARE EDUCATIONAL PROGRAMS Our Mission Our mission ","littledreamersppec.com","both","","",""
"8994","Nexo ABA Therapy","HOLLYWOOD","aba|support-groups","TRUE","ABA Providers | Serving Miami & Broward | Nexo ABA Therapy Skip to main content Ski","nexoaba.com","both","","",""
"10325","Beacon Pediatric Behavioral Health","JACKSONVILLE","speech-therapy|occupational-therapy|physical-therapy|life-skills|parent-coaching","TRUE","quiry Form to find out more about current openings! Start your journey… Therapy ABA TESTING Speech, ot, & pt BEACON COMPREHENSIVE AUTISM CENTER LEARN MORE Speech, ","beaconpediatric.com","both","","",""
"8879","Blue Care Behavior Therapy","JACKSONVILLE","aba|parent-coaching","TRUE","ABA Therapy Jacksonville FL | Blue Care Behavior Therapy Home Services About Us Blo","bluecaretherapy.com","both","","",""
"7232","Bright Behavioral Health - Children's ABA Therapy","JACKSONVILLE","life-skills|aba","TRUE","r account to remove this banner. Learn more Enter Your Details Below To Request ABA Therapy Full Name Email Phone Your Child Name Current Insurance Zip Code Referr","brightbehaviorhealth.myclickfunnels.com","both","","",""
"7099","Exceptional Therapies - Jacksonville - Applied Behavior Analysis","JACKSONVILLE","group-therapy|speech-therapy|aba|physical-therapy|occupational-therapy","TRUE","Exceptional Therapies Call us 1-844-851-8518 Exceptional Therapies Services ABA Therapy Speech Therapy Occupational Therapy Physical Therapy Counseling Social ","exceptionaltherapies.com","both","","",""
"8808","Hope Haven","JACKSONVILLE","aba|ados-testing|tutoring","TRUE","s day. Our Services (Copy) | Discover Support & Growth — Hope Haven 0 BRIDGE TO ABA Support Without the Wait Schedule A Call to learn how we can help Waiting for A","hope-haven.org","both","","",""
"6530","Missing Piece Behavioral Solutions","JACKSONVILLE","aba","TRUE"," Behavior Change Piece By Piece. Contact us About Us Applied Behavior Analysis (ABA) Applied Behavior Analysis (ABA) is commonly practiced as a therapeutic interve","missingpiecebehavior.com","both","","",""
"7457","Proud Moments ABA","JACKSONVILLE","life-skills|aba|ados-testing|parent-coaching","TRUE","Jacksonville, FL - Autism Therapy Services - In-Home ABA Therapy Skip to main content Search Jacksonville Services In Clinic In Clinic A","proudmomentsaba.com","both","","",""
"7340","Reaching Milestones","JACKSONVILLE","aba","TRUE","Autism Therapy Utilizing ABA - Reaching Milestones Interested in learning with us? CONTACT US Autism Therapy","reachingmilestones.com","both","","",""
"7362","Sade Behavior Therapy, Inc.","JACKSONVILLE","aba","TRUE","ide Treatment plan developed by a BCBA tailored to your childs needs Direct ABA therapy provided by a BCBA, BCaBA or Therapist Supervision Comprehensive tr","sadebehavior.com","both","","",""
"8887","The Blue Journey bts","JACKSONVILLE","aba","TRUE","rney Skip to content Applied Behavior Analysis Services Get more from life with ABA Contact us today! Join Our Team At The Blue Journey INC/Marvelous Minds Design ","thebluejourneybts.com","both","","",""
"7218","Act4Me","KEY BISCAYNE","aba|physical-therapy","TRUE","nt is for up to $4,000 paid directly to the service providers. Please note that ABA therapy is not covered under our grant. Equipment or Home Therapy Supplies Gran","act4me.org","both","","",""
"6526","Embrace ABA and Social Center","LAKE PARK","aba","TRUE","Embrace ABA | West Palm Beachs #1 ABA Providers top of page Embrace ABA Academy & Social Ce","embraceabawpb.com","both","","",""
"7121","Blessed & Beyond Behavioral Corp","LAKE WORTH BEACH","aba|ados-testing|occupational-therapy","TRUE","Blessed & Beyond Behavioral – ABA Behavior Therapies Welcome! In this space you will find the support that your f","bbbehavioral.com","both","","",""
"7357","Brighter Minds Behavioral Health LLC","LAKE WORTH BEACH","aba","TRUE"," family to reach their full potential. We are dedicated to integrate the latest ABA findings and research to provide quality services to our families. We continue ","brightermindsbh.com","both","","",""
"6984","ChildGarden Center | Integral Therapy - Lake Worth Beach","LAKE WORTH BEACH","aba|speech-therapy|occupational-therapy|music-therapy|feeding-therapy|life-skills|parent-coaching|mobile-services","TRUE"," ENGLISH SPANISH abc@childgardens.com 561-909-8980 / 305-335-0407 MUSIC THERAPY ABA THERAPY FAMILY TRAINING SPEECH Therapy OT OCCUPATIONAL THERAPY About us BCBA ce","childgardens.com","both","","",""
"9141","Love & Behavior Support. INC","LAKE WORTH BEACH","aba","TRUE","t Love & Behavior Support, INC, we provide a comprehensive range of specialized ABA therapy services tailored to meet the unique needs of each child and family. Ou","lovebehaviorsupport.com","both","","",""
"7133","Rainbow of Life Behavioral Health Center","LAKE WORTH BEACH","aba","TRUE","Home | Rainbow Of Life BHC | ABA Therapy | West Palm Beach, Florida top of page Rainbow of Life Behavioral Healt","rainbowoflifebhc.com","both","","",""
"9017","ABA WAY","LAKELAND","aba","TRUE","Home | ABA Way top of page Charting a Path to Positive Behavior Change At ABA Way, our mis","abaway.net","both","","",""
"7124","Behavioral Progression, Inc.","LAKELAND","aba|life-skills|group-therapy|virtual-therapy|parent-coaching","TRUE","ABA Services | Behavioral Progression top of page BEHAVIORAL PROGRESSION , INC . Em","behavioralprogression.com","both","","",""
"7475","I Love ABA llc","LAKELAND","aba","TRUE","ABA Therapy in Home, School, and Community - ILoveABA ABA therapy in your Home, Sch","iloveabalakeland.com","both","","",""
"10387","Learnary","LAKELAND","aba|support-groups","TRUE","Learnary | ABA Therapy Florida top of page Learning to Change, Teaching to Thrive BOOK FREE CO","learnary.com","both","","",""
"9281","Treeline Occupational Therapy","LAKELAND","occupational-therapy","TRUE","#NAME?","treelineenrichment.com","both","NAME-ARTIFACT","",""
"7353","ABA Solutions, Inc","LARGO","life-skills|aba","TRUE","ABA Solutions - Long-term change requires long-term thinking Let's learn more about","abasolutions.com","both","","",""
"6555","Creative Behavior Solutions llc","LARGO","aba","TRUE","ax FOLLOW US Creative Behavior Solutions (CBS) is an Applied Behavior Analysis (ABA) clinic that offers services in Pinellas county. CBS specializes in early inter","creativebehaviorso.wixsite.com","both","","",""
"6783","Waves Behavioral Solutions","LARGO","aba","TRUE","ized supports based on the science and principles of applied behavior analysis (ABA) to help create a more inclusive community. who we are Waves Behavioral Solutio","wavesbehavioral.com","both","","",""
"8815","ABA Therapy - Multicultural Development Services","LAUDERHILL","group-therapy|aba","TRUE","ABA Therapy | Fort Lauderdale | Multicultural Development Services top of page ABA ","abatherapymcds.com","both","","",""
"8964","Advanced Behavioral Dimensions - ABA Therapy Company","LAUDERHILL","aba|virtual-therapy|parent-coaching","TRUE"," - Advanced Behavioral Dimensions Advanced Behavioral Dimensions Autism Therapy ABA Therapy that is Committed, Effective and Scientific. Contact Us Today We Prepar","abdbehavior.com","both","","",""
"8723","Groundwork Counseling & Cognitive Behavioral Therapy (CBT) Orlando","MAITLAND","aba","TRUE","sive-Compulsive Disorder (OCD) from the International OCD Foundation’s esteemed Behavior Therapy Training Institute (BTTI) in Houston Texas, and received certification in Cogn","groundworkcounseling.com","both","","",""
"8889","3-Step Therapy-ABA","MARGATE","speech-therapy|aba|occupational-therapy","TRUE","ABA Services | 3-Step Therapy top of page Seeing the World from a Different Angle A","3steptherapy.com","both","","",""
"6933","Everyday ABA, LLC","MELBOURNE","aba|life-skills|group-therapy","TRUE","Home ​​Everyday ABA provides direct in-home and in-center Applied Behavior Analytic (ABA) services ","everydayaba.com","both","","",""
"6035","ALOS Integrated Therapy","MIAMI","aba","TRUE","lan that will help them reach their full potential in life. We offer home-based ABA therapy services as well as clinic based services for those who live nearby our","alos.org","both","","",""
"6547","Autism Specialty Group","MIAMI","aba","TRUE","ABA Therapy in Miami | Autism Specialty Group 0 Compassionate ABA Therapy in Miami ","autismspecialtygroup.com","both","","",""
"7247","CDE, Autism, ADHD and Psychological Evaluations","MIAMI","life-skills|aba|ados-testing|virtual-therapy","TRUE","commendations for appropriate interventions, such as Applied Behavior Analysis (ABA) therapy. Learn More PSYCHOEDUCATIONAL EVALUATIONS A psychoeducational evaluati","drmeganlavado.com","both","","",""
"6624","Children Autism Help","MIAMI","aba","TRUE","me Service Parental Services Team Contact Unlocking Potential, Embracing Growth ABA Therapy Services Covered 100% by Medicaid and Private Insurances Miami & Browar","childrenautismhelp.com","both","","",""
"6636","Cs Behavioral Services","MIAMI","aba","TRUE","CS Behavioral Services | Miami, FL | ABA Therapy, child behavioral services agency top of page CS BEHAVIORAL SERVICES Wo","csbehavioralmiami.com","both","","",""
"10329","Innovative Pediatric Learning Center of Miami (IPLC)","MIAMI","speech-therapy|occupational-therapy|feeding-therapy|dir-floortime|life-skills|parent-coaching|group-therapy","TRUE","gement, communication, positive behaviors, and thinking. A naturalistic form of applied behavior analysis. It focuses on increasing a child’s motivation to learn, initiate comm","iplcmiami.com","both","","",""
"6517","Interface Consulting and Psychological Services","MIAMI","aba","TRUE","en a child, teen, or adult is not responsive to these approaches, we also offer ABA therapy, which can facilitate behavior modification through methods that don’t ","icpstherapy.com","both","","",""
"8906","Learning Tree Miami","MIAMI","aba|parent-coaching","TRUE","nd behavioral plan development, school- and home-based educational instruction, ABA therapy, and more. Your Child’s World Our whole-child approach takes every face","learningtreemiami.com","both","","",""
"7489","LimitLess Minds ABA","MIAMI","music-therapy|aba","TRUE","LimitLess Minds ABA | Early Intervention Miami top of page Together we can take the next steps towa","llminds.com","both","","",""
"8876","Mindful Connections ABA","MIAMI","aba","TRUE","Mico: Terapia ABA para niños en Miami | Mico Mindful Connections Nos enfocamos en promover result","mindfulconnectionsaba.com","both","","",""
"8602","Sunrise Behavioral Health and Support Services","MIAMI","life-skills|group-therapy|speech-therapy|aba|ados-testing|tutoring|support-groups|virtual-therapy|parent-coaching","TRUE","ediatrician or Licensed Clinical Psychologist. Recommendation/ Prescription for ABA with diagnosis code signed by an MD. Letter of Medical Necessity with diagnosis","sbhss.net","both","","",""
"6012","The Victory Center for Autism & Related Disabilities","MIAMI","aba","TRUE","year-round school program Rolling enrollment (Join any time of year!) Providing ABA in a classroom setting One-to-one student/teacher ratio Rated among the Top Sch","thevictoryschool.org","both","","",""
"7263","Behavior Bloom LLC","MIAMI GARDENS","aba|parent-coaching","TRUE","Behavior Bloom Ir al contenido Empowering Lives Through ABA Therapy We provide compassionate, personalized support to help children achieve","behaviorbloomllc.com","both","","",""
"6692","Superhero Kiddos, ABA/Behavior Support - Little Heroes Center","MIAMI GARDENS","aba","TRUE","Superhero Kiddos,ABA/Behavior Support Behavior Therapy | ABA Services | Miami Gardens, Florida × Men","skautism.com","both","","",""
