id,name,city,input_address,matched_address,latitude,longitude,geocode_method,notes
9458,AnatomyPT • Physical Therapy & Orthotics,Miami Beach,301 ARTHUR GODFREY RD,,,,FAILED,No Census match after 2 attempts
9408,Always Keep Progressing - North Miami Beach - 16800 Nw 2nd Ave,Miami Gardens,16800 NW 2ND AVE,,,,FAILED,No Census match after 2 attempts
9841,Physical Therapy NOW Miami Lakes,Miami Lakes,15985 NW 57TH AVE,,,,FAILED,No Census match after 2 attempts
7967,Select Physical Therapy - Miami Lakes,Miami Lakes,15150 BULL RUN RD,,,,FAILED,No Census match after 2 attempts
6439,KEY FITS SOLUTIONS LLC,Milton,3996 AVALON BLVD STE 100-C,,,,FAILED,No Census match after 2 attempts
9568,Apollo Rehab Miramar,Miramar,3400 Lakeside Drive Suite 103,"3400 LAKESIDE DR, MIRAMAR, FL, 33027",25.974897,-80.344436,CENSUS,
6344,Easterseals LEAP Program - Naples,Naples,8793 TAMIAMI TRL E STE 111,,,,FAILED,No Census match after 2 attempts
7360,FISIOCORP MIAMI LLC,North Bay Village,1440 79TH STREET CAUSEWAY,,,,FAILED,No Census match after 2 attempts
9426,Physical Therapy Time,North Miami Beach,1380 NE MIAMI GARDENS DR,,,,FAILED,No Census match after 2 attempts
9309,"Alyssa Frey CranioSacral and Occupational Therapist CST, OT",North Palm Beach,300 MERCURY RD,,,,FAILED,No Census match after 2 attempts
7653,Challenges Conquered Counseling Services,Oakland Park,800 E CYPRESS CREEK RD,,,,FAILED,No Census match after 2 attempts
10215,PT Solutions of Oldsmar (formerly Westchase Physical Therapy),Oldsmar,3953 TAMPA RD,,,,FAILED,No Census match after 2 attempts
8199,Brilliant Brains Behavior Services LLC,Oldsmar,3970 TAMPA RD SUITE E,,,,FAILED,No Census match after 2 attempts
9173,Small Talk Speech Therapy (Orange Park),Orange Park,1700 WELLS RD STE 18,,,,FAILED,No Census match after 2 attempts
9794,Department of Communication Sciences and Disorders,Orlando,3280 Progress Drive Suite 500,"3280 PROGRESS DR, ORLANDO, FL, 32826",28.588962,-81.199061,CENSUS,
10249,AMP PEDIATRIC THERAPY,Orlando,6900 TAVISTOCK LAKES BLVD,,,,FAILED,No Census match after 2 attempts
9256,"Sweet Speech, LLC",Oviedo,OVIEDO,,,,FAILED,No Census match after 2 attempts
9900,AxisPro Physical Therapy & Hand clinic - Palm Bay,Palm Bay,5240 BABCOCK ST NE # 102,,,,FAILED,No Census match after 2 attempts
9292,"Little Harbor Therapy, LLC",Palm Beach Gardens,JUPITER,,,,FAILED,No Census match after 2 attempts
9324,"Holistic Family Occupational Therapy, LLC - Palm Springs",Palm Springs,2290 10TH AVE N,,,,FAILED,No Census match after 2 attempts
9783,Apollo Rehab Parkland,Parkland,7635 N STATE RD 7,,,,FAILED,No Census match after 2 attempts
8720,"PEGGY JOYCE HARGROVE
JOYCE LOVE & CARE HOME",Plant City,3304 SAN MOISE PL,,,,FAILED,No Census match after 2 attempts
10229,Wolfson Children's Rehabilitation - HealthPlace at Nocatee,Ponte Vedra,400 Colonnade Drive Suite 110,"400 COLONNADE DR, PONTE VEDRA, FL, 32081",30.110994,-81.430544,CENSUS,
9664,MaternalFit Pelvic Physical Therapy,Port Orange,3930 S Nova Road Suite 205,"3930 S NOVA RD, PORT ORANGE, FL, 32127",29.120102,-81.000937,CENSUS,
9949,CORA Physical Therapy St. Lucie West,Port St. Lucie,1707 ST LUCIE W BLVD,,,,FAILED,No Census match after 2 attempts
7331,Select Physical Therapy - Port St Lucie,Port St. Lucie,156 NW CALIFORNIA BLVD,,,,FAILED,No Census match after 2 attempts
9680,Action Physical Therapy,Port St. Lucie,1680 ST LUCIE W BLVD,,,,FAILED,No Census match after 2 attempts
10078,North Florida Therapy Services,Quincy,860 Strong Road,"860 STRONG RD, QUINCY, FL, 32351",30.566901,-84.555768,CENSUS,
9509,Rejuvenate Physical Therapy,Safety Harbor,1803 BRIAR CREEK BLVD,,,,FAILED,No Census match after 2 attempts
9670,Mease Countryside Physical Therapy & Sports Rehabilitation,Safety Harbor,3251 MCMULLEN BOOTH RD STE 200,,,,FAILED,No Census match after 2 attempts
9797,3 C's Therapy Center,Sanford,4019 W 1ST ST,,,,FAILED,No Census match after 2 attempts
7314,Select Physical Therapy - Sebastian,Sebastian,1424 U.S. RTE 1 SUITE B,,,,FAILED,No Census match after 2 attempts
9517,Longevity Rehab Center - Sebastian,Sebastian,13000 U.S. RTE 1 STE 7,,,,FAILED,No Census match after 2 attempts
9235,FSU School of Communication Science and Disorders,Tallahassee,201 W Bloxham St Warren Building,"201 W BLOXHAM ST, TALLAHASSEE, FL, 32301",30.434504,-84.283131,CENSUS,"Adjacent ZIP: input 32306, Census 32301; Ignored trailing building designator ""WARREN"" in input"
8475,Children's Learning Clinic,Tallahassee,1107 W Call St,"1107 W CALL ST, TALLAHASSEE, FL, 32304",30.444226,-84.299429,CENSUS,"Adjacent ZIP: input 32306, Census 32304"
7459,Behavior Management Consultants - 4820 Kerry Forest Pkwy,Tallahassee,4820 KERRY FOREST PKWY,,,,FAILED,No Census match after 2 attempts
10227,LifeCare Therapy,Tamarac,7777 N UNIVERSITY DR # 101S,,,,FAILED,No Census match after 2 attempts
9439,Physical Therapy Associates of South Florida,Tamarac,7171 N UNIVERSITY DR,,,,FAILED,No Census match after 2 attempts
6474,BEBES NURSING CARE LLC,Tamarac,7171 N UNIVERSITY DR STE 205,,,,FAILED,No Census match after 2 attempts
7661,Select Physical Therapy - Tamarac,Tamarac,7160 N UNIVERSITY DR,,,,FAILED,No Census match after 2 attempts
5835,"Quest, Inc. Training Center & Tampa Corporate Office",Tampa,3910 US-301,,,,FAILED,No Census match after 2 attempts
8689,MERCED CARE HOME LLC,Tampa,4701 N HABANA AVE,,,,FAILED,No Census match after 2 attempts
9962,Pelvic Solutions,Tampa,307 S BOULEVARD B,,,,FAILED,No Census match after 2 attempts
6267,DGAN LLC,Tampa,6802 LAKEVIEW CENTER DR STE 500,,,,FAILED,No Census match after 2 attempts
5808,Quest Kids Therapy - Tampa - 3910 Us-301,Tampa,3910 US-301,,,,FAILED,No Census match after 2 attempts
9254,"Our Speech Garden, LLC.",Tampa,TAMPA,,,,FAILED,No Census match after 2 attempts
9960,Optimal Performance & PT,Tampa,1812,,,,FAILED,No Census match after 2 attempts
9307,Spellers Center Tampa - Occupational Therapy for Nonverbal Individuals with Autism/ Apraxia,Trinity,1816 HEALTH CARE DR,,,,FAILED,No Census match after 2 attempts
10241,Purposeful Play Pediatric Therapy,Venice,680 U.S. 41 BYPASS N SUITE 2,,,,FAILED,No Census match after 2 attempts
9203,The Learning Experience - West Melbourne,West Melbourne,4470 HOLLYWOOD BLVD,,,,FAILED,No Census match after 2 attempts
6398,C INDIVIDUALS TRANSITION TO WORK INC.,West Palm Beach,4949 ALORA ISLES DR APT 1116,,,,FAILED,No Census match after 2 attempts
9662,Paley Orthopedic & Spine Institute,West Palm Beach,KIMMEL 901,,,,FAILED,No Census match after 2 attempts
8632,ABLE LIFE CARE SERVICES,West Palm Beach,4728 ALORA ISLES DR APT 7211,,,,FAILED,No Census match after 2 attempts
9059,"MILESTONES OF EXCELLENCE, LLC",Winter Haven,2013 PINE PL APT 112,,,,FAILED,No Census match after 2 attempts
6284,"THE ARC NASSAU, INC.",Yulee,86051 HAMILTON STREET,,,,FAILED,No Census match after 2 attempts
