id,name,city,insurances_found,no_slug_plans,self_pay_only,source_page_url,evidence_location,confidence,notes
10725,Cultivate Behavioral Health & Education - Kendall,Kendall,florida-blue|unitedhealthcare|florida-medicaid|aetna|cigna|tricare,Anthem,N,https://cultivatebhe.com/insurance/,"insurance page with an insurer logo strip, plus the named options in the page's Insurance Provider contact-form field",HIGH,"COMPANY-WIDE page, not location-specific - all 13 Cultivate records in this file share this one list; the individual Florida location pages publish no separate insurance list. Mapped: Blue Cross Blue Shield to florida-blue, United Healthcare to unitedhealthcare, Medicaid to florida-medicaid (Florida location). CAVEAT: Cultivate is a MULTI-STATE chain - the page carries ""Mental Health services KY only"" - so the unqualified ""Medicaid"" and ""Blue Cross Blue Shield"" marks are national brand marks, and Florida participation is implied by the location being in Florida rather than stated on the page. Anthem has no slug and does not operate in Florida at all, which reinforces that this list is national. Page headline is the generic ""We Accept Most Insurance Providers"", but the logo strip is a genuine named list, so this is NOT NO_LIST."
9166,Cultivate Behavioral Health & Education - Orange Park,Orange Park,florida-blue|unitedhealthcare|florida-medicaid|aetna|cigna|tricare,Anthem,N,https://cultivatebhe.com/insurance/,"insurance page with an insurer logo strip, plus the named options in the page's Insurance Provider contact-form field",HIGH,"COMPANY-WIDE page, not location-specific - all 13 Cultivate records in this file share this one list; the individual Florida location pages publish no separate insurance list. Mapped: Blue Cross Blue Shield to florida-blue, United Healthcare to unitedhealthcare, Medicaid to florida-medicaid (Florida location). CAVEAT: Cultivate is a MULTI-STATE chain - the page carries ""Mental Health services KY only"" - so the unqualified ""Medicaid"" and ""Blue Cross Blue Shield"" marks are national brand marks, and Florida participation is implied by the location being in Florida rather than stated on the page. Anthem has no slug and does not operate in Florida at all, which reinforces that this list is national. Page headline is the generic ""We Accept Most Insurance Providers"", but the logo strip is a genuine named list, so this is NOT NO_LIST."
10726,Cultivate Behavioral Health & Education - Palm Beach,Palm Beach,florida-blue|unitedhealthcare|florida-medicaid|aetna|cigna|tricare,Anthem,N,https://cultivatebhe.com/insurance/,"insurance page with an insurer logo strip, plus the named options in the page's Insurance Provider contact-form field",HIGH,"COMPANY-WIDE page, not location-specific - all 13 Cultivate records in this file share this one list; the individual Florida location pages publish no separate insurance list. Mapped: Blue Cross Blue Shield to florida-blue, United Healthcare to unitedhealthcare, Medicaid to florida-medicaid (Florida location). CAVEAT: Cultivate is a MULTI-STATE chain - the page carries ""Mental Health services KY only"" - so the unqualified ""Medicaid"" and ""Blue Cross Blue Shield"" marks are national brand marks, and Florida participation is implied by the location being in Florida rather than stated on the page. Anthem has no slug and does not operate in Florida at all, which reinforces that this list is national. Page headline is the generic ""We Accept Most Insurance Providers"", but the logo strip is a genuine named list, so this is NOT NO_LIST."
10721,Cultivate Behavioral Health & Education - Sebastian,Sebastian,florida-blue|unitedhealthcare|florida-medicaid|aetna|cigna|tricare,Anthem,N,https://cultivatebhe.com/insurance/,"insurance page with an insurer logo strip, plus the named options in the page's Insurance Provider contact-form field",HIGH,"COMPANY-WIDE page, not location-specific - all 13 Cultivate records in this file share this one list; the individual Florida location pages publish no separate insurance list. Mapped: Blue Cross Blue Shield to florida-blue, United Healthcare to unitedhealthcare, Medicaid to florida-medicaid (Florida location). CAVEAT: Cultivate is a MULTI-STATE chain - the page carries ""Mental Health services KY only"" - so the unqualified ""Medicaid"" and ""Blue Cross Blue Shield"" marks are national brand marks, and Florida participation is implied by the location being in Florida rather than stated on the page. Anthem has no slug and does not operate in Florida at all, which reinforces that this list is national. Page headline is the generic ""We Accept Most Insurance Providers"", but the logo strip is a genuine named list, so this is NOT NO_LIST."
10720,Cultivate Behavioral Health & Education - Sunrise,Sunrise,florida-blue|unitedhealthcare|florida-medicaid|aetna|cigna|tricare,Anthem,N,https://cultivatebhe.com/insurance/,"insurance page with an insurer logo strip, plus the named options in the page's Insurance Provider contact-form field",HIGH,"COMPANY-WIDE page, not location-specific - all 13 Cultivate records in this file share this one list; the individual Florida location pages publish no separate insurance list. Mapped: Blue Cross Blue Shield to florida-blue, United Healthcare to unitedhealthcare, Medicaid to florida-medicaid (Florida location). CAVEAT: Cultivate is a MULTI-STATE chain - the page carries ""Mental Health services KY only"" - so the unqualified ""Medicaid"" and ""Blue Cross Blue Shield"" marks are national brand marks, and Florida participation is implied by the location being in Florida rather than stated on the page. Anthem has no slug and does not operate in Florida at all, which reinforces that this list is national. Page headline is the generic ""We Accept Most Insurance Providers"", but the logo strip is a genuine named list, so this is NOT NO_LIST."
10727,Cultivate Behavioral Health & Education - Vero Beach,Vero Beach,florida-blue|unitedhealthcare|florida-medicaid|aetna|cigna|tricare,Anthem,N,https://cultivatebhe.com/insurance/,"insurance page with an insurer logo strip, plus the named options in the page's Insurance Provider contact-form field",HIGH,"COMPANY-WIDE page, not location-specific - all 13 Cultivate records in this file share this one list; the individual Florida location pages publish no separate insurance list. Mapped: Blue Cross Blue Shield to florida-blue, United Healthcare to unitedhealthcare, Medicaid to florida-medicaid (Florida location). CAVEAT: Cultivate is a MULTI-STATE chain - the page carries ""Mental Health services KY only"" - so the unqualified ""Medicaid"" and ""Blue Cross Blue Shield"" marks are national brand marks, and Florida participation is implied by the location being in Florida rather than stated on the page. Anthem has no slug and does not operate in Florida at all, which reinforces that this list is national. Page headline is the generic ""We Accept Most Insurance Providers"", but the logo strip is a genuine named list, so this is NOT NO_LIST."
5840,Cultivate Behavioral Health & Education - Yulee,Yulee,florida-blue|unitedhealthcare|florida-medicaid|aetna|cigna|tricare,Anthem,N,https://cultivatebhe.com/insurance/,"insurance page with an insurer logo strip, plus the named options in the page's Insurance Provider contact-form field",HIGH,"COMPANY-WIDE page, not location-specific - all 13 Cultivate records in this file share this one list; the individual Florida location pages publish no separate insurance list. Mapped: Blue Cross Blue Shield to florida-blue, United Healthcare to unitedhealthcare, Medicaid to florida-medicaid (Florida location). CAVEAT: Cultivate is a MULTI-STATE chain - the page carries ""Mental Health services KY only"" - so the unqualified ""Medicaid"" and ""Blue Cross Blue Shield"" marks are national brand marks, and Florida participation is implied by the location being in Florida rather than stated on the page. Anthem has no slug and does not operate in Florida at all, which reinforces that this list is national. Page headline is the generic ""We Accept Most Insurance Providers"", but the logo strip is a genuine named list, so this is NOT NO_LIST."
7501,"Florida Family Support, LLC",Coconut Creek,cigna|aetna|unitedhealthcare|florida-blue,AvMed|Oscar,N,http://www.flfamilysupport.com/,"homepage body copy (an explicit in-network sentence), not a logo strip",MEDIUM,"Verbatim: ""We are in network with Cigna, Aetna, AvMed, Optum, United Health, Oscar, and Florida Blue. We also accept private pay."" Optum and United Health both map to unitedhealthcare, deduped to one slug. SELF_PAY_ONLY = N deliberately: private pay is offered IN ADDITION to in-network billing, not instead of it. Worth knowing for the directory: the page states insurance billing for ABA requires an autism diagnosis, and that the social-skills GROUP product is cash-pay at $100 per session and needs no diagnosis - so one service line is self-pay while the core ABA service is billed. Confidence MEDIUM because the list is body copy rather than a named insurance page or logo strip, even though the site does have an Insurance nav item."
7202,Little Dreamers PPEC,Hollywood,florida-medicaid,,N,http://littledreamersppec.com/,homepage body copy and a checkmark feature block; no insurance page and no logo strip exist on the site,MEDIUM,"Exactly ONE payer is named anywhere: ""PPEC services are covered under the Florida Medicaid program, and we work with most private insurance plans to handle the necessary authorizations..."" and the block ""Florida Medicaid Accepted / Most Private Insurance Accepted"". ""Most Private Insurance Accepted"" is the generic claim and yields NOTHING - no commercial carrier is named or shown, so none was inferred. A PPEC of this type would typically also take Sunshine Health, Simply or Humana Medicaid MMA plans, but the site does not publish them and they were deliberately NOT guessed. Confidence MEDIUM because the single slug comes from body copy, not a named insurance page or logo strip."
6927,Select Physical Therapy - Aventura,Miami,NO_LIST,,N,https://www.selectphysicaltherapy.com/your-experience/insurance-and-patient-responsibilities/,"insurance page (named ""Insurance and Patient Responsibilities"") - no list and no logo strip anywhere on it",HIGH,"NO_LIST confirmed from the chain's OWN dedicated insurance page, which names no insurer and shows no logos. It covers payment methods only - ""We accept all major credit cards (except American Express), cash or checks"" - and pushes verification back to the patient: ""contact your insurance company before your first appointment to confirm therapy services"", plus ""contact the center where you're receiving care"" for payment options. /insurance/ and /patients/insurance-and-billing/ both 404; the live path was found from the homepage. Multi-location chain (55 records in this file share this one site) and the page does not state per-center participation either way, so nothing is location-specific. NOT self-pay - they clearly bill insurance, they just publish no list."
7579,Select Physical Therapy - Baymeadows - Southside,Jacksonville,NO_LIST,,N,https://www.selectphysicaltherapy.com/your-experience/insurance-and-patient-responsibilities/,"insurance page (named ""Insurance and Patient Responsibilities"") - no list and no logo strip anywhere on it",HIGH,"NO_LIST confirmed from the chain's OWN dedicated insurance page, which names no insurer and shows no logos. It covers payment methods only - ""We accept all major credit cards (except American Express), cash or checks"" - and pushes verification back to the patient: ""contact your insurance company before your first appointment to confirm therapy services"", plus ""contact the center where you're receiving care"" for payment options. /insurance/ and /patients/insurance-and-billing/ both 404; the live path was found from the homepage. Multi-location chain (55 records in this file share this one site) and the page does not state per-center participation either way, so nothing is location-specific. NOT self-pay - they clearly bill insurance, they just publish no list."
8515,Select Physical Therapy - Cape Coral,Cape Coral,NO_LIST,,N,https://www.selectphysicaltherapy.com/your-experience/insurance-and-patient-responsibilities/,"insurance page (named ""Insurance and Patient Responsibilities"") - no list and no logo strip anywhere on it",HIGH,"NO_LIST confirmed from the chain's OWN dedicated insurance page, which names no insurer and shows no logos. It covers payment methods only - ""We accept all major credit cards (except American Express), cash or checks"" - and pushes verification back to the patient: ""contact your insurance company before your first appointment to confirm therapy services"", plus ""contact the center where you're receiving care"" for payment options. /insurance/ and /patients/insurance-and-billing/ both 404; the live path was found from the homepage. Multi-location chain (55 records in this file share this one site) and the page does not state per-center participation either way, so nothing is location-specific. NOT self-pay - they clearly bill insurance, they just publish no list."
7942,Select Physical Therapy - Cay West,Cape Coral,NO_LIST,,N,https://www.selectphysicaltherapy.com/your-experience/insurance-and-patient-responsibilities/,"insurance page (named ""Insurance and Patient Responsibilities"") - no list and no logo strip anywhere on it",HIGH,"NO_LIST confirmed from the chain's OWN dedicated insurance page, which names no insurer and shows no logos. It covers payment methods only - ""We accept all major credit cards (except American Express), cash or checks"" - and pushes verification back to the patient: ""contact your insurance company before your first appointment to confirm therapy services"", plus ""contact the center where you're receiving care"" for payment options. /insurance/ and /patients/insurance-and-billing/ both 404; the live path was found from the homepage. Multi-location chain (55 records in this file share this one site) and the page does not state per-center participation either way, so nothing is location-specific. NOT self-pay - they clearly bill insurance, they just publish no list."
8395,Select Physical Therapy - Clearwater,Clearwater,NO_LIST,,N,https://www.selectphysicaltherapy.com/your-experience/insurance-and-patient-responsibilities/,"insurance page (named ""Insurance and Patient Responsibilities"") - no list and no logo strip anywhere on it",HIGH,"NO_LIST confirmed from the chain's OWN dedicated insurance page, which names no insurer and shows no logos. It covers payment methods only - ""We accept all major credit cards (except American Express), cash or checks"" - and pushes verification back to the patient: ""contact your insurance company before your first appointment to confirm therapy services"", plus ""contact the center where you're receiving care"" for payment options. /insurance/ and /patients/insurance-and-billing/ both 404; the live path was found from the homepage. Multi-location chain (55 records in this file share this one site) and the page does not state per-center participation either way, so nothing is location-specific. NOT self-pay - they clearly bill insurance, they just publish no list."
8425,Select Physical Therapy - Clearwater East,Clearwater,NO_LIST,,N,https://www.selectphysicaltherapy.com/your-experience/insurance-and-patient-responsibilities/,"insurance page (named ""Insurance and Patient Responsibilities"") - no list and no logo strip anywhere on it",HIGH,"NO_LIST confirmed from the chain's OWN dedicated insurance page, which names no insurer and shows no logos. It covers payment methods only - ""We accept all major credit cards (except American Express), cash or checks"" - and pushes verification back to the patient: ""contact your insurance company before your first appointment to confirm therapy services"", plus ""contact the center where you're receiving care"" for payment options. /insurance/ and /patients/insurance-and-billing/ both 404; the live path was found from the homepage. Multi-location chain (55 records in this file share this one site) and the page does not state per-center participation either way, so nothing is location-specific. NOT self-pay - they clearly bill insurance, they just publish no list."
6902,Select Physical Therapy - Coconut Grove,Miami,NO_LIST,,N,https://www.selectphysicaltherapy.com/your-experience/insurance-and-patient-responsibilities/,"insurance page (named ""Insurance and Patient Responsibilities"") - no list and no logo strip anywhere on it",HIGH,"NO_LIST confirmed from the chain's OWN dedicated insurance page, which names no insurer and shows no logos. It covers payment methods only - ""We accept all major credit cards (except American Express), cash or checks"" - and pushes verification back to the patient: ""contact your insurance company before your first appointment to confirm therapy services"", plus ""contact the center where you're receiving care"" for payment options. /insurance/ and /patients/insurance-and-billing/ both 404; the live path was found from the homepage. Multi-location chain (55 records in this file share this one site) and the page does not state per-center participation either way, so nothing is location-specific. NOT self-pay - they clearly bill insurance, they just publish no list."
7584,Select Physical Therapy - Coral Springs - The Walk,Coral Springs,NO_LIST,,N,https://www.selectphysicaltherapy.com/your-experience/insurance-and-patient-responsibilities/,"insurance page (named ""Insurance and Patient Responsibilities"") - no list and no logo strip anywhere on it",HIGH,"NO_LIST confirmed from the chain's OWN dedicated insurance page, which names no insurer and shows no logos. It covers payment methods only - ""We accept all major credit cards (except American Express), cash or checks"" - and pushes verification back to the patient: ""contact your insurance company before your first appointment to confirm therapy services"", plus ""contact the center where you're receiving care"" for payment options. /insurance/ and /patients/insurance-and-billing/ both 404; the live path was found from the homepage. Multi-location chain (55 records in this file share this one site) and the page does not state per-center participation either way, so nothing is location-specific. NOT self-pay - they clearly bill insurance, they just publish no list."
7600,Select Physical Therapy - Coral Springs Sample Road,Coral Springs,NO_LIST,,N,https://www.selectphysicaltherapy.com/your-experience/insurance-and-patient-responsibilities/,"insurance page (named ""Insurance and Patient Responsibilities"") - no list and no logo strip anywhere on it",HIGH,"NO_LIST confirmed from the chain's OWN dedicated insurance page, which names no insurer and shows no logos. It covers payment methods only - ""We accept all major credit cards (except American Express), cash or checks"" - and pushes verification back to the patient: ""contact your insurance company before your first appointment to confirm therapy services"", plus ""contact the center where you're receiving care"" for payment options. /insurance/ and /patients/insurance-and-billing/ both 404; the live path was found from the homepage. Multi-location chain (55 records in this file share this one site) and the page does not state per-center participation either way, so nothing is location-specific. NOT self-pay - they clearly bill insurance, they just publish no list."
6874,Select Physical Therapy - Doral,Medley,NO_LIST,,N,https://www.selectphysicaltherapy.com/your-experience/insurance-and-patient-responsibilities/,"insurance page (named ""Insurance and Patient Responsibilities"") - no list and no logo strip anywhere on it",HIGH,"NO_LIST confirmed from the chain's OWN dedicated insurance page, which names no insurer and shows no logos. It covers payment methods only - ""We accept all major credit cards (except American Express), cash or checks"" - and pushes verification back to the patient: ""contact your insurance company before your first appointment to confirm therapy services"", plus ""contact the center where you're receiving care"" for payment options. /insurance/ and /patients/insurance-and-billing/ both 404; the live path was found from the homepage. Multi-location chain (55 records in this file share this one site) and the page does not state per-center participation either way, so nothing is location-specific. NOT self-pay - they clearly bill insurance, they just publish no list."
8498,Select Physical Therapy - Downtown,Fort Lauderdale,NO_LIST,,N,https://www.selectphysicaltherapy.com/your-experience/insurance-and-patient-responsibilities/,"insurance page (named ""Insurance and Patient Responsibilities"") - no list and no logo strip anywhere on it",HIGH,"NO_LIST confirmed from the chain's OWN dedicated insurance page, which names no insurer and shows no logos. It covers payment methods only - ""We accept all major credit cards (except American Express), cash or checks"" - and pushes verification back to the patient: ""contact your insurance company before your first appointment to confirm therapy services"", plus ""contact the center where you're receiving care"" for payment options. /insurance/ and /patients/insurance-and-billing/ both 404; the live path was found from the homepage. Multi-location chain (55 records in this file share this one site) and the page does not state per-center participation either way, so nothing is location-specific. NOT self-pay - they clearly bill insurance, they just publish no list."
7669,Select Physical Therapy - East Fort Lauderdale,Fort Lauderdale,NO_LIST,,N,https://www.selectphysicaltherapy.com/your-experience/insurance-and-patient-responsibilities/,"insurance page (named ""Insurance and Patient Responsibilities"") - no list and no logo strip anywhere on it",HIGH,"NO_LIST confirmed from the chain's OWN dedicated insurance page, which names no insurer and shows no logos. It covers payment methods only - ""We accept all major credit cards (except American Express), cash or checks"" - and pushes verification back to the patient: ""contact your insurance company before your first appointment to confirm therapy services"", plus ""contact the center where you're receiving care"" for payment options. /insurance/ and /patients/insurance-and-billing/ both 404; the live path was found from the homepage. Multi-location chain (55 records in this file share this one site) and the page does not state per-center participation either way, so nothing is location-specific. NOT self-pay - they clearly bill insurance, they just publish no list."
7620,Select Physical Therapy - East Pembroke Pines,Hollywood,NO_LIST,,N,https://www.selectphysicaltherapy.com/your-experience/insurance-and-patient-responsibilities/,"insurance page (named ""Insurance and Patient Responsibilities"") - no list and no logo strip anywhere on it",HIGH,"NO_LIST confirmed from the chain's OWN dedicated insurance page, which names no insurer and shows no logos. It covers payment methods only - ""We accept all major credit cards (except American Express), cash or checks"" - and pushes verification back to the patient: ""contact your insurance company before your first appointment to confirm therapy services"", plus ""contact the center where you're receiving care"" for payment options. /insurance/ and /patients/insurance-and-billing/ both 404; the live path was found from the homepage. Multi-location chain (55 records in this file share this one site) and the page does not state per-center participation either way, so nothing is location-specific. NOT self-pay - they clearly bill insurance, they just publish no list."
7623,Select Physical Therapy - Hallandale Beach,Hallandale Beach,NO_LIST,,N,https://www.selectphysicaltherapy.com/your-experience/insurance-and-patient-responsibilities/,"insurance page (named ""Insurance and Patient Responsibilities"") - no list and no logo strip anywhere on it",HIGH,"NO_LIST confirmed from the chain's OWN dedicated insurance page, which names no insurer and shows no logos. It covers payment methods only - ""We accept all major credit cards (except American Express), cash or checks"" - and pushes verification back to the patient: ""contact your insurance company before your first appointment to confirm therapy services"", plus ""contact the center where you're receiving care"" for payment options. /insurance/ and /patients/insurance-and-billing/ both 404; the live path was found from the homepage. Multi-location chain (55 records in this file share this one site) and the page does not state per-center participation either way, so nothing is location-specific. NOT self-pay - they clearly bill insurance, they just publish no list."
7672,Select Physical Therapy - Hollywood,Hollywood,NO_LIST,,N,https://www.selectphysicaltherapy.com/your-experience/insurance-and-patient-responsibilities/,"insurance page (named ""Insurance and Patient Responsibilities"") - no list and no logo strip anywhere on it",HIGH,"NO_LIST confirmed from the chain's OWN dedicated insurance page, which names no insurer and shows no logos. It covers payment methods only - ""We accept all major credit cards (except American Express), cash or checks"" - and pushes verification back to the patient: ""contact your insurance company before your first appointment to confirm therapy services"", plus ""contact the center where you're receiving care"" for payment options. /insurance/ and /patients/insurance-and-billing/ both 404; the live path was found from the homepage. Multi-location chain (55 records in this file share this one site) and the page does not state per-center participation either way, so nothing is location-specific. NOT self-pay - they clearly bill insurance, they just publish no list."
