title,date,end_date,time,venue_name,address,city,county,state,zip_code,organizer_name,organizer_email,organizer_phone,website_url,registration_url,cost,is_free,event_type,category,age_groups,is_recurring,recurrence_pattern,sensory_accommodations,ceu_available,description,source_url,confidence,notes
Special Olympics Florida West Coast Region Swimming Competition,2026-08-30,,8:00 AM - 3:00 PM,North Shore Aquatic Complex,901 North Shore Dr NE,St. Petersburg,Pinellas,FL,,Special Olympics Florida,,352-978-9902,https://specialolympicsflorida.org/events/,,,,recreation,disability-general,,N,,,,"Regional swim meet for Special Olympics Florida athletes with intellectual and developmental disabilities from the West Coast Region. Athletes compete through a full day of pool events, and volunteers are recruited separately. Sports contact is Brittany Mueller; volunteer contact is Megan Swanson (352-242-8850).",https://specialolympicsflorida.org/events/,MEDIUM,"Date, time, venue and contacts came from the expandable 'Info' block on Special Olympics Florida's own upcoming-events calendar. CAVEAT: the calendar rows print month/day only and do NOT print a year; it is a forward-looking upcoming-events feed whose earliest rows begin Aug 21 (today is 2026-08-20) and which elsewhere references '2026 Golf (Dec 4 & 5)', so rows are read as 2026. Year not independently confirmed - hence MEDIUM. Weekday cross-check supports 2026: the same calendar's multi-day state events (Aug 21-22, Sep 18-19, Sep 25-26, Nov 13-14) all fall Fri-Sat in 2026 but Thu-Fri in 2025, and the page separately advertises '2027 Walt Disney World Marathon Weekend' as an upcoming fundraiser."
Support Group for Parents & Family Members of Adults with High Support Needs,2026-09-01,,7:00 PM - 8:00 PM,Virtual (Zoom),,Coral Gables,Miami-Dade,FL,,UM-NSU Center for Autism and Related Disabilities (UM-NSU CARD),dadreon@miami.edu,305-284-6563,https://www.card.miami.edu/,,,,support-group,caregiver-training,Adults (parents and family members),Y,"Monthly on Tuesdays, 7:00-8:00 pm, via Zoom",,,"A monthly Zoom support group for parents and family members caring for autistic adults who are non-speaking or minimally verbal and who may need constant supervision. The group is a space to compare notes on supervision, services, and long-term planning with families in similar circumstances.",https://www.card.miami.edu/_assets/pdf/link-tree/master_events.pdf,HIGH,"Dates from UM-NSU CARD's own 'Master Events' PDF on card.miami.edu. Published dates: Aug 4, Sep 1, Oct 6 and Nov 3, 2026. Earliest on/after 2026-08-20 is Sep 1, 2026. Other in-window dates: 2026-10-06, 2026-11-03. RSVP is by emailing Dr. Diane Adreon at dadreon@miami.edu for the Zoom link -- no registration page published, so registration_url empty. Virtual event, so `city` is the CARD main office city (Coral Gables). Cost not stated in the PDF."
Grupo de Apoyo Para Madres,2026-09-02,,10:00 AM - 12:00 PM,NSU CARD Satellite Office,7600 SW 36th Street,Davie,Broward,FL,33328,UM-NSU Center for Autism and Related Disabilities (UM-NSU CARD),s.garcia14@miami.edu,954-262-7719,https://www.card.miami.edu/,,,,support-group,caregiver-training,Adults (mothers),Y,"Monthly, 10:00 am - 12:00 pm, at the NSU CARD satellite office in Davie",,,"A Spanish-language, in-person monthly support group for mothers of children with an autism diagnosis, held at UM-NSU CARD's Davie office. Mothers share experiences, coping strategies, and local resources in their first language. The child must be a registered CARD client.",https://www.card.miami.edu/_assets/pdf/link-tree/master_events.pdf,HIGH,"Dates from UM-NSU CARD's own 'Master Events' PDF on card.miami.edu. Published dates: Sep 2, Oct 7, Nov 4 and Dec 2, 2026. Earliest in window is Sep 2, 2026. Other in-window dates: 2026-10-07, 2026-11-04. Registration is by contacting Stephanie Garcia at 954-262-7719 / s.garcia14@miami.edu -- no registration page published. This is the IN-PERSON Spanish-language mothers' group; UM-NSU CARD separately runs a virtual Spanish mothers' group (listed as its own row). Cost not stated."
Homework Hub Support Group,2026-09-04,,9:00 AM - 10:00 AM,Virtual (Zoom),,Coral Gables,Miami-Dade,FL,,UM-NSU Center for Autism and Related Disabilities (UM-NSU CARD),ndoming1@nova.edu,305-284-6563,https://www.card.miami.edu/,https://www.eventbrite.com/e/homework-hub-support-group-registration-1994237228233,,,support-group,caregiver-training,Adults (parents and caregivers),Y,"Monthly on Fridays, 9:00-10:00 am, via Zoom",,,"A monthly Zoom group where parents and caregivers of autistic students swap practical tactics for getting through homework and at-home learning. Sessions focus on routines, motivation, and resources families can use right away.",https://www.card.miami.edu/_assets/pdf/link-tree/master_events.pdf,HIGH,"Dates appear in UM-NSU CARD's own 'Master Events' PDF on card.miami.edu AND are independently confirmed on the organizer's own Eventbrite registration listing, which I loaded: Sep 4, Oct 2, Nov 6 and Dec 4, 2026, 9:00-10:00 am. Earliest in window is Sep 4, 2026. Other in-window dates: 2026-10-02, 2026-11-06. The published short link HomeworkHubFall2026.eventbrite.com 302-redirects to the eventbrite.com/e/ URL given here; I used the resolved URL. Cost not stated on either page."
14th Annual Surfers for Autism St Pete Beach Surf Festival,2026-09-05,,8:00 AM - 4:00 PM,St. Pete Beach - 8th Avenue beach access,8th Avenue,St. Pete Beach,Pinellas,FL,33706,Surfers for Autism,,,https://surfersforautism.org/festival-registration,https://www.eventbrite.com/e/14th-annual-surfers-for-autism-st-pete-beach-surf-festival-tickets-1985443933251,,,recreation,autism-specific,Children and young adults with autism and other special needs,Y,Annual festival at each beach location; St. Pete Beach edition is held each September,,,"Surfers for Autism runs a free adaptive-surfing beach day where autistic kids and young adults are paired with volunteer watermen for two surf sessions each. Check-in is at 8 AM, the volunteer briefing at 8:45 AM, and surfing runs 9 AM to 1 PM with participants split into color-coded groups. A resource area lets local providers and businesses connect with families, and lunch, water and sunscreen are provided.",https://www.eventbrite.com/e/14th-annual-surfers-for-autism-st-pete-beach-surf-festival-tickets-1985443933251,HIGH,"Date, time, address and ZIP all read off the organizer's own Eventbrite listing (Surfers for Autism is the listed organizer, not a reseller). Independently cross-confirmed on the organizer's own site at surfersforautism.org/festival-registration, which prints the full 2026 season and lists St. Pete Beach on 2026-09-05, 8 AM-4 PM at 8th Ave, capacity 200 participants, registration opening 2026-08-22 at noon. EXCLUSION CHECK: the exclusion set names only the Surfers for Autism FLAGLER BEACH event. This is a separate festival at a different beach in a different county, so it is a distinct occurrence, not the next date of the listed Flagler series. Note for the parent agent: the same organizer page also shows Flagler Beach on 2026-08-29, which IS excluded and which I deliberately did not return. Cost is not printed on either page (participation is described as free but I did not find that stated in so many words, so I left cost empty)."
Sensory Saturdays at Cox Science Center and Aquarium,2026-09-05,,9:00 AM - 10:00 AM,Cox Science Center and Aquarium,4801 Dreher Trail North,West Palm Beach,Palm Beach,FL,33405,Cox Science Center and Aquarium,,,https://www.coxsciencecenter.org/sensory-saturdays,https://www.coxsciencecenter.org/sensory-saturdays,$5,N,sensory-friendly-session,sensory-friendly,"Families with children who have autism spectrum disorder, sensory processing or cognitive differences",Y,"1st Saturday of each month, 9:00-10:00 AM","Softened general lighting, decreased noise levels, limited visual stimulation on interactive exhibits, sensory kits available on request (sunglasses, noise-cancelling headphones, fidget toys), ADA accessible and wheelchair-friendly facility",,"The science center opens an hour before public hours so families can explore the exhibit halls and aquarium at a calmer pace. Lighting is softened, sound is turned down and the interactive exhibits run with reduced visual stimulation, with sensory kits available at the desk. Admission is $5 and advance registration is not required.",https://www.coxsciencecenter.org/sensory-saturdays,HIGH,"Dates, time, address, price, recurrence pattern and the accommodation list are all printed on the science center's own dedicated Sensory Saturdays page. The page lists the full 2026 series: 2026-08-01, 2026-09-05, 2026-10-03, 2026-11-07 and 2026-12-05. I returned 2026-09-05 as the next date inside the 2026-08-20..2026-11-18 window (August 1 is already past); the additional in-window dates are 2026-10-03 and 2026-11-07. Discovered via the Give Me A Voice (Florida autism nonprofit) events page, then confirmed independently on the venue's own site. RSVP link is offered but the page states pre-registration is not required."
Job Club on Zoom,2026-09-08,,6:00 PM,Virtual (Zoom),,Coral Gables,Miami-Dade,FL,,UM-NSU Center for Autism and Related Disabilities (UM-NSU CARD),card@miami.edu,305-284-6563,https://www.card.miami.edu/,https://www.eventbrite.com/e/job-club-on-zoom-registration-1994589965279,,,workshop,autism-specific,Adults 18+ (out of high school),Y,"Monthly on Tuesdays at 6:00 pm, via Zoom",,,"A monthly employment skill-building group on Zoom for autistic adults who are job hunting or already working. Each session takes a different topic: finding a job (September), social skills at work (October), and disclosure (November). CARD is explicit that this is skill-building, not a job placement service.",https://www.card.miami.edu/_assets/pdf/link-tree/master_events.pdf,HIGH,"Dates appear in UM-NSU CARD's own 'Master Events' PDF on card.miami.edu AND are independently confirmed on the organizer's own Eventbrite listing, which I loaded: Sep 8 (Finding a Job), Oct 13 (Social Skills at Work), Nov 3 (Disclosure) and Dec 1 (Coping Skills at Work), 2026, Tuesdays 6:00 pm. Earliest in window is Sep 8, 2026. Other in-window dates: 2026-10-13, 2026-11-03. Short link JobClubFall2026.eventbrite.com 302-redirects to the URL given here. Open to registered CARD constituents. Cost not stated."
Just for Moms Support Group (Coral Gables),2026-09-08,,6:30 PM - 8:00 PM,"UM-NSU CARD Coral Gables Office, 5th Floor Room 502",5665 Ponce de Leon Blvd.,Coral Gables,Miami-Dade,FL,33146,UM-NSU Center for Autism and Related Disabilities (UM-NSU CARD),dchaparro@miami.edu,305-284-6563,https://www.card.miami.edu/,,,,support-group,caregiver-training,Adults (mothers),Y,"Monthly, 6:30-8:00 pm, at the CARD Coral Gables office",,,"An in-person evening support group for mothers of children on the autism spectrum, held monthly at UM-NSU CARD's Coral Gables office. It is a networking and mutual-support space for moms across Miami-Dade. The child must be a registered CARD client.",https://www.card.miami.edu/_assets/pdf/link-tree/master_events.pdf,HIGH,"Dates from UM-NSU CARD's own 'Master Events' PDF on card.miami.edu. Published dates: Sep 8, Oct 13, Nov 10 and Dec 8, 2026. Earliest in window is Sep 8, 2026. Other in-window dates: 2026-10-13, 2026-11-10. Registration is by contacting Daniela Chaparro at dchaparro@miami.edu -- no registration page published. Note this is the Coral Gables (Miami-Dade) moms' group; a separate Broward moms' group exists but the PDF gives no street address or city for it, so I did not return that one. Cost not stated."
Family Support Group,2026-09-09,,11:00 AM - 12:30 PM,Virtual (Zoom),,Coral Gables,Miami-Dade,FL,,UM-NSU Center for Autism and Related Disabilities (UM-NSU CARD),card@miami.edu,305-284-6563,https://www.card.miami.edu/,https://www.eventbrite.com/e/family-support-group-registration-1994238336548,,,support-group,caregiver-training,Adults (families and caregivers),Y,"Monthly, 11:00 am - 12:30 pm, via Zoom",,,"A monthly Zoom support group open to families and caregivers of individuals with autism at any age. CARD frames it as a welcoming space to talk through challenges and share resources with other families across Miami-Dade, Broward, and Monroe.",https://www.card.miami.edu/_assets/pdf/link-tree/master_events.pdf,HIGH,"Dates appear in UM-NSU CARD's own 'Master Events' PDF on card.miami.edu AND are independently confirmed on the organizer's own Eventbrite listing, which I loaded: Sep 9, Oct 14, Nov 11 and Dec 9, 2026, 11:00 am - 12:30 pm. Earliest in window is Sep 9, 2026. Other in-window dates: 2026-10-14, 2026-11-11. Short link FamilySupportFall26.eventbrite.com 302-redirects to the URL given here. Cost not stated on either page."
Navegando Juntos (Miami Lakes),2026-09-09,,11:00 AM - 12:00 PM,"CARD Miami Lakes Office, Suite 201",5801 NW 151st Street,Miami Lakes,Miami-Dade,FL,33014,UM-NSU Center for Autism and Related Disabilities (UM-NSU CARD),mxh1833@miami.edu,954-262-7778,https://www.card.miami.edu/,,,,support-group,caregiver-training,Adults (families of adolescents and adults),Y,"Alternating months at the Miami Lakes office, 11:00 am - 12:00 pm",,,"A Spanish-language, in-person group for families of autistic adolescents and adults, focused on planning the transition to adulthood. Sessions rotate between UM-NSU CARD's Miami Lakes and Miramar offices; this row covers the Miami Lakes dates. Participants must be registered CARD clients.",https://www.card.miami.edu/_assets/pdf/link-tree/master_events.pdf,HIGH,"Dates from UM-NSU CARD's own 'Master Events' PDF on card.miami.edu. The PDF splits this series by location. Miami Lakes published dates: Sep 9 and Nov 18, 2026 -- both fall in the window (Nov 18 is the last day of the window). Earliest is Sep 9, 2026; other in-window date: 2026-11-18. The Miramar dates are returned as a separate row because they are a different city and county. Registration is by contacting Maria Henao at 954-262-7778 / mxh1833@miami.edu -- no registration page published. Cost not stated."
Spectrum Support: Neuro Ninja Parent & Me Class,2026-09-10,,6:30 PM - 7:30 PM,Killearn Lakes TaeKwonDo,,Tallahassee,Leon,FL,,Infinite Spectrum Foundation,contact@is-foundation.org,(448) 500-3126,https://infinitespectrumfoundation.org/event/spectrum-support-neuro-ninja-parent-me-class/,,Free for Spectrum Support families,Y,social,autism-specific,Neurodivergent children with a parent or caregiver,N,,,,"Infinite Spectrum Foundation partners with Killearn Lakes TaeKwonDo for a movement-based martial arts class that neurodivergent children attend alongside a parent or caregiver. The hour is built around confidence, coordination and peer connection in an inclusive setting rather than formal ranking. It is offered at no cost to families in the foundation's Spectrum Support program.",https://infinitespectrumfoundation.org/event/spectrum-support-neuro-ninja-parent-me-class/,HIGH,"Date came from the event detail page on the foundation's own site (The Events Calendar detail view), which prints 'September 10 @ 6:30 pm - 7:30 pm'; the year 2026 is carried by the site's events index, which lists this event and the October 10, 2026 FAAST playdate as its only two upcoming entries. UNCERTAIN: the detail page gives no street address or zip for Killearn Lakes TaeKwonDo and publishes no registration link, so both fields are left blank rather than filled from a third party. The organizer's own mailing address is 914 Railroad Ave. Suite 22, Tallahassee, FL 32310."
Visual Village,2026-09-11,,9:00 AM - 10:30 AM,NSU CARD Satellite Office,7600 SW 36th Street,Davie,Broward,FL,33328,UM-NSU Center for Autism and Related Disabilities (UM-NSU CARD),card@miami.edu,305-284-6563,https://www.card.miami.edu/,https://www.eventbrite.com/e/visual-village-registration-1995977242663,,,training,caregiver-training,Parents/caregivers of children ages 3-6,Y,"Monthly, 9:00-10:30 am",,,"A monthly hands-on training series that teaches parents and caregivers of young autistic children how to build and use visual supports at home. Sessions give families practical visual strategies for routines, transitions, and communication with children ages 3 to 6.",https://www.card.miami.edu/_assets/pdf/link-tree/master_events.pdf,HIGH,"Dates appear in UM-NSU CARD's own 'Master Events' PDF on card.miami.edu AND are confirmed on the organizer's own Eventbrite listing, which I loaded: Sep 11, Oct 9, Nov 13 and Dec 11, 2026, 9:00-10:30 am. Earliest in window is Sep 11, 2026. Other in-window dates: 2026-10-09, 2026-11-13. FLAG - LOCATION DISCREPANCY: the Master Events PDF describes this as virtual via Zoom, while the Eventbrite listing gives the NSU CARD Satellite Office in Davie as the venue. I used the Eventbrite (more specific, also organizer-owned) venue; a directory editor may want to confirm format with CARD. Short link VisualVillage2026.eventbrite.com 302-redirects to the URL given here. Cost not stated."
"ABA Therapy Center for Autism - Open House Event in Broward County, FL",2026-09-12,,11:00 AM - 3:00 PM,InBloom Autism Services | Davie,"5400 South University Drive, Suite 502",Davie,Broward,FL,33328,InBloom Autism Services,,,https://inbloomautism.com/,https://www.eventbrite.com/e/aba-therapy-center-for-autism-open-house-event-in-broward-county-fl-tickets-1998274600121,Free,Y,social,autism-specific,Under 18 with parent or legal guardian,N,,,,"InBloom Autism Services opens its Davie learning center for a free drop-in open house. Families can tour the center-based ABA space, meet the clinical team, and ask about early intervention and kindergarten readiness programming for children roughly 18 months to 5 years old. Free parking is available on site.",https://www.eventbrite.com/e/aba-therapy-center-for-autism-open-house-event-in-broward-county-fl-tickets-1998274600121,HIGH,"Date, time and venue all read directly off the organizer's own Eventbrite listing page - InBloom Autism Services is the listed organizer, not a resale or aggregator account. Year confirmed as 2026 on the listing header. Davie is in Broward County but is not Fort Lauderdale. The organizer website inbloomautism.com was loaded and confirmed to resolve as the official InBloom site."
