# ABA CHAIN REVIEW - one row per website domain that appears more than once in the shortlist.
# Source: curation/aba_shortlist_2026-08-18.csv (424 rows). Generated 2026-08-18.
#
# The crawler stores ONE excerpt per DOMAIN, not per location. Every row under a domain
# therefore carries the same text. A chain excerpt tells you the COMPANY offers ABA. It does
# NOT tell you that a given branch does. Blanket-applying a company-level yes across every
# location is exactly the error that produced the FL-DD mistagging (86% blanket-tagged aba).
#
# chain_verdict - company-level call, three values:
#   N      = company does not offer ABA at all. Every row under this domain can be stripped.
#   Y-ALL  = company offers ABA and it is reasonable that every listed location does.
#   Y-SOME = company offers ABA somewhere, but the excerpt cannot tell you whether this
#            branch does. Needs per-branch work later.
#
# Y-SOME IS EXPECTED TO BE THE COMMON ANSWER. It is not a failure and not an incomplete
# review - it is the correct answer whenever domain-level evidence cannot reach the branch.
# Use per_branch_needed to record which ids still need opening.
#
# needs_website - open the site regardless of what the excerpt says:
#   EMPTY-EXCERPT          flag is true but no evidence text was stored
#   NAME-ARTIFACT          excerpt is the literal string #NAME? (spreadsheet corruption)
#   WRONG-LOCATION-EXCERPT excerpt is demonstrably from a different branch (id 7109,
#                          Elite DNA Tallahassee, excerpt is the Fort Myers page)
#   AGGREGATOR-DOMAIN      domain is a link aggregator, so the rows under it are UNRELATED
#                          companies, not branches. Do not give this row a single verdict.
"domain","record_count","cities","representative_excerpt","resource_ids","needs_website","chain_verdict","chain_note","per_branch_needed"
"linktr.ee","2","NORTH BAY VILLAGE; PORT ST. LUCIE","D&D ABA Therapy PSL | Instagram | Linktree D&D ABA Therapy PSL Family-owned ABA team fu","7136|7360","AGGREGATOR-DOMAIN","","",""
"littleteslapediatrics.com","2","ORLANDO","ech therapy physical therapy occupational therapy and Appied Behavior Analysis (ABA) therapy, all tailored to support unique developmental needs and help them reac","5760|5781","","","",""
"maximumachieversllc.com","2","PALM SPRINGS; WEST PALM BEACH","Maximum Achievers, LLC | ABA Therapy in Florida - For Children with Autism and ADHD NOW ENROLLING NEW CLIENT","7045|8603","","","",""
"optimumaba.com","2","JACKSONVILLE; MARGATE","Home - Optimum ABA Therapy Join Our Journey! Contact Us OPTIMIZE YOUR CHILD'S ABA PROGRAM At Optim","6957|9319","","","",""
"positivebehaviorservices.com","2","FORT MYERS; HOMESTEAD","Autism Therapy FL & GA | Positive Behavior Services Expert In-Home ABA Therapy Services ABA Therapy in Florida and Georgia Our mission is to enrich th","10616|6672","","","",""
"puzzleboxacademy.com","2","MELBOURNE; PALM BAY","rship with Kaleidoscope Interventions provides students with priority receiving ABA therapies through early intervention, in-school services, and parent training. ","6903|8559","","","",""
"southfloridaaba.org","2","HIALEAH; MIAMI LAKES","","6072|7448","EMPTY-EXCERPT","","",""
"sproutbehavioralservices.com","2","HOLLYWOOD; WELLINGTON","Aba Therapy | Sprout Behavioral Services | Florida top of page ABA Therapy to Nurtu","10575|10576","","","",""
"successonthespectrum.com","2","CLEARWATER; TAMPA","ABA Therapy in Tampa - Success on the Spectrum Carrollwood WHO WE ARE Success On Th","10715|7211","","","",""
"superkidsaba.com","2","NORTH MIAMI BEACH","ABA Therapy Miami - Super Kids ABA Center Skip to primary navigation Skip to main c","6094|7053","","","",""
"tlhproject.com","2","MIAMI; MIAMI SPRINGS","A LOGRARLO! Conocer más Terapia de comportamiento Conocida también como terapia ABA, está pensada para aumentar los comportamientos positivos y reducir los negativ","7056|7673","","","",""
"tukkosabatherapy.com","2","CAPE CORAL","g we do at Tukkos Therapy Center. bottom of page Services | My Site top of page ABA THERAPY Welcome to Tukkos Therapy Center! We are committed to helping individua","6771|7290","","","",""
