id,name,full_address,latitude,longitude,county,source,attempts,rejected_fuzzy,confidence
6383,"THE ARC NORTH FLORIDA, INC","511 GOLDKIST BLVD SW, Live Oak, FL, 32064",,,,NOT_FOUND,1,N,
6390,ANGELIC COMPANION SERVICES,"498 PALM SPRINGS DR STE 100, Altamonte Springs, FL, 32701",,,,NOT_FOUND,2,N,
6398,C INDIVIDUALS TRANSITION TO WORK INC.,"4949 ALORA ISLES DR APT 1116, West Palm Beach, FL, 33417",,,,NOT_FOUND,2,N,
6401,"HABILITATION CENTER FOR THE HANDICAPPED, INC.","22313 BOCA RIO ROAD, Boca Raton, FL, 33433",,,,NOT_FOUND,1,N,
6439,KEY FITS SOLUTIONS LLC,"3996 AVALON BLVD STE 100-C, Milton, FL, 32583",,,,NOT_FOUND,2,N,
6463,"HPS, HELPING PEOPLE SUCCEED, INC.","1601 NE SUCCESS DRIVE, Jensen Beach, FL, 34957",,,,NOT_FOUND,1,N,
6474,BEBES NURSING CARE LLC,"7171 N UNIVERSITY DR STE 205, Tamarac, FL, 33321",,,,NOT_FOUND,2,N,
6902,Select Physical Therapy - Coconut Grove,"2150 S DIXIE HWY, Miami, FL, 33133",,,,NOT_FOUND,1,N,
7098,"Hancock-Smith Pediatric & Behavioral Health, LLC","13900 TECH CITY CIR, Alachua, FL, 32615",,,,NOT_FOUND,1,N,
7314,Select Physical Therapy - Sebastian,"1424 U.S. RTE 1 SUITE B, Sebastian, FL, 32958",,,,NOT_FOUND,4,N,
7331,Select Physical Therapy - Port St Lucie,"156 NW CALIFORNIA BLVD, Port St. Lucie, FL, 34986",,,,NOT_FOUND,1,N,
7360,FISIOCORP MIAMI LLC,"1440 79TH STREET CAUSEWAY, North Bay Village, FL, 33141",,,,NOT_FOUND,2,N,
7366,Evolutions Treatment Center - Ft Lauderdale,"2901 W CYPRESS CREEK RD, Fort Lauderdale, FL, 33309",,,,NOT_FOUND,1,N,
7459,Behavior Management Consultants - 4820 Kerry Forest Pkwy,"4820 KERRY FOREST PKWY, Tallahassee, FL, 32309",,,,NOT_FOUND,1,N,
7575,Island Cove Behavioral Pediatrics,"1831 GOLDEN EAGLE WAY, Fleming Island, FL, 32003",,,,NOT_FOUND,1,N,
7592,Joe DiMaggio Children’s Hospital,"1005 JOE DIMAGGIO DR, Hollywood, FL, 33021",,,,NOT_FOUND,1,N,
7653,Challenges Conquered Counseling Services,"800 E CYPRESS CREEK RD, Oakland Park, FL, 33334",,,,NOT_FOUND,1,N,
7661,Select Physical Therapy - Tamarac,"7160 N UNIVERSITY DR, Tamarac, FL, 33321",,,,NOT_FOUND,1,N,
7672,Select Physical Therapy - Hollywood,"3325 HOLLYWOOD BLVD, Hollywood, FL, 33021",,,,NOT_FOUND,1,N,
7942,Select Physical Therapy - Cay West,"1715 CAPE CORAL PKWY W, Cape Coral, FL, 33914",,,,NOT_FOUND,1,N,
7967,Select Physical Therapy - Miami Lakes,"15150 BULL RUN RD, Miami Lakes, FL, 33014",,,,NOT_FOUND,1,N,
8199,Brilliant Brains Behavior Services LLC,"3970 TAMPA RD SUITE E, Oldsmar, FL, 34677",,,,NOT_FOUND,2,N,
8457,Baracusa Health Care,"7235 CORAL WY, Miami, FL, 33155",25.750394917808,-80.312319002813,Miami-Dade,CENSUS_ALIAS,2,N,MEDIUM
8484,Beachway Therapy Center | Florida Rehab - 1700 N Dixie Hwy,"1700 N DIXIE HWY, West Palm Beach, FL, 33407",,,,NOT_FOUND,1,N,
8504,Sunshine Kidz Pediatric Care - Ft Lauderdale,"2122 W CYPRESS CREEK RD, Fort Lauderdale, FL, 33309",,,,NOT_FOUND,1,N,
8632,ABLE LIFE CARE SERVICES,"4728 ALORA ISLES DR APT 7211, West Palm Beach, FL, 33417",,,,NOT_FOUND,2,N,
8689,MERCED CARE HOME LLC,"4701 N HABANA AVE, Tampa, FL, 33614",,,,NOT_FOUND,1,N,
8720,"PEGGY JOYCE HARGROVE
JOYCE LOVE & CARE HOME","3304 SAN MOISE PL, Plant City, FL, 33567",,,,NOT_FOUND,1,N,
9054,NEED A HAND? CALL ANN,"4300 E BAY DR LOT 106, Clearwater, FL, 33764",,,,NOT_FOUND,2,N,
9059,"MILESTONES OF EXCELLENCE, LLC","2013 PINE PL APT 112, Winter Haven, FL, 33881",,,,NOT_FOUND,2,N,
9173,Small Talk Speech Therapy (Orange Park),"1700 WELLS RD STE 18, Orange Park, FL, 32073",,,,NOT_FOUND,2,N,
9203,The Learning Experience - West Melbourne,"4470 HOLLYWOOD BLVD, West Melbourne, FL, 32904",,,,NOT_FOUND,1,N,
9307,Spellers Center Tampa - Occupational Therapy for Nonverbal Individuals with Autism/ Apraxia,"1816 HEALTH CARE DR, Trinity, FL, 34655",,,,NOT_FOUND,1,N,
9309,"Alyssa Frey CranioSacral and Occupational Therapist CST, OT","300 MERCURY RD, North Palm Beach, FL, 33408",,,,NOT_FOUND,1,N,
9317,A Touch of Hope Occupational Therapy - Miami,"19400 TURNBERRY WAY APT 812, Miami, FL, 33180",,,,NOT_FOUND,2,N,
9324,"Holistic Family Occupational Therapy, LLC - Palm Springs","2290 10TH AVE N, Palm Springs, FL, 33461",,,,NOT_FOUND,1,N,
9325,My Kid Therapy Center - ABA Therapy in Miami,"1180 N KROME AVE, Homestead, FL, 33030",,,,NOT_FOUND,2,N,
9334,S.U.C.C.E.ED in Learning,"6035 BIRD RD, Miami, FL, 33155",,,,NOT_FOUND,2,N,
9366,Kids Chat Therapy,"10300 SUNSET DR, Miami, FL, 33173",25.701234065849,-80.360399551351,Miami-Dade,CENSUS_ALIAS,2,N,MEDIUM
9401,"Talk the Talk Pediatric Therapy, LLC","300 FRANDORSON CIR, Apollo Beach, FL, 33572",,,,NOT_FOUND,1,N,
9408,Always Keep Progressing - North Miami Beach - 16800 Nw 2nd Ave,"16800 NW 2ND AVE, Miami Gardens, FL, 33169",,,,NOT_FOUND,1,N,
9426,Physical Therapy Time,"1380 NE MIAMI GARDENS DR, North Miami Beach, FL, 33179",,,,NOT_FOUND,1,N,
9433,XPE Sports Rehab,"5300 POWERLINE RD, Fort Lauderdale, FL, 33309",,,,NOT_FOUND,2,Y,
9437,NAU Physical Therapy and Wellness,"8509 SOUTH FEDERAL HIGHWAY U, Port St. Lucie, FL, 34952",,,,NOT_FOUND,1,N,
9439,Physical Therapy Associates of South Florida,"7171 N UNIVERSITY DR, Tamarac, FL, 33321",,,,NOT_FOUND,1,N,
9444,Fitness Quest Physical Therapy - North Fort Myers,"18900 N TAMIAMI TRL, North Fort Myers, FL, 33903",,,,NOT_FOUND,3,N,
9455,MasMed Rehab,"3181 CORAL WY 5TH FLOOR, Miami, FL, 33145",25.750201319918,-80.245062733793,Miami-Dade,CENSUS_ALIAS,3,N,MEDIUM
9458,AnatomyPT • Physical Therapy & Orthotics,"301 ARTHUR GODFREY RD, Miami Beach, FL, 33140",,,,NOT_FOUND,1,N,
9466,Aspire Physical Therapy and Wellness - Mobile Outpatient Physical Therapy Services,"1110 JIMMY BUFFETT MEM HWY, Satellite Beach, FL, 32937",28.182966688782,-80.592233777563,Brevard,CENSUS_ALIAS,2,N,MEDIUM
9505,"Dr. Daniel Komforti, PT, DPT","860 N STATE RD 434, Altamonte Springs, FL, 32714",,,,NOT_FOUND,2,N,
9509,Rejuvenate Physical Therapy,"1803 BRIAR CREEK BLVD, Safety Harbor, FL, 34695",,,,NOT_FOUND,1,N,
9516,"Oreo Physical Therapy, LLC","7791 S U.S. HWY 1, Port St. Lucie, FL, 34952",,,,NOT_FOUND,4,N,
9517,Longevity Rehab Center - Sebastian,"13000 U.S. RTE 1 STE 7, Sebastian, FL, 32958",,,,NOT_FOUND,4,N,
9535,Total MD,"2700 W CYPRESS CREEK RD STE C100, Fort Lauderdale, FL, 33309",,,,NOT_FOUND,2,Y,
9561,Premier Physical Therapy,"4230 PABLO PROFESSIONAL CT, Jacksonville, FL, 32224",,,,NOT_FOUND,1,N,
9637,"Advanced Rehabilitation, Inc","3690 E BAY DR S, Largo, FL, 33771",,,,NOT_FOUND,1,N,
9670,Mease Countryside Physical Therapy & Sports Rehabilitation,"3251 MCMULLEN BOOTH RD STE 200, Safety Harbor, FL, 34695",,,,NOT_FOUND,2,N,
9678,Hernandez Therapy Clinic,"2950 W CYPRESS CREEK RD, Fort Lauderdale, FL, 33309",,,,NOT_FOUND,1,N,
9680,Action Physical Therapy,"1680 ST LUCIE W BLVD, Port St. Lucie, FL, 34986",,,,NOT_FOUND,1,N,
9683,Papa Chiropractic - Port St. Lucie,"10377 S U.S. HWY 1, Port St. Lucie, FL, 34952",,,,NOT_FOUND,4,N,
9732,Holy Cross Rehabilitation Institute - Pompano Beach,"1650 N FEDERAL HWY, Pompano Beach, FL, 33062",,,,NOT_FOUND,1,N,
9747,Sloane Stecker Physical Therapy - Jupiter,"1155 MAIN ST STE 101, Jupiter, FL, 33458",,,,NOT_FOUND,2,N,
9768,Florida Orthopaedic Specialists,"9077 S FEDERAL HWY, Port St. Lucie, FL, 34952",,,,NOT_FOUND,1,N,
9783,Apollo Rehab Parkland,"7635 N STATE RD 7, Parkland, FL, 33073",,,,NOT_FOUND,2,N,
9786,"Behavior Basics, Inc., Brevard Office","2401 W EAU GALLIE BLVD, Melbourne, FL, 32935",,,,NOT_FOUND,1,N,
9801,Memorial Medical Fitness - West,"703 N FLAMINGO RD, Pembroke Pines, FL, 33028",,,,NOT_FOUND,1,N,
9814,Physical Therapy Now Coral Gables,"2690 CORAL WY, Coral Gables, FL, 33145",25.750276273027,-80.238110374576,Miami-Dade,CENSUS_ALIAS,2,N,MEDIUM
9841,Physical Therapy NOW Miami Lakes,"15985 NW 57TH AVE, Miami Lakes, FL, 33014",,,,NOT_FOUND,1,N,
9890,CORA Physical Therapy Fort Myers,"6900 DANIELS PKWY, Fort Myers, FL, 33912",,,,NOT_FOUND,1,N,
9900,AxisPro Physical Therapy & Hand clinic - Palm Bay,"5240 BABCOCK ST NE # 102, Palm Bay, FL, 32905",,,,NOT_FOUND,2,N,
9901,CORA Physical Therapy Satellite Beach,"1024 JIMMY BUFFETT MEM HWY, Satellite Beach, FL, 32937",28.185900298166,-80.592954273118,Brevard,CENSUS_ALIAS,2,N,MEDIUM
9949,CORA Physical Therapy St. Lucie West,"1707 ST LUCIE W BLVD, Port St. Lucie, FL, 34986",,,,NOT_FOUND,1,N,
9962,Pelvic Solutions,"307 S BOULEVARD B, Tampa, FL, 33606",,,,NOT_FOUND,1,N,
9972,Reunion Rehabilitation Hospital Jacksonville,"12645 SALINA DR, Jacksonville, FL, 32246",,,,NOT_FOUND,1,N,
10004,Wolfson Children's Specialty Center - Baptist Clay,"1747 BAPTIST CLAY DR, Fleming Island, FL, 32003",,,,NOT_FOUND,1,N,
10010,DREAM HOPE & BELIEVE THERAPY CORP,"13155 SW 134TH ST SUITE 218 & 219, Miami, FL, 33186",,,,NOT_FOUND,2,N,
10011,My Big World Inc,"8785 SW 165TH AVE SUITE 101, Miami, FL, 33193",,,,NOT_FOUND,2,N,
10048,First Kid's PPEC - Miami,"8681 CORAL WY, Miami, FL, 33155",25.747703266715,-80.335364680077,Miami-Dade,CENSUS_ALIAS,3,N,MEDIUM
10060,Loving Angels PPEC,"13115 W OKEECHOBEE RD, Hialeah, FL, 33018",,,,NOT_FOUND,4,N,
10148,Brooks Rehabilitation Outpatient Clinic - Deltona,"3400 HALIFAX CROSSING BLVD, Deltona, FL, 32725",,,,NOT_FOUND,1,N,
10202,EARLY INTERVENTION SOLUTIONS LLC,"5424 LAND O' LAKES BLVD, Land O Lakes, FL, 34639",,,,NOT_FOUND,1,N,
10206,"Tampa Choice Therapy, LLC","18946 N DALE MABRY HWY, Lutz, FL, 33548",,,,NOT_FOUND,2,N,
10215,PT Solutions of Oldsmar (formerly Westchase Physical Therapy),"3953 TAMPA RD, Oldsmar, FL, 34677",,,,NOT_FOUND,1,N,
10227,LifeCare Therapy,"7777 N UNIVERSITY DR # 101S, Tamarac, FL, 33321",,,,NOT_FOUND,2,N,
10235,Wolfson Children's Rehabilitation - Wolfson Children’s Specialty Center - Baptist Clay,"1747 BAPTIST CLAY DR SUITE 100, Fleming Island, FL, 32003",,,,NOT_FOUND,2,N,
10241,Purposeful Play Pediatric Therapy,"680 U.S. 41 BYPASS N SUITE 2, Venice, FL, 34285",,,,NOT_FOUND,4,N,
10249,AMP PEDIATRIC THERAPY,"6900 TAVISTOCK LAKES BLVD, Orlando, FL, 32827",,,,NOT_FOUND,1,N,
10267,Barrett Outpatient Rehabilitation & Sports Medicine Center,"430 MORTON PLANT ST # 101, Clearwater, FL, 33756",,,,NOT_FOUND,2,N,
10398,Beyond Speaking Rehab Specialists,"3485 W VINE ST SUITE 3485, Kissimmee, FL, 34741",,,,NOT_FOUND,2,N,
10556,St. John the Evangelist Catholic Community,"5645 Stadium Pkwy, Melbourne, FL 32940, Melbourne, FL",,,,NOT_FOUND,1,N,
