id,name,address,address1,address2,city,canonical_city,zip_code,phone,website,review_reason
9292,"Little Harbor Therapy, LLC",JUPITER,Jupiter,null,Jupiter,JUPITER,33458,(561) 318-2115,http://www.littleharbortherapy.com/,address1 has no street number - appears to be building name only
9316,A+ Handwriting Occupational Therapy,SHEFFIELD PARK DR,Sheffield Park Dr,null,Lutz,LUTZ,33549,(813) 245-3671,http://www.aplushandwriting.com/,address1 has no street number - appears to be building name only
9436,Saylor Physical Therapy - West Palm Beach,2090 PALM BEACH LAKES BLVD SUITE,2090 Palm Beach Lakes Blvd,Suite,West Palm Beach,WEST PALM BEACH,33409,(561) 335-5965,http://www.saylorpt.com/,address2 incomplete keyword only
9544,Complete Care Lakeland,1205 E MAGNOLIA ST SUITE,1205 E Magnolia St,Suite,Lakeland,LAKELAND,33801,(863) 272-7454,https://www.complete-care.com/locations/complete-care-lakeland/?utm_source=GBP&utm_medium=Google+Business+Profile&utm_id=GBP,address2 incomplete keyword only
9568,Apollo Rehab Miramar,CARNIVAL BUILDING,Carnival,Building,Miramar,MIRAMAR,33027,(954) 342-9333,http://www.apollo-rehab.com/,"address1 has no street number - appears to be building name only | address1 appears to be building name, address2 is generic | address2 incomplete keyword only"
9577,Palm Rehabilitation Center Inc. - Hallandale Beach,2500 E HALLANDALE BEACH BLVD SUITE,2500 E Hallandale Beach Blvd,Suite,Hallandale Beach,HALLANDALE BEACH,33009,(954) 458-2202,https://palmrehabcenter.com/,address2 incomplete keyword only
9617,Path Medical - Dade,17560 NW 27TH AVE SUITE,17560 Nw 27th Ave,Suite,Miami Gardens,MIAMI GARDENS,33056,(305) 623-5939,https://pathmedical.com/,address2 incomplete keyword only
9626,Honor Murphy Physical Therapy Solutions,BOWE GARDENS SHOPPING CENTER,Bowe Gardens Shopping Center,null,Melbourne,MELBOURNE,32935,(321) 421-9144,http://honor-pt.com/,address1 has no street number - appears to be building name only
9642,Cathy Orlando Physical Therapy,2221 LEE RD STE.,2221 Lee Rd,Suite,Winter Park,WINTER PARK,32789,(407) 308-2850,http://cathyorlandopt.com/,address2 incomplete keyword only
9664,MaternalFit Pelvic Physical Therapy,NOVA PROFESSIONAL BUILDING,Nova Professional,Building,Port Orange,PORT ORANGE,32127,(689) 900-5073,http://www.maternalfitpelvicpt.com/,"address1 has no street number - appears to be building name only | address1 appears to be building name, address2 is generic | address2 incomplete keyword only"
9727,Empower Her Physical Therapy & Wellness - Pelvic Floor Therapist,12731 WORLD PLAZA LN BLDG.,12731 World Plaza Ln,Building,Fort Myers,FORT MYERS,33907,(941) 312-1861,http://www.empowerherpt.com/,address2 incomplete keyword only
9794,Department of Communication Sciences and Disorders,ORLANDO,Orlando,null,Orlando,ORLANDO,32816,(407) 823-4798,https://healthprofessions.ucf.edu/communication-sciences-disorders/,address1 has no street number - appears to be building name only
9815,Nicklaus Children’s Hospital,MEDICAL ARTS,Medical Arts,null,Miami,MIAMI,33155,(305) 666-6511,https://www.nicklauschildrens.org/home,address1 has no street number - appears to be building name only
9960,Optimal Performance & PT,1812,1812,null,Tampa,TAMPA,33606,(813) 805-8105,https://www.theoppt.com/,Address contains only numbers - needs street name
10000,Lemon City Collective,YELLOW DOOR,Yellow Door,null,Miami,MIAMI,33138,(305) 209-1616,http://lemoncitycollective.com/,address1 has no street number - appears to be building name only
10078,North Florida Therapy Services,HISTORIC DISTRICT,Historic District,null,Quincy,QUINCY,32351,(850) 627-0476,http://www.northfltherapy.com/,address1 has no street number - appears to be building name only
10096,Wolfson Children's Rehabilitation - Baptist Medical Center Beaches,MEDICAL OFFICE BUILDING B,Medical Office,Building,Jacksonville Beach,JACKSONVILLE BEACH,32250,(904) 627-1480,https://www.wolfsonchildrens.com/services/rehabilitation,address1 has no street number - appears to be building name only
10229,Wolfson Children's Rehabilitation - HealthPlace at Nocatee,INTENSIVE THERAPY CENTER,Intensive Therapy Center,null,Ponte Vedra,PONTE VEDRA,32081,(904) 271-7500,https://www.wolfsonchildrens.com/services/rehabilitation,address1 has no street number - appears to be building name only
10272,From the Heart Therapy,6941 SW 196TH AVE SUITE,6941 Sw 196th Ave,Suite,Southwest Ranches,SOUTHWEST RANCHES,33332,(954) 999-5597,https://fromthehearttherapyot.com/,address2 incomplete keyword only
10705,Words in Motion Therapy,null,null,null,Saint Petersburg,ST. PETERSBURG,null,8133681335,https://www.wordsinmotiontherapy.com,Address not found in Census geocoder or Google Maps — needs clarification from submitter
