id,name,keith_verdict,keith_url,keith_note,services_supported,services_contradicted,actual_type,confidence
7234,MD Now Urgent Care - North Cape Coral,N,https://www.mymdnow.com/locations/sarasota/north-cape-coral,Walk-in urgent care clinic; no therapy or autism services,,physical-therapy,DENTAL_MEDICAL,HIGH
7203,A Safe Space Mental Health Counseling and Wellness LLC,N,https://www.psychologytoday.com/us/therapists/lisa-ellis-daytona-beach-fl/436806,"Talk-therapy counselling practice: depression, anxiety, trauma",,aba,MENTAL_HEALTH_COUNSELING,MEDIUM
6573,Serenity Space Therapy,N,https://www.serenityspacetherapy.net/,"Adult mental-health counselling; EMDR, trauma, anxiety",,aba,MENTAL_HEALTH_COUNSELING,HIGH
7163,Ascend Transition Services,Y,https://www.ascendswfl.com/,"IDD support agency: life skills, respite, nursing care",life-skills|respite-care,,HOME_CARE,HIGH
7505,Dynamiks Home Care,Y,https://www.dynamikshomecare.com/fort-myers-fl,Home health with paediatric special-needs therapy and respite,speech-therapy|occupational-therapy|physical-therapy|respite-care,life-skills,HOME_CARE,MEDIUM
6778,Department of Occupational Therapy,N,https://phhp.ufl.edu/about/departments/occupational-therapy/,University academic department: OT degrees and research,,aba,UNIVERSITY_DEPARTMENT,HIGH
7089,SUPREME ADULT DAY CARE,UNKNOWN,,Adult day care centre; population served not established,,,UNKNOWN,LOW
6977,FUSSION THERAPY INC. - Hialeah Gardens,Y,https://www.fussiontherapy.com/,"Paediatric speech, OT, PT and PPEC serving autistic children",,,THERAPY_PROVIDER,HIGH
6773,Speech and Language Connection Services LLC - Hialeah Gardens,Y,http://www.speechtherapy305.com/,Paediatric speech and OT practice serving ASD children,,,THERAPY_PROVIDER,HIGH
6596,Vocational Rehabilitation,N,https://rehabworks.org/,Florida state agency for disability employment services,,,GOVERNMENT_AGENCY,HIGH
6984,ChildGarden Center | Integral Therapy - Lake Worth Beach,Y,http://www.childgardens.com/,"Pediatric ABA, speech, OT clinic for autism",,,ABA_PROVIDER,HIGH
7035,Gardened Mind Therapy,N,https://gardenedmindtherapy.com/,EMDR trauma and mental health counselling practice,,,MENTAL_HEALTH_COUNSELING,HIGH
7361,NeuroSpa,N,https://www.neurospamentalhealth.com/locations/lakeland/,"TMS, ketamine and psychiatry clinic for adults",,aba,MENTAL_HEALTH_COUNSELING,HIGH
10372,The Garden Counseling,N,https://thegardencounseling.info/,Christian trauma and grief counselling practice,,,MENTAL_HEALTH_COUNSELING,HIGH
8955,"USF Health Department of Pediatrics, Early Steps Program",N,https://health.usf.edu/care/pediatrics/services-specialties/early-steps,"IDEA Part C early intervention programme, not ABA",,aba,GOVERNMENT_AGENCY,MEDIUM
7006,Space Coast Discovery,N,http://spacecoastdiscovery.org/,"Private academy, infant care through primary school",,aba,SCHOOL,MEDIUM
6758,Main Street Children's Dentistry and Orthodontics of Miami Beach,N,https://www.mainstreetsmiles.com/dentist-office/miami-beach-fl-33140,Paediatric dental and orthodontic office; no therapy services,,aba,DENTAL_MEDICAL,HIGH
6967,Children's Rehab PPEC - Miami Gardens,N,https://childrensrehabppec.com/ppec-in-miami-gardens-fl/,PPEC centre for medically fragile children,,,PPEC,HIGH
8774,Easterseals South Florida - Miami Gardens (Ophelia Brown),Y,https://southflorida.easterseals.com/get-support/areas-of-support/education-services/child-development-center,"Early-intervention child development centre with onsite OT, PT, ST",speech-therapy|occupational-therapy|physical-therapy,parent-coaching|group-therapy,DAYCARE,MEDIUM
8865,KidSpace Therapy Center,Y,http://kidspacetherapycenter.com/about-us/,Paediatric outpatient therapy clinic serving developmental delays,speech-therapy|physical-therapy|occupational-therapy|feeding-therapy,virtual-therapy,THERAPY_PROVIDER,MEDIUM
6353,Fataj Transition & Learning Center LLC,Y,https://www.fatajtlc.com/,"BCBA-led ABA clinic and academy for autism, ages 2-12",,,ABA_PROVIDER,HIGH
8826,Devereux Palm Bay Group Home,Y,http://www.devereux.org/site/PageServer?pagename=fl_autism_idd,"Brevard IDD group homes using ABA, with skill development",life-skills,,GROUP_HOME,HIGH
6998,Rivers Edge Adult Day Care,UNKNOWN,,Adult day care; population elderly versus DD unresolved,,,UNKNOWN,LOW
7115,Space Coast Mobility,N,https://spacecoastmobility.com/,"Mobility scooter, wheelchair and lift chair dealer",,aba,EQUIPMENT_SUPPLIER,HIGH
5854,Brain Balance Palm Beach Gardens,N,https://www.brainbalancecenters.com/locations/florida/palm-beach-gardens,"Non-medical cognitive training franchise, not clinical therapy",,,FITNESS_WELLNESS,MEDIUM
7025,Project Brilliance Palm Beach Gardens,Y,http://www.projectbrilliance.com/,ABA provider with social skills groups and parent training,group-therapy|parent-coaching,ados-testing,ABA_PROVIDER,HIGH
5845,Lifespan Psychiatric Services,N,https://lifespanpsychiatricservices.com/,Psychiatry and medication management; no behaviour analysis,,aba,MENTAL_HEALTH_COUNSELING,HIGH
6562,ACTS Therapeutic Group Home,N,https://www.actsfl.org/,Substance use and mental health residential treatment agency,,,GROUP_HOME,HIGH
10712,ABA Foundations - Palm Beach Gardens,Y,https://abafoundations.com,ABA provider for autism; centre and in-home services,aba|parent-coaching|mobile-services,virtual-therapy,ABA_PROVIDER,HIGH
10613,Abacus Therapies - Palm Beach Gardens,Y,https://abacustherapies.com/,"ABA provider for autistic children, in-home and school-based",mobile-services,parent-coaching,ABA_PROVIDER,HIGH
